"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1953-10-31 23.16 "NYK" "" "MNL" "W" 24 NA NA 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1953-11-06 23.17 "NYK" "@" "MLH" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1953-11-12 23.19 "NYK" "" "PHW" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1953-11-15 23.2 "NYK" "" "BLB" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1953-11-25 23.22 "NYK" "@" "BOS" "L" -12 NA 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1953-12-05 23.25 "NYK" "" "FTW" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1953-12-10 23.27 "NYK" "" "BOS" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1953-12-11 23.27 "NYK" "@" "MLH" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1953-12-12 23.27 "NYK" "@" "MNL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1953-12-13 23.27 "NYK" "@" "FTW" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1954-01-22 23.38 "NYK" "" "PHW" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1954-01-23 23.39 "NYK" "" "MLH" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1954-01-28 23.4 "NYK" "@" "SYR" "L" -13 NA 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1954-01-31 23.41 "NYK" "@" "SYR" "L" -44 NA 12 0.34 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1954-02-03 23.42 "NYK" "" "MNL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1954-02-04 23.42 "NYK" "" "SYR" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1954-02-06 23.42 "NYK" "" "BLB" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1954-02-14 23.45 "NYK" "@" "BOS" "L" -14 NA 27 0.222 0.222 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1954-02-17 23.45 "NYK" "@" "BLB" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1954-02-20 23.46 "NYK" "" "PHW" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1954-02-21 23.47 "NYK" "" "BLB" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1954-02-25 23.48 "NYK" "" "FTW" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1954-02-27 23.48 "NYK" "" "MLH" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1954-02-28 23.48 "NYK" "" "PHW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1954-03-03 23.49 "NYK" "" "PHW" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1954-03-07 23.5 "NYK" "" "ROC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1954-03-14 23.52 "NYK" "@" "SYR" "L" -30 NA 34 0.24 0.222 NA NA NA NA NA NA NA NA NA NA NA NA
