"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1995-11-04 22.37 "SAS" "@" "DEN" "W" 8 0 11 0.667 0.667 0 0 0 38.2 0 0 0 11.7 157 114 4 1.1
"2" "2" 1995-11-08 22.38 "SAS" "" "VAN" "W" 49 0 21 0.75 0.75 0 8.8 5 39.8 0 0 50 17 90 76 4.8 -1
"3" "3" 1995-11-10 22.39 "SAS" "" "MIL" "W" 14 0 7 NA NA 0 13.4 7.8 0 0 0 100 6.7 0 106 -0.7 -16.3
"4" "4" 1995-11-12 22.39 "SAS" "@" "CLE" "W" 3 0 4 NA NA 0 0 0 0 14.6 0 NA 0 0 80 1 12
"5" "5" 1995-11-14 22.4 "SAS" "@" "MIL" "L" -14 0 5 0 0 0 0 0 0 0 0 50 19.5 0 113 -2.1 -28.9
"6" "6" 1995-11-24 22.42 "SAS" "@" "SEA" "L" -12 0 2 0 0 0 0 0 0 0 0 0 22.2 0 120 -0.7 -25.3
"7" "7" 1995-11-25 22.43 "SAS" "@" "LAC" "W" 9 0 8 0 0 0 12.2 7.3 0 6.5 0 75 25 0 89 -3.2 -23.6
"8" "8" 1995-11-29 22.44 "SAS" "" "LAC" "W" 19 0 4 NA NA 0 0 0 70.6 0 0 100 11.7 72 98 -0.4 -16.4
"9" "9" 1995-12-14 22.48 "SAS" "@" "DAL" "W" 15 0 10 1.5 1.5 0 0 0 45.5 0 0 66.7 13.6 120 128 3.1 2.9
"10" "10" 1995-12-16 22.48 "SAS" "" "SAC" "W" 16 0 2 NA NA 0 0 0 58.5 0 0 100 22 42 123 -1.1 -37.5
"11" "11" 1995-12-21 22.5 "SAS" "" "DEN" "W" 18 0 14 0.515 0.333 8.8 6.5 7.5 56.4 3.6 0 20.5 15.2 131 98 6.6 7.7
"12" "12" 1995-12-23 22.5 "SAS" "" "HOU" "W" 15 0 2 0 0 0 0 0 58.5 0 0 0 23.7 56 112 -0.8 -31.9
"13" "13" 1995-12-25 22.51 "SAS" "@" "PHO" "W" 5 0 4 1.5 1.5 0 0 0 0 0 0 0 11.8 300 123 2.7 20.5
"14" "14" 1995-12-26 22.51 "SAS" "@" "SAC" "L" -17 0 6 0.5 0.5 0 0 0 59.3 0 0 33.3 21.2 91 126 1 -5.6
"15" "15" 1995-12-28 22.52 "SAS" "@" "LAL" "W" 8 0 7 1 1 0 0 0 68.2 0 0 50 13.1 126 120 2.4 0.9
"16" "16" 1995-12-30 22.52 "SAS" "" "MIN" "W" 38 0 18 0.6 0.6 5.7 5.2 5.4 56.6 2.7 0 44.4 19.9 104 89 6.5 3.6
"17" "17" 1996-01-03 22.53 "SAS" "" "UTA" "W" 14 0 20 0.773 0.667 7.5 12.3 10.1 17.3 0 0 27.9 24.6 120 107 7.5 1.2
"18" "18" 1996-01-05 22.54 "SAS" "" "IND" "L" -13 0 16 0.868 0.875 0 8.8 3.7 37.5 3.1 0 14.8 19.6 151 109 8.4 7.6
"19" "19" 1996-01-09 22.55 "SAS" "@" "HOU" "W" 6 0 13 0.8 0.8 0 0 0 0 11.5 0 28.6 23.3 92 76 6.3 16.6
