"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2004-11-03 22.81 "BOS" "" "PHI" "L" -3 0 5.9 0.532 1 21.6 0 10.5 0 0 0 34.7 22.6 64 120 0.2 -12.9
"2" "2" 2004-11-05 22.82 "BOS" "" "IND" "L" -6 0 10.7166666666667 0 0 0 21.3 10.5 0 0 14.5 0 4.4 0 99 0.9 -1.6
"3" "3" 2004-11-06 22.82 "BOS" "@" "NYK" "W" 34 0 10.4333333333333 0.5 0.5 0 9.9 5.7 11.3 0 0 33.3 13.5 79 90 0.2 -10.6
"4" "4" 2004-11-10 22.83 "BOS" "" "POR" "W" 2 0 7.51666666666667 0.333 0.333 14.6 15.8 15.2 22.2 0 0 0 18.7 100 107 2 0.8
"5" "5" 2004-11-12 22.84 "BOS" "" "CHA" "W" 17 0 16.8833333333333 0.431 0.4 7.1 0 3.4 11 6 0 0 26.9 102 79 6.6 5
"6" "6" 2004-11-17 22.85 "BOS" "@" "WAS" "L" -5 0 8.56666666666667 0.694 0.5 15.4 0 7.1 0 0 0 25.8 22 115 123 2.3 -4.6
"7" "7" 2004-11-19 22.86 "BOS" "" "SAS" "L" -8 0 7.51666666666667 0.2 0.2 48.6 33.3 41.1 24 0 0 0 30 84 107 2.3 -0.5
"8" "8" 2004-11-21 22.86 "BOS" "" "SEA" "W" 19 0 5.36666666666667 0.41 0.5 0 18.2 11.1 0 0 0 0 19.4 83 99 0.5 -11.5
"9" "9" 2004-11-23 22.87 "BOS" "@" "IND" "L" -10 0 13.25 0.444 0.2 8.4 0 4.4 0 0 0 0 22.8 108 129 2.4 -11.2
"10" "10" 2004-11-24 22.87 "BOS" "@" "PHI" "L" -13 0 21.1333333333333 0.76 0.714 10.2 6.2 8.4 9.3 2.4 0 8.7 23.6 147 118 13.5 9.3
"11" "11" 2004-11-26 22.88 "BOS" "" "CLE" "L" -2 0 9.16666666666667 0.333 0.333 0 39.5 16.7 0 0 8.7 25 21.4 50 104 0.6 -7.9
"12" "12" 2004-11-28 22.88 "BOS" "@" "MIA" "L" -2 0 22.4 0.726 0.571 0 24.6 13.2 8.5 4.2 0 23.7 24.3 111 99 11 5.8
"13" "13" 2004-11-29 22.88 "BOS" "@" "ORL" "W" 16 0 14.65 0.258 0 6.8 23.3 15.7 0 6.3 0 20.5 12.5 62 84 2.8 -1.1
"14" "14" 2004-12-01 22.89 "BOS" "" "MIL" "W" 1 0 12.85 0.34 0.2 38.5 8.4 24.1 13 3.9 0 14.5 21.8 103 105 4.2 -2.1
"15" "15" 2004-12-03 22.9 "BOS" "" "TOR" "W" 2 0 15.4 0.34 0.4 7 29.1 17.8 12 0 4.5 33.8 25.5 52 90 0.4 -9.3
