"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2010-10-27 21.59 "SAS" "" "IND" "W" 13 0 26.8 0.625 0.625 0 0 0 5.1 1.8 0 11.1 14.3 109 114 5.1 -4.2
"2" "2" 2010-10-30 21.6 "SAS" "" "NOH" "L" -9 0 10.6166666666667 0.512 0.375 0 13.7 5.6 15.9 0 6.7 0 20.6 117 102 4.3 8.4
"3" "3" 2010-11-01 21.61 "SAS" "@" "LAC" "W" 9 0 20.05 0.8 0.8 0 11.4 6.1 23.3 0 3.5 0 11.6 162 97 8.7 11.3
"4" "4" 2010-11-03 21.61 "SAS" "@" "PHO" "W" 2 0 23.05 0.51 0.5 0 0 0 16.5 2.1 2.9 14.5 12.6 110 114 4.5 2.7
"5" "" 2010-11-06 21.62 "SAS" "" "HOU" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "5" 2010-11-08 21.62 "SAS" "@" "CHA" "W" 4 0 14.1166666666667 0.375 0.375 0 14.8 7.8 0 0 0 20 31.3 66 109 -0.2 -14.1
"7" "6" 2010-11-10 21.63 "SAS" "" "LAC" "W" 12 0 11.2166666666667 0.902 1 0 9.7 5.7 16.2 0 0 0 16.6 181 113 5.9 11.8
"8" "" 2010-11-13 21.64 "SAS" "" "PHI" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2010-11-14 21.64 "SAS" "@" "OKC" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2010-11-17 21.65 "SAS" "" "CHI" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2010-11-19 21.65 "SAS" "@" "UTA" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2010-11-20 21.66 "SAS" "" "CLE" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2010-11-22 21.66 "SAS" "" "ORL" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2010-11-24 21.67 "SAS" "@" "MIN" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2010-11-26 21.67 "SAS" "" "DAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2010-11-28 21.68 "SAS" "@" "NOH" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2010-11-30 21.68 "SAS" "@" "GSW" "W" 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2010-12-01 21.69 "SAS" "@" "LAC" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2010-12-03 21.69 "SAS" "" "MIN" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2010-12-05 21.7 "SAS" "" "NOH" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2010-12-08 21.71 "SAS" "" "GSW" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2010-12-10 21.71 "SAS" "" "ATL" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2010-12-12 21.72 "SAS" "" "POR" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2010-12-15 21.73 "SAS" "" "MIL" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2010-12-16 21.73 "SAS" "@" "DEN" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2010-12-18 21.73 "SAS" "" "MEM" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2010-12-20 21.74 "SAS" "" "PHO" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2010-12-22 21.75 "SAS" "" "DEN" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2010-12-23 21.75 "SAS" "@" "ORL" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2010-12-26 21.76 "SAS" "" "WAS" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2010-12-28 21.76 "SAS" "" "LAL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
