"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-10-29 21.94 "SDC" "" "PHO" "L" -14 0 1 0 0 NA NA NA NA NA NA NA NA NA NA -1.4 NA
"2" "2" 1982-10-31 21.95 "SDC" "" "SEA" "L" -18 0 7 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1982-11-02 21.95 "SDC" "@" "NJN" "L" -10 0 15 0.317 0.286 NA NA NA NA NA NA NA NA NA NA 1.2 NA
"4" "4" 1982-11-03 21.96 "SDC" "@" "PHI" "L" -19 0 27 0.5 0.5 NA NA 5.9 28 NA 0 8.3 16.8 NA NA 11.6 NA
"5" "5" 1982-11-05 21.96 "SDC" "@" "MIL" "L" -31 0 25 0.405 0.333 NA NA 20.7 39.4 NA 0 9.2 NA NA NA NA NA
"6" "6" 1982-11-06 21.96 "SDC" "@" "CHI" "L" -5 0 11 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 11.6 NA
"7" "7" 1982-11-09 21.97 "SDC" "@" "IND" "L" -5 0 10 0.5 0.5 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"8" "8" 1982-11-11 21.98 "SDC" "" "SAS" "W" 4 0 9 0.25 0.25 NA NA 6.1 13.1 NA 0 NA NA NA NA -1.6 NA
"9" "9" 1982-11-13 21.98 "SDC" "" "KCK" "L" -1 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1982-11-16 21.99 "SDC" "" "DEN" "L" -6 0 23 0.692 0.692 NA NA NA NA NA NA NA NA NA NA 13.7 NA
"11" "11" 1982-11-18 22 "SDC" "" "CLE" "W" 9 0 27 0.387 0.167 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"12" "12" 1982-11-20 22 "SDC" "" "WSB" "L" -8 0 12 0.25 0.25 NA NA 13 13.8 NA NA NA NA NA NA NA NA
"13" "13" 1982-11-24 22.01 "SDC" "" "NJN" "W" 5 0 18 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1982-11-27 22.02 "SDC" "@" "DEN" "L" -16 0 26 0.509 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1982-11-30 22.03 "SDC" "@" "POR" "L" -7 0 16 0.125 0.125 NA NA 12.9 6.8 NA 0 0 NA NA NA -0.9 NA
"16" "16" 1982-12-01 22.03 "SDC" "@" "SEA" "L" -21 0 23 0.563 0.5 NA NA NA NA NA NA NA NA NA NA 6.8 NA
"17" "17" 1982-12-03 22.04 "SDC" "" "PHI" "L" -17 0 1 NA NA NA NA 0 0 NA 46.6 NA NA NA NA NA NA
"18" "18" 1982-12-04 22.04 "SDC" "@" "PHO" "W" 10 0 26 0.479 0.5 NA NA NA NA NA NA NA NA NA NA 10.3 NA
"19" "19" 1982-12-07 22.05 "SDC" "@" "GSW" "L" -7 0 14 0.509 0.5 NA NA NA NA NA NA NA NA NA NA 5.2 NA
