"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2008-10-29 20.6 "MEM" "@" "HOU" "L" -11 0 27.1666666666667 0.557 0.556 14.7 43.2 28.5 8 2.1 5.9 0 17 130 81 14.3 13.2
"2" "2" 2008-10-31 20.6 "MEM" "" "ORL" "W" 2 1 28.4333333333333 0 0 0 42.2 19.6 0 3.8 8.4 0 10.2 0 80 1.4 -2.9
"3" "3" 2008-11-01 20.61 "MEM" "@" "CHI" "L" -10 1 13.1666666666667 0.42 0.333 8.5 14.3 11.6 0 0 0 17.4 20.5 81 110 0.6 -11.2
"4" "4" 2008-11-03 20.61 "MEM" "" "GSW" "W" 11 1 15.8 0.444 0.444 7.2 11.5 9.6 25.5 0 4 25 35.7 75 90 2.9 -6.8
"5" "5" 2008-11-05 20.62 "MEM" "@" "SAC" "L" -5 1 16.8166666666667 0.254 0.143 21.4 20.4 21 0 6.6 0 0 22.5 85 106 3.4 -10.8
"6" "6" 2008-11-07 20.62 "MEM" "@" "GSW" "W" 5 1 25.8666666666667 0.44 0.385 12.4 32.7 23.2 5.8 0 7.7 0 23.8 115 96 11.1 1.4
"7" "7" 2008-11-09 20.63 "MEM" "@" "DEN" "L" -10 1 27.9166666666667 0.601 0.571 0 15 7.6 8.5 4.9 5.5 10.7 14.6 105 88 9.6 4.7
"8" "8" 2008-11-10 20.63 "MEM" "@" "PHO" "L" -5 1 24.5 0.5 0.5 9.3 28 17.8 0 4 7.1 0 17.7 116 100 10.5 4.8
"9" "9" 2008-11-12 20.64 "MEM" "" "NYK" "L" -29 1 27.05 0.3 0.3 8.9 20.3 14.2 0 1.8 6.6 16.7 19.8 63 129 3.2 -12.3
"10" "10" 2008-11-14 20.64 "MEM" "" "MIL" "L" -5 1 23.2166666666667 0.25 0.25 0 9 4.7 7.2 4.7 2.9 20 10.5 49 101 1.8 -3
"11" "11" 2008-11-18 20.65 "MEM" "" "SAC" "W" 15 1 17.6 0.667 0.667 0 31 17.3 16.3 3 4.5 25 10.8 113 94 4.3 1.8
"12" "12" 2008-11-21 20.66 "MEM" "@" "DAL" "L" -15 1 15.1333333333333 0 0 6.2 44.3 23.6 0 0 0 0 9.1 20 94 -0.8 -11.7
"13" "13" 2008-11-22 20.66 "MEM" "" "UTA" "L" -9 1 33.25 0.5 0.5 12.7 27.9 20 0 1.6 2.3 11.1 25.1 102 115 10.4 -3.8
"14" "14" 2008-11-24 20.67 "MEM" "" "SAS" "L" -13 0 12.2666666666667 NA NA 0 0 0 0 4.5 0 NA 0 0 105 0.6 -2.7
"15" "15" 2008-11-26 20.67 "MEM" "@" "UTA" "L" -17 1 19.8166666666667 0.429 0.429 6.2 6.9 6.5 0 2.6 0 0 16.3 100 130 2.3 -9.3
"16" "16" 2008-11-28 20.68 "MEM" "@" "SAS" "L" -11 0 6.28333333333333 0 0 21.8 46.3 33.7 0 0 0 33.3 48.1 15 122 -4.3 -54.9
"17" "17" 2008-11-29 20.68 "MEM" "" "OKC" "L" -8 1 8.23333333333333 1 1 20.1 15.8 17.7 0 6.6 0 0 11.7 202 113 3.8 5.1
"18" "18" 2008-12-03 20.69 "MEM" "@" "ATL" "L" -10 1 21.8166666666667 0.511 0.444 11.9 8.5 10.5 16.8 0 0 0 24.5 124 130 7.8 -0.8
"19" "19" 2008-12-05 20.7 "MEM" "" "LAC" "W" 12 1 16.25 0.333 0.333 0 34.8 18.2 18.4 3.3 0 14.3 20.8 77 88 2 -4.3
"20" "20" 2008-12-06 20.7 "MEM" "@" "NOH" "L" -19 1 28.9666666666667 0.37 0.2 3.9 11 6.8 5.3 0 0 0 11.6 93 126 1.9 -8.3
"21" "21" 2008-12-08 20.71 "MEM" "" "HOU" "W" 12 0 16.3 0.5 0.5 8 17.8 12.6 0 0 0 0 6.1 129 115 1.1 -7.5
"22" "22" 2008-12-10 20.71 "MEM" "@" "OKC" "W" 6 1 15.2166666666667 0.429 0.429 7.5 20.4 13 0 0 4.9 0 21.8 100 115 3.5 -9.6
"23" "" 2008-12-12 20.72 "MEM" "" "CHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "23" 2008-12-14 20.72 "MEM" "" "MIA" "W" 16 1 15.75 0.506 0.444 8 19.5 14.3 0 0 9.8 0 32.2 110 100 7.1 -3.3
"25" "24" 2008-12-16 20.73 "MEM" "" "NOH" "L" -7 0 14.3166666666667 0.387 0.333 0 9.9 4.9 0 3.9 0 20.5 17.3 64 104 0.8 -6.5
"26" "25" 2008-12-19 20.74 "MEM" "" "CHA" "L" -29 1 15.05 0.6 0.6 0 0 0 14.9 0 0 16.7 20.3 99 136 2.2 -8.4
"27" "" 2008-12-22 20.75 "MEM" "" "LAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "26" 2008-12-23 20.75 "MEM" "@" "DAL" "L" -18 1 23.8166666666667 0.5 0.5 4.2 10.3 6.9 0 0 3.2 14.3 14 90 115 3.6 -5.4
"29" "27" 2008-12-26 20.76 "MEM" "" "IND" "W" 3 1 15.2333333333333 0.333 0.333 0 16.6 8.1 0 0 0 0 18.2 75 119 0.8 -13.2
"30" "28" 2008-12-27 20.76 "MEM" "@" "SAS" "L" -3 0 16.4833333333333 1 1 16.4 16.4 16.4 10.4 3.6 0 33.3 9.4 138 104 4.1 1.3
"31" "29" 2008-12-29 20.76 "MEM" "@" "MIN" "L" -10 1 29.3333333333333 0.405 0.444 15.7 8.6 12.3 6.3 1.9 5.6 0 16.3 102 108 6.6 -3.4
"32" "30" 2008-12-30 20.77 "MEM" "" "PHO" "L" -12 1 9.85 0.25 0.25 0 0 0 0 0 0 20 23.8 39 117 -1.8 -19.6
"33" "31" 2009-01-02 20.78 "MEM" "" "SAS" "L" -11 0 15.4 0.6 0.6 7.1 31.2 16.8 0 3.6 0 0 15.1 131 100 5.1 5
