"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2010-10-27 24.32 "CHI" "@" "OKC" "L" -11 0 2.51666666666667 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -5.7
"2" "2" 2010-10-30 24.32 "CHI" "" "DET" "W" 10 0 15.0833333333333 0.5 0.5 6.9 26 16.7 0 3.2 0 0 5.6 124 88 2.3 -3.6
"3" "3" 2010-11-01 24.33 "CHI" "" "POR" "W" 12 0 26.2333333333333 0.532 0.667 19.6 17 18 4.7 0 8.3 0 10.3 132 107 6.8 1.9
"4" "4" 2010-11-04 24.34 "CHI" "" "NYK" "L" -8 0 17.9666666666667 0.902 1 0 33.4 16.7 0 0 0 43.6 16.3 80 123 3.4 -6.6
"5" "5" 2010-11-05 24.34 "CHI" "@" "BOS" "L" -5 0 11.5833333333333 0.5 0.5 13.1 0 6.2 0 0 0 50 16.4 59 112 -1.5 -15.4
"6" "6" 2010-11-08 24.35 "CHI" "" "DEN" "W" 2 0 11.9166666666667 0.521 0.5 0 26.9 13.3 13.4 0 0 0 10.4 116 96 2.4 1
"7" "7" 2010-11-11 24.36 "CHI" "" "GSW" "W" 30 0 11.05 0.82 0.75 0 41 25.6 0 0 0 29.1 28.2 107 90 5.9 -2.2
"8" "8" 2010-11-13 24.36 "CHI" "" "WAS" "W" 7 0 9.93333333333333 0.5 0.5 0 21.5 11.1 0 0 7 0 9.2 103 101 2.3 -1.4
"9" "9" 2010-11-16 24.37 "CHI" "@" "HOU" "W" 3 0 17.9333333333333 0.798 1 15.3 21.7 18.6 8.7 0 4.8 44.4 17.2 93 106 4.1 -1.6
"10" "10" 2010-11-17 24.37 "CHI" "@" "SAS" "L" -9 0 13.9333333333333 0.41 0.25 0 24.6 11.2 19.4 0 0 17 18.6 86 110 1.3 -4.7
"11" "11" 2010-11-19 24.38 "CHI" "@" "DAL" "W" 5 0 9.96666666666667 NA NA 0 30.1 15.5 14.2 0 17.5 100 9.4 21 83 0.2 -0.6
"12" "12" 2010-11-23 24.39 "CHI" "@" "LAL" "L" -7 0 8.73333333333333 0 0 39.3 13.1 26.2 0 0 0 0 14.9 54 116 -0.9 -21.6
"13" "13" 2010-11-24 24.39 "CHI" "@" "PHO" "W" 8 0 13.7 0.725 1 8.1 7.8 8 9.3 3.9 5.5 0 8.9 159 101 5.5 9.2
