"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-10-29 22.52 "CLE" "" "BOS" "L" -11 0 22 0.467 0.286 NA NA NA NA NA NA NA NA NA NA 4.1 NA
"2" "2" 1982-10-31 22.52 "CLE" "" "MIL" "L" -24 0 20 0.5 0.5 NA NA 3 17.1 NA NA 16.7 NA NA NA 6 NA
"3" "3" 1982-11-02 22.53 "CLE" "" "DET" "L" -9 0 22 0.442 0.4 NA NA NA NA NA NA NA NA NA NA 8.9 NA
"4" "4" 1982-11-04 22.53 "CLE" "@" "CHI" "L" -7 0 14 0 0 NA NA NA 44.7 NA NA NA NA NA NA -1 NA
"5" "5" 1982-11-05 22.54 "CLE" "" "NJN" "L" -8 0 10 0.5 0.5 NA NA NA NA NA NA NA NA NA NA -1.4 NA
"6" "6" 1982-11-10 22.55 "CLE" "@" "GSW" "W" 12 0 6 1 1 NA NA NA NA NA NA NA NA NA NA 2.4 NA
"7" "7" 1982-11-12 22.56 "CLE" "@" "PHO" "L" -13 0 18 0.654 0.667 NA NA NA NA NA NA NA NA NA NA 10.6 NA
"8" "8" 1982-11-14 22.56 "CLE" "@" "LAL" "L" -13 0 18 0.571 0.571 NA NA 6.5 22 NA NA NA NA NA NA 3.8 NA
"9" "9" 1982-11-18 22.57 "CLE" "@" "SDC" "L" -9 0 11 0.41 0.25 NA NA NA NA NA NA NA NA NA NA 1.2 NA
"10" "10" 1982-11-19 22.58 "CLE" "@" "SEA" "L" -7 0 10 1 1 NA NA NA NA NA NA NA NA NA NA 3.4 NA
"11" "11" 1982-11-21 22.58 "CLE" "@" "POR" "L" -50 0 20 0 0 NA NA 0 34.3 NA 0 50 NA NA NA -1.9 NA
"12" "12" 1982-11-23 22.59 "CLE" "" "UTA" "L" -22 0 14 0.512 0.5 NA NA 6.9 10.3 NA 0 NA NA NA NA 2.3 NA
"13" "13" 1982-11-26 22.59 "CLE" "" "PHI" "L" -18 0 12 0.333 0.333 NA NA 8.8 36.4 NA 0 NA NA NA NA 1.3 NA
"14" "14" 1982-11-28 22.6 "CLE" "" "KCK" "W" 8 0 9 0.51 0.4 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"15" "15" 1982-11-30 22.61 "CLE" "@" "MIL" "L" -10 0 21 0.45 0.375 NA NA 9.5 43.7 NA 0 18.4 NA NA NA 6.3 NA
"16" "16" 1982-12-01 22.61 "CLE" "" "NYK" "L" -17 0 26 0.446 0.462 NA NA NA NA NA NA NA NA NA NA 6.3 NA
"17" "17" 1982-12-03 22.61 "CLE" "@" "IND" "L" -8 0 21 0.663 0.6 NA NA NA NA NA NA NA NA NA NA 10.2 NA
"18" "18" 1982-12-04 22.62 "CLE" "" "IND" "W" 20 0 17 0.546 0.5 NA NA NA NA NA NA NA NA NA NA 6.6 NA
"19" "19" 1982-12-07 22.62 "CLE" "" "ATL" "L" -12 0 12 0.431 0 NA NA NA NA NA NA NA NA NA NA 1.2 NA
"20" "20" 1982-12-08 22.63 "CLE" "@" "BOS" "L" -20 0 12 0.515 0.333 NA NA NA NA NA NA NA NA NA NA 4.4 NA
"21" "21" 1982-12-10 22.63 "CLE" "" "DEN" "L" -10 0 8 0.347 0.5 NA NA NA NA NA NA NA NA NA NA 0.2 NA
"22" "22" 1982-12-15 22.65 "CLE" "@" "PHI" "L" -6 0 6 0 0 NA NA 0 74.4 NA 0 NA NA NA NA 1.7 NA
"23" "23" 1982-12-16 22.65 "CLE" "@" "ATL" "L" -9 0 13 0.286 0.286 NA NA NA NA NA NA NA NA NA NA 6.3 NA
"24" "24" 1982-12-18 22.65 "CLE" "" "DET" "L" -7 1 29 0.414 0.4 NA NA NA NA NA NA NA NA NA NA 6.2 NA
"25" "25" 1982-12-22 22.67 "CLE" "" "IND" "W" 2 0 13 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 1 NA
"26" "26" 1983-01-02 22.7 "CLE" "" "SAS" "L" -8 0 7 NA NA NA NA 0 19 NA 0 NA NA NA NA -0.3 NA
"27" "27" 1983-01-05 22.7 "CLE" "@" "DET" "L" -14 0 21 0.357 0.357 NA NA NA NA NA NA NA NA NA NA 4.5 NA
"28" "28" 1983-01-06 22.71 "CLE" "" "LAL" "L" -18 0 3 0 0 NA NA 0 0 NA 0 50 25.9 NA NA -0.7 NA
"29" "29" 1983-01-13 22.73 "CLE" "@" "MIL" "L" -10 0 10 1 1 NA NA 0 0 NA 0 0 NA NA NA 6.1 NA
"30" "30" 1983-01-21 22.75 "CLE" "@" "NJN" "L" -6 0 6 NA NA NA NA NA NA NA NA NA NA NA NA -1 NA
"31" "31" 1983-01-23 22.75 "CLE" "@" "BOS" "L" -14 0 5 NA NA NA NA NA NA NA NA NA NA NA NA -1 NA
"32" "32" 1983-01-25 22.76 "CLE" "@" "NYK" "L" -33 0 6 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 0.7 NA
"33" "33" 1983-01-26 22.76 "CLE" "" "CHI" "L" -5 0 8 0.521 0.5 NA NA 0 28.6 NA NA NA NA NA NA 3 NA
"34" "34" 1983-01-28 22.77 "CLE" "@" "DET" "W" 1 0 33 0.356 0.2 NA NA NA NA NA NA NA NA NA NA 8.6 NA
"35" "35" 1983-01-29 22.77 "CLE" "" "SEA" "W" 1 0 5 0.25 0.25 NA NA NA NA NA NA NA NA NA NA -1.8 NA
"36" "36" 1983-02-02 22.78 "CLE" "" "NJN" "L" -13 0 7 1 1 NA NA NA NA NA NA NA NA NA NA 2.8 NA
"37" "37" 1983-02-04 22.79 "CLE" "" "ATL" "L" -11 0 18 0.661 0.714 NA NA NA NA NA NA NA NA NA NA 7.8 NA
"38" "38" 1983-02-05 22.79 "CLE" "@" "CHI" "L" -4 0 10 0.333 0.333 NA NA 0 0 NA NA NA NA NA NA 1.3 NA
"39" "39" 1983-02-06 22.79 "CLE" "" "SDC" "W" 3 0 5 1 1 NA NA NA NA NA NA NA NA NA NA 0.2 NA
"40" "40" 1983-02-09 22.8 "CLE" "" "MIL" "W" 10 0 2 0 0 NA NA 28.2 58.5 NA 0 0 NA NA NA -0.1 NA
"41" "41" 1983-02-10 22.8 "CLE" "@" "IND" "W" 4 0 9 0.667 0.667 NA NA NA 16.5 NA NA NA NA NA NA 4.4 NA
"42" "42" 1983-02-16 22.82 "CLE" "" "DAL" "W" 3 0 22 0.81 0.778 NA NA NA NA NA NA NA NA NA NA 13.3 NA
"43" "43" 1983-02-17 22.82 "CLE" "@" "NYK" "L" -16 0 18 0.545 0.545 NA NA NA NA NA NA NA NA NA NA 7.1 NA
"44" "44" 1983-02-20 22.83 "CLE" "" "PHO" "L" -22 0 15 0.4 0.4 NA NA NA NA NA NA NA NA NA NA 2.5 NA
