"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 19.59 "SAC" "" "UTA" "L" -6 0 12.1166666666667 0.5 0.5 9 42.8 24.5 0 0 0 0 21.2 107 118 4.1 -4.4
"2" "2" 2018-10-19 19.6 "SAC" "@" "NOP" "L" -20 0 32.6333333333333 0.752 0.7 6 21 12.9 11.1 4 2.3 7.3 16.7 150 124 20.4 6.1
"3" "3" 2018-10-21 19.61 "SAC" "@" "OKC" "W" 11 0 23.7333333333333 0.416 0.385 22.5 7.8 14.6 0 1.8 0 20.4 33 83 112 4.6 -17.2
"4" "4" 2018-10-23 19.61 "SAC" "@" "DEN" "L" -14 0 32.3333333333333 0.812 0.864 3.5 26.4 15.2 14.1 0 10.8 24.5 21.9 116 119 19 6
"5" "5" 2018-10-24 19.61 "SAC" "" "MEM" "W" 5 0 22.3333333333333 0.564 0.5 12.6 11.7 12.2 8.1 0 0 8 24.1 119 100 9.7 0.6
"6" "6" 2018-10-26 19.62 "SAC" "" "WAS" "W" 4 0 22.9333333333333 0.463 0.5 16.4 19 17.6 0 1.9 4.8 29.6 28.7 73 99 4.4 -11.1
"7" "7" 2018-10-29 19.63 "SAC" "@" "MIA" "W" 10 0 16.95 0.5 0.5 11.8 17 14.4 7.2 0 10.7 22.2 21.2 90 103 4.9 -4
"8" "8" 2018-10-30 19.63 "SAC" "@" "ORL" "W" 8 0 22.7166666666667 0.571 0.571 23.5 15.7 19.2 12.2 2.1 4.4 25.5 22.5 106 94 9.9 2.8
"9" "9" 2018-11-01 19.64 "SAC" "@" "ATL" "W" 31 0 24.1166666666667 0.765 0.7 18.5 4.3 11.2 0 1.8 0 7.8 20.1 151 107 16.1 0.8
"10" "10" 2018-11-04 19.64 "SAC" "@" "MIL" "L" -35 0 20.3 0.394 0.35 4.4 25.7 14.2 6.8 0 6.1 6.7 29.6 82 130 4.6 -8.8
"11" "11" 2018-11-07 19.65 "SAC" "" "TOR" "L" -9 0 25.3833333333333 0.732 0.688 4.1 10 6.8 0 0 3.6 18.4 18.5 113 118 8.6 -1.4
"12" "12" 2018-11-09 19.66 "SAC" "" "MIN" "W" 11 0 16.3 0.381 0.286 6 5.7 5.8 0 0 8.5 11.3 21.8 80 106 3.3 -6.8
"13" "13" 2018-11-10 19.66 "SAC" "" "LAL" "L" -15 0 21.8666666666667 0.444 0.417 8 4.1 6 0 0 7.2 17 32.3 80 105 5.5 -2.1
"14" "14" 2018-11-12 19.67 "SAC" "" "SAS" "W" 5 0 21.2666666666667 0.371 0.333 11 19.2 15.4 0 0 4 24.1 27.2 66 105 1.4 -16.8
"15" "15" 2018-11-16 19.68 "SAC" "@" "MEM" "L" -8 0 20.2 0.621 0.333 5.9 0 2.9 6.9 0 0 26.2 16.3 107 121 3.9 -5.9
