"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1977-10-21 22.73 "WSB" "" "DET" "W" 8 0 5 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1977-10-22 22.73 "WSB" "@" "NYK" "L" -26 0 13 0.617 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1977-10-28 22.75 "WSB" "@" "IND" "L" -9 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1977-10-29 22.75 "WSB" "@" "KCK" "L" -14 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1977-11-04 22.76 "WSB" "" "PHO" "W" 17 0 1 0.758 NA NA NA NA NA NA NA NA NA NA NA 1.9 NA
"6" "6" 1977-11-05 22.77 "WSB" "@" "HOU" "L" -11 0 13 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1977-11-12 22.79 "WSB" "" "PHI" "W" 18 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1977-11-13 22.79 "WSB" "@" "DET" "L" -2 0 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1977-11-15 22.79 "WSB" "" "SEA" "W" 2 0 9 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1977-11-18 22.8 "WSB" "" "NYK" "W" 20 0 7 0.42 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1977-11-19 22.81 "WSB" "@" "KCK" "W" 6 0 14 0.68 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1977-11-21 22.81 "WSB" "@" "BUF" "W" 17 0 11 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1977-11-22 22.81 "WSB" "" "DEN" "L" -5 0 6 0.25 NA NA NA NA NA NA NA NA NA NA NA 0.6 NA
"14" "14" 1977-11-26 22.82 "WSB" "" "HOU" "W" 2 0 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-11-30 22.84 "WSB" "" "SAS" "W" 11 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-12-04 22.85 "WSB" "@" "CLE" "W" 6 0 7 0 NA NA NA NA NA NA NA NA NA NA NA -1.1 NA
"17" "17" 1977-12-06 22.85 "WSB" "@" "CHI" "L" -8 0 9 0 NA NA NA NA NA NA NA NA NA NA NA -0.2 NA
"18" "18" 1977-12-07 22.85 "WSB" "" "CLE" "W" 1 0 5 1.042 NA NA NA NA NA NA NA NA NA NA NA -0.4 NA
"19" "19" 1977-12-09 22.86 "WSB" "" "NOJ" "W" 4 0 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1977-12-11 22.87 "WSB" "" "NJN" "L" -11 0 8 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-12-13 22.87 "WSB" "" "GSW" "W" 6 0 2 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"22" "22" 1977-12-16 22.88 "WSB" "@" "DEN" "W" 5 0 4 NA NA NA NA NA NA NA NA NA NA NA NA -1.8 NA
"23" "23" 1977-12-17 22.88 "WSB" "@" "POR" "L" -13 0 19 0.363 NA NA NA NA NA NA NA NA NA NA NA 2.7 NA
