"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1984-10-26 21.68 "PHI" "" "CLE" "W" 10 0 27 0.637 0.5 11.9 11.1 11.5 14.2 1.8 2.1 36.7 20.8 96 105 7.8 -3.3
"2" "2" 1984-10-27 21.68 "PHI" "@" "ATL" "W" 3 0 28 0.451 0.333 6.7 16.5 11.7 19.8 3.3 0 20.5 13.2 101 100 6.5 -0.3
"3" "3" 1984-10-30 21.69 "PHI" "@" "NJN" "W" 22 0 24 0.654 0.6 25.9 9.8 17.4 20 1.8 2 20.7 28.2 120 86 17.4 8.3
"4" "4" 1984-11-02 21.7 "PHI" "" "DAL" "W" 4 0 23 0.486 0.4 13.9 23.2 18.6 0 0 5 15 22.5 101 101 7.4 -3.2
"5" "5" 1984-11-07 21.72 "PHI" "" "IND" "W" 21 0 20 0.541 0.571 30 14.1 21.8 16.2 0 0 45.7 26.1 77 100 2.7 -13.9
"6" "6" 1984-11-09 21.72 "PHI" "@" "BOS" "L" -11 0 31 0.776 0.692 12.9 16.7 14.8 14 0 0 18.7 27 133 126 20.1 4.1
"7" "7" 1984-11-14 21.73 "PHI" "" "DET" "L" -4 0 27 0.598 0.571 11.3 10.9 11.1 9.5 1.6 0 24.6 16.9 102 112 7.3 -3.8
"8" "8" 1984-11-16 21.74 "PHI" "@" "DET" "W" 11 0 30 0.784 0.75 16.4 7.1 11.4 4.9 0 1.9 37 22.6 102 98 10 0.3
"9" "9" 1984-11-17 21.74 "PHI" "@" "CHI" "W" 9 0 14 0.2 0.2 0 16.7 8.3 0 0 4.5 28.6 18.8 38 99 -3.4 -18
"10" "10" 1984-11-20 21.75 "PHI" "" "WSB" "L" -15 0 29 0.568 0.455 7.4 27.8 17.2 9.3 3 3.5 16.7 24 104 109 14.2 1.3
"11" "11" 1984-11-21 21.75 "PHI" "@" "IND" "W" 5 0 23 0.286 0.214 30.9 4.6 19 16.6 1.9 0 20.2 30.3 77 100 3.4 -9.8
"12" "12" 1984-11-23 21.76 "PHI" "@" "PHO" "W" 2 0 37 0.445 0.375 21.8 37.4 29.6 8.3 1.2 1.5 17.3 22.8 96 95 13 -0.9
"13" "13" 1984-11-24 21.76 "PHI" "@" "DEN" "L" -4 0 15 0.645 0.5 16 7.3 11.4 10.1 0 3.6 32.6 24.3 100 115 4.5 -5.2
"14" "14" 1984-11-27 21.77 "PHI" "@" "WSB" "W" 4 0 23 0.34 0.2 17.8 34.8 25.8 6.8 4.5 2.7 25.4 14.9 81 84 5.2 -1.4
"15" "15" 1984-11-28 21.77 "PHI" "" "IND" "W" 21 0 30 0.588 0.588 12.8 25.1 19 0 0 3.9 10.5 22.5 116 90 15.1 1.5
"16" "16" 1984-11-30 21.78 "PHI" "" "POR" "W" 10 1 32 0.46 0.385 12.5 36.5 22.9 11.4 4.1 1.8 25.6 26.6 86 99 11 -2.9
"17" "17" 1984-12-02 21.78 "PHI" "" "NJN" "W" 2 1 25 0.4 0.4 24 12.5 17.9 0 2 4.5 23.1 21.8 85 116 4.4 -11.1
"18" "18" 1984-12-05 21.79 "PHI" "" "MIL" "W" 1 1 29 0.546 0.5 14.1 33.1 23.4 20.6 0 3.9 12 23.1 115 105 14.9 4.3
"19" "19" 1984-12-07 21.8 "PHI" "" "LAL" "W" 6 1 35 0.612 0.6 28.1 21.1 24.8 10.9 1.4 3.2 13.3 17.4 133 119 20 5.4
"20" "20" 1984-12-09 21.8 "PHI" "" "NYK" "W" 16 1 26 0.581 0.556 10.5 23.1 16.5 6.6 3.8 2.7 16.2 20.7 107 93 10.9 1.3
"21" "21" 1984-12-11 21.81 "PHI" "@" "NYK" "L" -4 1 25 0.458 0.2 21.3 13.7 18.4 0 0 2.8 28.2 17.8 95 123 2.9 -9.6
"22" "22" 1984-12-12 21.81 "PHI" "" "BOS" "W" 3 1 37 0.604 0.545 11.8 23.6 17.7 0 2.6 1.6 26.2 20.6 96 102 13.4 0.3
"23" "23" 1984-12-14 21.82 "PHI" "@" "MIL" "W" 4 1 24 0.429 0.429 6.5 15 11.3 11.1 2.1 2.3 22.2 16.2 90 114 3 -4.6
"24" "24" 1984-12-15 21.82 "PHI" "@" "CHI" "W" 12 1 37 0.727 0.667 13.3 30.9 22.4 7.6 0 0 27.9 16.6 118 108 13.9 1.2
"25" "25" 1984-12-19 21.83 "PHI" "" "SAS" "W" 5 1 33 0.556 0.556 6.8 23 14.4 0 1.4 1.7 35.7 15.8 74 112 3.6 -8.8
