"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2018-10-17 22.73 "MIN" "@" "SAS" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2018-10-19 22.74 "MIN" "" "CLE" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2018-10-20 22.74 "MIN" "@" "DAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2018-10-22 22.75 "MIN" "" "IND" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2018-10-24 22.75 "MIN" "@" "TOR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "1" 2018-10-26 22.76 "MIN" "" "MIL" "L" -30 0 5.7 0 0 0 21.6 7.6 0 0 0 0 6.6 0 124 -0.4 -13.8
"7" "" 2018-10-29 22.76 "MIN" "" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2018-10-31 22.77 "MIN" "" "UTA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2018-11-02 22.78 "MIN" "@" "GSW" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "2" 2018-11-04 22.78 "MIN" "@" "POR" "L" -30 0 12 0.286 0.286 0 19 7.7 0 0 6.9 0 24.7 59 115 0.8 -9.4
"11" "" 2018-11-05 22.78 "MIN" "@" "LAC" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2018-11-07 22.79 "MIN" "@" "LAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2018-11-09 22.79 "MIN" "@" "SAC" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2018-11-12 22.8 "MIN" "" "BRK" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2018-11-14 22.81 "MIN" "" "NOP" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2018-11-16 22.81 "MIN" "" "POR" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2018-11-18 22.82 "MIN" "" "MEM" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2018-11-21 22.83 "MIN" "" "DEN" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2018-11-23 22.83 "MIN" "@" "BRK" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2018-11-24 22.84 "MIN" "" "CHI" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2018-11-26 22.84 "MIN" "@" "CLE" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2018-11-28 22.85 "MIN" "" "SAS" "W" 39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2018-12-01 22.85 "MIN" "" "BOS" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2018-12-03 22.86 "MIN" "" "HOU" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2018-12-05 22.87 "MIN" "" "CHO" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2018-12-08 22.87 "MIN" "@" "POR" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2018-12-10 22.88 "MIN" "@" "GSW" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2018-12-12 22.88 "MIN" "@" "SAC" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2018-12-15 22.89 "MIN" "@" "PHO" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2018-12-17 22.9 "MIN" "" "SAC" "W" 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2018-12-19 22.9 "MIN" "" "DET" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2018-12-21 22.91 "MIN" "@" "SAS" "L" -26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2018-12-23 22.92 "MIN" "@" "OKC" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2018-12-26 22.92 "MIN" "@" "CHI" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2018-12-28 22.93 "MIN" "" "ATL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2018-12-30 22.93 "MIN" "@" "MIA" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2018-12-31 22.94 "MIN" "@" "NOP" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2019-01-02 22.94 "MIN" "@" "BOS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2019-01-04 22.95 "MIN" "" "ORL" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2019-01-06 22.95 "MIN" "" "LAL" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2019-01-08 22.96 "MIN" "@" "OKC" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2019-01-11 22.97 "MIN" "" "DAL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2019-01-12 22.97 "MIN" "" "NOP" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "3" 2019-01-15 22.98 "MIN" "@" "PHI" "L" -42 0 7.38333333333333 0 0 0 19.7 7.4 0 0 0 50 11.2 0 146 -1.8 -21.8
"45" "" 2019-01-18 22.99 "MIN" "" "SAS" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2019-01-20 22.99 "MIN" "" "PHO" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "4" 2019-01-22 23 "MIN" "@" "PHO" "W" 27 0 5.6 0.5 0.5 0 35 17.5 0 0 0 0 13.7 113 92 1.6 -3.3
"48" "5" 2019-01-24 23 "MIN" "@" "LAL" "W" 15 0 1.28333333333333 0 NA 0 0 0 0 0 0 0 26.3 0 112 -0.8 -34.2
"49" "" 2019-01-25 23.01 "MIN" "@" "UTA" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2019-01-27 23.01 "MIN" "" "UTA" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2019-01-30 23.02 "MIN" "" "MEM" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2019-02-02 23.03 "MIN" "" "DEN" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2019-02-05 23.04 "MIN" "@" "MEM" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "6" 2019-02-07 23.04 "MIN" "@" "ORL" "L" -10 0 1.83333333333333 NA NA 0 0 0 0 0 0 NA 0 0 136 0 -8.8
"55" "" 2019-02-08 23.04 "MIN" "@" "NOP" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2019-02-11 23.05 "MIN" "" "LAC" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2019-02-13 23.06 "MIN" "" "HOU" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "7" 2019-02-22 23.08 "MIN" "@" "NYK" "W" 11 0 12.7333333333333 0.5 0.5 0 17.5 8.5 10.1 3.6 6.6 0 9.9 111 93 4.3 5.7
"59" "8" 2019-02-23 23.08 "MIN" "@" "MIL" "L" -12 0 14.85 0.926 1 12.7 33.2 21.5 8 0 6.2 0 11.6 196 130 10.3 9.9
"60" "" 2019-02-25 23.09 "MIN" "" "SAC" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "9" 2019-02-27 23.1 "MIN" "@" "ATL" "L" -8 0 4.23333333333333 NA NA 0 0 0 0 0 15.8 NA 0 0 118 0.7 1.2
"62" "10" 2019-02-28 23.1 "MIN" "@" "IND" "L" -7 0 10.3166666666667 0.5 0.5 0 21.6 10.2 0 4.8 0 0 7.8 121 118 2.6 0.5
"63" "11" 2019-03-03 23.11 "MIN" "@" "WAS" "L" -14 0 26.45 0.538 0.571 0 18.5 9.9 0 0 2.8 0 11.3 111 129 4.9 -5.9
"64" "12" 2019-03-05 23.11 "MIN" "" "OKC" "W" 11 0 12.2833333333333 0.512 0.5 0 6.9 4 0 0 0 0 16.8 106 123 2.9 -6.2
"65" "13" 2019-03-06 23.12 "MIN" "@" "DET" "L" -17 0 15.7166666666667 0.543 0 8.3 0 3.9 0 0 5.1 0 7.9 137 139 2.9 -3.9
"66" "14" 2019-03-09 23.12 "MIN" "" "WAS" "W" 5 1 36.5 0.466 0.458 5 9.3 6.9 6.6 1.3 0 7.2 15.1 105 117 8.5 -4.1
