"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-10-30 26.6 "WSB" "@" "CHI" "W" 18 0 4 NA NA NA NA NA 0 NA NA NA NA NA NA -0.4 NA
"2" "2" 1982-11-02 26.61 "WSB" "@" "ATL" "L" -17 0 2 0 0 NA NA 0 61.5 NA NA NA NA NA NA 0 NA
"3" "3" 1982-11-03 26.61 "WSB" "" "NJN" "W" 19 0 6 1 1 NA NA NA 0 NA NA NA NA NA NA 0.4 NA
"4" "4" 1982-11-05 26.61 "WSB" "@" "BOS" "L" -7 0 10 0.621 0.667 NA NA 32.7 22 NA NA NA NA NA NA 8.3 NA
"5" "5" 1982-11-06 26.62 "WSB" "" "IND" "W" 4 0 23 0.167 0.167 NA NA 14 0 NA NA NA NA NA NA NA NA
"6" "6" 1982-11-09 26.62 "WSB" "" "DET" "L" -3 0 22 0.5 0.5 NA NA NA 5.5 NA NA NA NA NA NA 5.3 NA
"7" "7" 1982-11-12 26.63 "WSB" "" "NYK" "L" -1 0 3 0.5 0.5 NA NA 0 76.2 NA NA NA NA NA NA NA NA
"8" "8" 1982-11-14 26.64 "WSB" "@" "PHI" "L" -9 0 5 NA NA NA NA 0 0 NA 0 NA NA NA NA 0 NA
"9" "9" 1982-11-17 26.65 "WSB" "" "SAS" "L" -2 0 19 0.436 0.5 NA NA 11.1 6.4 NA 5.4 NA NA NA NA 5.5 NA
"10" "10" 1982-12-03 26.69 "WSB" "" "NYK" "W" 7 0 6 0.258 0 NA NA 10 22.2 NA NA NA NA NA NA NA NA
"11" "11" 1982-12-04 26.69 "WSB" "@" "DAL" "W" 10 0 15 1 1 NA NA 13.5 35.8 NA NA NA NA NA NA NA NA
"12" "12" 1982-12-08 26.7 "WSB" "@" "NJN" "L" -3 0 8 0 0 NA NA 13.8 0 NA NA NA NA NA NA -1.1 NA
"13" "13" 1982-12-09 26.71 "WSB" "" "DEN" "W" 8 0 17 0.429 0.429 NA NA 10.7 7.7 NA NA NA NA NA NA 5.5 NA
"14" "14" 1982-12-11 26.71 "WSB" "@" "NYK" "L" -6 0 4 0 0 NA NA 13.6 0 NA NA NA NA NA NA NA NA
"15" "15" 1982-12-14 26.72 "WSB" "@" "CHI" "W" 6 0 7 0.4 0.4 NA NA 24.8 0 NA NA NA NA NA NA 2.9 NA
"16" "16" 1982-12-17 26.73 "WSB" "@" "DET" "W" 9 0 3 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1982-12-18 26.73 "WSB" "" "PHI" "W" 3 0 2 0.568 NA NA NA 0 0 NA 0 NA NA NA NA NA NA
"18" "18" 1982-12-23 26.75 "WSB" "@" "NJN" "L" -7 0 4 0.568 NA NA NA 27.3 34.3 NA NA NA NA NA NA NA NA
"19" "19" 1982-12-27 26.76 "WSB" "" "CHI" "W" 2 0 8 0.333 0.333 NA NA 19.6 0 NA NA NA NA NA NA 0.6 NA
