"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1961-10-19 22.24 "CHP" "@" "NYK" "L" -17 NA 38 0.661 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1961-10-21 22.24 "CHP" "@" "SYR" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1961-10-27 22.26 "CHP" "" "STL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1961-10-28 22.26 "CHP" "@" "STL" "L" -27 NA 39 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1961-11-03 22.28 "CHP" "" "NYK" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1961-11-04 22.28 "CHP" "" "LAL" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1961-11-08 22.29 "CHP" "" "NYK" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1961-11-10 22.3 "CHP" "@" "CIN" "L" -5 NA NA 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1961-11-11 22.3 "CHP" "" "CIN" "L" -10 NA NA 0.592 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1961-11-12 22.3 "CHP" "" "BOS" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1961-11-13 22.31 "CHP" "@" "LAL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1961-11-15 22.31 "CHP" "@" "LAL" "L" -15 NA NA 0.766 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1961-11-18 22.32 "CHP" "@" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1961-11-19 22.32 "CHP" "" "PHW" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1961-11-21 22.33 "CHP" "@" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1961-11-25 22.34 "CHP" "@" "PHW" "L" -32 NA NA 0.471 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1961-12-01 22.36 "CHP" "@" "BOS" "L" -19 NA 33 0.59 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1961-12-05 22.37 "CHP" "" "STL" "W" 2 NA 41 0.42 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1961-12-08 22.38 "CHP" "" "DET" "L" -26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1961-12-09 22.38 "CHP" "@" "PHW" "L" -22 NA NA 0.454 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1961-12-10 22.38 "CHP" "" "PHW" "L" -9 NA NA 0.497 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1961-12-11 22.38 "CHP" "" "CIN" "L" -16 NA NA 0.426 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1961-12-13 22.39 "CHP" "" "NYK" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
