"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1977-10-18 22.81 "MIL" "" "LAL" "W" 5 1 2 0.333 NA NA NA NA NA NA NA NA NA NA NA 1 NA
"2" "2" 1977-10-22 22.82 "MIL" "" "CHI" "W" 18 1 24 0.437 NA NA NA NA NA NA NA NA NA NA NA 6.5 NA
"3" "3" 1977-10-27 22.83 "MIL" "@" "HOU" "L" -23 1 23 0.508 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1977-10-30 22.84 "MIL" "" "SEA" "W" 13 1 20 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1977-11-01 22.85 "MIL" "" "KCK" "W" 20 1 22 0.603 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1977-11-03 22.85 "MIL" "@" "CLE" "L" -9 1 18 0.571 NA NA NA NA NA NA NA NA NA NA NA 3.9 NA
"7" "7" 1977-11-04 22.85 "MIL" "" "HOU" "W" 2 1 27 0.398 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1977-11-08 22.87 "MIL" "" "DEN" "L" -10 1 26 0.425 NA NA NA NA NA NA NA NA NA NA NA 3.7 NA
"9" "9" 1977-11-10 22.87 "MIL" "@" "WSB" "W" 3 1 36 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1977-11-11 22.87 "MIL" "" "CLE" "L" -6 1 30 0.506 NA NA NA NA NA NA NA NA NA NA NA 12 NA
"11" "11" 1977-11-13 22.88 "MIL" "" "BOS" "L" -8 1 13 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1977-11-22 22.9 "MIL" "" "GSW" "W" 21 0 15 0.667 NA NA NA NA NA NA NA NA NA NA NA 1.6 NA
"13" "13" 1977-11-23 22.91 "MIL" "@" "KCK" "W" 6 0 17 0.628 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1977-11-25 22.91 "MIL" "@" "ATL" "W" 2 0 17 0.633 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-11-26 22.92 "MIL" "@" "SAS" "L" -22 0 17 0.517 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-11-29 22.92 "MIL" "" "DET" "L" -1 1 27 0.727 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1977-11-30 22.93 "MIL" "@" "IND" "W" 7 1 34 0.489 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1977-12-02 22.93 "MIL" "" "WSB" "L" -13 1 26 0.545 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1977-12-03 22.93 "MIL" "@" "NYK" "W" 7 1 32 0.468 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1977-12-04 22.94 "MIL" "" "NJN" "W" 16 1 22 0.301 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-12-06 22.94 "MIL" "@" "LAL" "L" -1 1 28 0.467 NA NA NA NA NA NA NA NA NA NA NA 7.1 NA
"22" "22" 1977-12-08 22.95 "MIL" "@" "GSW" "W" 1 1 20 0.694 NA NA NA NA NA NA NA NA NA NA NA 4.7 NA
"23" "23" 1977-12-09 22.95 "MIL" "@" "SEA" "L" -13 1 22 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1977-12-10 22.95 "MIL" "@" "DEN" "L" -7 1 23 0.507 NA NA NA NA NA NA NA NA NA NA NA 4 NA
"25" "25" 1977-12-13 22.96 "MIL" "" "PHI" "W" 12 1 20 0.635 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1977-12-16 22.97 "MIL" "" "NYK" "W" 2 1 42 0.519 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1977-12-29 23.01 "MIL" "" "BOS" "L" -9 0 9 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1978-01-03 23.02 "MIL" "" "PHO" "L" -22 0 11 0.17 NA NA NA NA NA NA NA NA NA NA NA -1.5 NA
"29" "29" 1978-01-08 23.03 "MIL" "" "KCK" "W" 10 0 13 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1978-01-10 23.04 "MIL" "" "IND" "W" 22 0 18 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1978-01-11 23.04 "MIL" "@" "SAS" "L" -24 0 13 0.256 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1978-01-13 23.05 "MIL" "@" "CHI" "L" -17 0 17 0.546 NA NA NA NA NA NA NA NA NA NA NA 8.9 NA
"33" "33" 1978-01-17 23.06 "MIL" "" "NJN" "W" 10 0 16 0.647 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1978-01-18 23.06 "MIL" "@" "BOS" "L" -14 0 12 0.508 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1978-01-22 23.07 "MIL" "" "CHI" "W" 22 0 3 0.5 NA NA NA NA NA NA NA NA NA NA NA 2.5 NA
"36" "36" 1978-01-27 23.08 "MIL" "@" "LAL" "L" -17 0 18 0.406 NA NA NA NA NA NA NA NA NA NA NA 3.2 NA
"37" "37" 1978-01-29 23.09 "MIL" "@" "SEA" "L" -2 0 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
