"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1981-11-03 23.11 "CHI" "" "ATL" "W" 8 0 10 0.595 0.6 NA NA NA NA NA NA NA NA NA NA 6.2 NA
"2" "2" 1981-11-04 23.12 "CHI" "@" "BOS" "L" -22 0 13 0.307 0.25 NA NA NA NA NA NA NA NA NA NA -0.5 NA
"3" "3" 1981-11-06 23.12 "CHI" "" "SDC" "W" 21 0 11 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 4.3 NA
"4" "4" 1981-11-09 23.13 "CHI" "@" "CLE" "L" -1 0 7 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 1 NA
"5" "5" 1981-11-10 23.13 "CHI" "" "KCK" "W" 12 1 30 0.66 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1981-11-11 23.13 "CHI" "@" "PHI" "L" -27 0 20 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 3.9 NA
"7" "7" 1981-11-14 23.14 "CHI" "@" "WSB" "L" -5 0 14 0.286 0.286 NA NA NA NA NA NA NA NA NA NA -0.5 NA
"8" "8" 1981-11-17 23.15 "CHI" "" "BOS" "L" -3 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"9" "9" 1981-11-20 23.16 "CHI" "" "UTA" "L" -2 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 0.6 NA
"10" "10" 1981-11-21 23.16 "CHI" "" "WSB" "W" 12 0 8 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 4.1 NA
"11" "11" 1981-11-27 23.18 "CHI" "@" "PHO" "L" -4 0 7 0.788 0.75 NA NA NA NA NA NA NA NA NA NA 6 NA
"12" "12" 1981-11-29 23.18 "CHI" "@" "POR" "L" -5 0 18 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 4.3 NA
"13" "13" 1981-12-01 23.19 "CHI" "@" "SEA" "L" -16 0 7 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 3.9 NA
"14" "14" 1981-12-02 23.19 "CHI" "@" "GSW" "L" -1 0 20 0.656 0.636 NA NA NA NA NA NA NA NA NA NA 13.4 NA
"15" "15" 1981-12-04 23.2 "CHI" "@" "UTA" "W" 4 0 19 0.506 0.444 NA NA NA NA NA NA NA NA NA NA 7.2 NA
"16" "16" 1981-12-08 23.21 "CHI" "" "IND" "W" 2 0 10 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1981-12-11 23.22 "CHI" "" "HOU" "W" 13 0 3 0 0 NA NA NA NA NA NA NA NA NA NA -2.1 NA
"18" "18" 1981-12-15 23.23 "CHI" "" "CLE" "W" 9 0 7 0 0 NA NA NA NA NA NA NA NA NA NA -1.4 NA
"19" "19" 1981-12-16 23.23 "CHI" "@" "NJN" "W" 1 0 3 NA NA NA NA NA NA NA NA NA NA NA NA -1 NA
"20" "20" 1981-12-18 23.24 "CHI" "@" "NYK" "L" -15 0 10 0.512 0.5 NA NA NA NA NA NA NA NA NA NA 1.6 NA
"21" "21" 1981-12-19 23.24 "CHI" "@" "HOU" "L" -7 0 6 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 2 NA
"22" "22" 1981-12-22 23.25 "CHI" "" "WSB" "W" 2 0 18 0.438 0.438 NA NA NA NA NA NA NA NA NA NA 5.9 NA
"23" "23" 1981-12-26 23.26 "CHI" "@" "DET" "L" -2 0 18 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 16.8 NA
"24" "24" 1981-12-27 23.26 "CHI" "@" "MIL" "L" -12 0 25 0.414 0.4 NA NA NA NA NA NA NA NA NA NA 1.8 NA
"25" "25" 1981-12-29 23.27 "CHI" "" "NYK" "L" -3 0 21 0.714 0.714 NA NA NA NA NA NA NA NA NA NA 5.7 NA
"26" "26" 1982-01-02 23.28 "CHI" "" "MIL" "L" -7 0 12 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1982-01-05 23.28 "CHI" "" "DEN" "W" 6 0 6 0.25 0.25 NA NA NA NA NA NA NA NA NA NA 0.3 NA
"28" "28" 1982-01-06 23.29 "CHI" "@" "BOS" "W" 14 0 2 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1982-01-12 23.3 "CHI" "" "DET" "L" -11 0 5 0 0 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"30" "30" 1982-01-14 23.31 "CHI" "@" "NJN" "L" -26 1 33 0.537 0.533 NA NA NA NA NA NA NA NA NA NA 6.2 NA
"31" "31" 1982-01-15 23.31 "CHI" "@" "WSB" "L" -3 0 12 0.333 0.333 NA NA NA NA NA NA NA NA NA NA -0.1 NA
"32" "32" 1982-01-17 23.32 "CHI" "@" "IND" "L" -13 0 10 0 0 NA NA NA NA NA NA NA NA NA NA -1.7 NA
"33" "33" 1982-02-03 23.36 "CHI" "@" "MIL" "L" -15 0 12 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 1.5 NA
"34" "34" 1982-02-07 23.38 "CHI" "@" "PHI" "L" -16 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 0.6 NA
"35" "35" 1982-02-09 23.38 "CHI" "@" "DET" "L" -5 0 30 0.571 0.571 NA NA NA NA NA NA NA NA NA NA 9.7 NA
"36" "36" 1982-02-10 23.38 "CHI" "" "ATL" "W" 18 0 17 0.26 0 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1982-02-13 23.39 "CHI" "" "MIL" "L" -30 0 18 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 4.6 NA
"38" "38" 1982-02-16 23.4 "CHI" "" "PHO" "L" -5 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -1.8 NA
"39" "39" 1982-02-17 23.4 "CHI" "@" "NJN" "L" -10 0 8 0 0 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"40" "40" 1982-02-21 23.41 "CHI" "" "DAL" "L" -16 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 0.3 NA
"41" "41" 1982-03-04 23.44 "CHI" "@" "DET" "L" -25 0 10 0.205 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1982-03-26 23.5 "CHI" "" "NYK" "W" 24 0 9 0.512 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1982-03-30 23.52 "CHI" "" "ATL" "L" -15 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1982-04-06 23.53 "CHI" "" "PHI" "L" -13 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"45" "45" 1982-04-07 23.54 "CHI" "@" "CLE" "W" 17 0 2 0.5 0.5 NA NA NA NA NA NA NA NA NA NA -0.4 NA
"46" "46" 1982-04-09 23.54 "CHI" "" "WSB" "L" -16 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1982-04-11 23.55 "CHI" "@" "ATL" "L" -19 0 20 0 0 NA NA NA NA NA NA NA NA NA NA 0.7 NA
"48" "48" 1982-04-14 23.56 "CHI" "@" "NYK" "W" 4 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1982-04-18 23.57 "CHI" "" "IND" "W" 8 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 2 NA
