"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2017-10-18 25.17 "SAC" "" "HOU" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2017-10-20 25.17 "SAC" "@" "DAL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2017-10-21 25.18 "SAC" "@" "DEN" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "1" 2017-10-23 25.18 "SAC" "@" "PHO" "L" -2 0 25.4833333333333 0.389 0.367 0 18.8 6.9 11.2 3.7 0 0 24.1 91 113 7.4 -4
"5" "2" 2017-10-26 25.19 "SAC" "" "NOP" "L" -8 0 25.45 0.635 0.571 0 9.7 4.7 24.8 0 0 20.2 17.9 109 122 7.3 -5.5
"6" "3" 2017-10-29 25.2 "SAC" "" "WAS" "L" -27 1 23.3833333333333 0.833 0.833 0 13.7 6.7 11.6 8.8 0 18.2 21.3 129 101 13.9 13.8
"7" "4" 2017-10-31 25.2 "SAC" "@" "IND" "L" -18 1 28.1 0.5 0.5 0 6.8 3.5 10.7 0 3.1 12.5 12.6 95 112 3.8 -5
"8" "5" 2017-11-01 25.21 "SAC" "@" "BOS" "L" -27 1 19.1833333333333 0.381 0.286 5.8 7.1 6.4 8.3 2.8 6.1 0 19.5 91 128 4.9 -3.7
"9" "6" 2017-11-04 25.21 "SAC" "@" "DET" "L" -9 1 26.95 1 1 0 4.8 2.7 6.1 0 0 12.5 14.4 159 121 11.5 4
"10" "7" 2017-11-07 25.22 "SAC" "" "OKC" "W" 8 1 21.0833333333333 0.394 0.313 11.4 8.9 10 0 0 9.3 18.4 23.1 74 88 2.8 -3.4
"11" "8" 2017-11-09 25.23 "SAC" "" "PHI" "W" 1 1 22.65 0.431 0.4 4.2 8.5 6.3 12.6 2.1 4.2 16.1 23.1 81 105 5.2 -3.2
"12" "9" 2017-11-11 25.23 "SAC" "@" "NYK" "L" -27 1 20.8833333333333 0.541 0.429 0 11.8 5.6 9.9 4.9 3.6 10.7 20.2 105 115 7.5 0.5
"13" "10" 2017-11-13 25.24 "SAC" "@" "WAS" "L" -18 1 20.3833333333333 0.625 0.625 4.7 13.5 8.3 16.1 0 0 0 9.2 144 129 5.3 -3.3
"14" "11" 2017-11-15 25.24 "SAC" "@" "ATL" "L" -46 1 22.8166666666667 0.438 0.438 0 15.6 5.1 0 0 0 11.1 17.4 76 140 1 -14.9
"15" "12" 2017-11-17 25.25 "SAC" "" "POR" "W" 4 0 24.3333333333333 0.125 0.125 0 14.1 6.8 17.4 4.4 0 0 15.1 49 89 1.4 -6.1
"16" "13" 2017-11-18 25.25 "SAC" "@" "POR" "L" -12 0 27.6333333333333 0.462 0.462 0 5.4 2.2 20.6 0 0 0 20.9 103 118 6.9 -0.3
"17" "14" 2017-11-20 25.26 "SAC" "" "DEN" "L" -16 0 21 0.455 0.455 5.7 10.6 8.3 0 0 0 15.4 29.1 78 130 3.2 -11.2
"18" "15" 2017-11-22 25.26 "SAC" "" "LAL" "W" 11 0 26.7333333333333 0.778 0.778 0 4.7 2.4 34.7 3.7 0 25 19.9 129 104 13.1 7.5
"19" "16" 2017-11-25 25.27 "SAC" "" "LAC" "L" -2 0 22.9666666666667 0.592 0.563 0 6 2.8 7.1 4.4 4 37.2 26.8 73 99 3.9 -5.5
"20" "17" 2017-11-27 25.28 "SAC" "@" "GSW" "W" 4 0 21.85 0.652 0.571 0 12.9 6.1 19.8 0 0 17.9 24.3 118 126 8.6 -5.3
"21" "18" 2017-11-28 25.28 "SAC" "" "MIL" "L" -25 0 19.6 0.81 0.833 0 0 0 9.4 5.2 0 41 17 91 111 4.2 -1.2
"22" "19" 2017-12-01 25.29 "SAC" "@" "CHI" "W" 1 0 30.4833333333333 0.595 0.542 0 11 5.8 17.7 1.7 0 15.8 28.9 107 117 13.5 -3.9
"23" "20" 2017-12-02 25.29 "SAC" "@" "MIL" "L" -5 0 27.3833333333333 0.571 0.5 0 19.5 10.2 16.6 3.8 0 20.2 17.1 103 113 7.4 -0.9
"24" "21" 2017-12-06 25.3 "SAC" "@" "CLE" "L" -6 0 17.6833333333333 0.313 0.313 6 6.3 6.2 40.4 5.8 0 20 26.2 78 104 3.1 -6.1
"25" "22" 2017-12-08 25.31 "SAC" "@" "NOP" "W" 7 0 24.7833333333333 0.444 0.444 0 5.1 2.6 11.1 8.2 3.5 25 21.4 77 91 5.9 -0.6
"26" "23" 2017-12-10 25.31 "SAC" "" "TOR" "L" -15 1 29.6666666666667 0.689 0.7 0 3.4 1.9 6 0 0 0 17.6 139 117 9.8 2.9
"27" "24" 2017-12-12 25.32 "SAC" "" "PHO" "W" 7 0 32.7833333333333 0.506 0.444 3.4 12.5 8.1 17.4 1.6 0 9.2 14.8 113 102 8.4 -2.2
"28" "25" 2017-12-14 25.32 "SAC" "@" "MIN" "L" -23 0 32.6166666666667 0.75 0.75 0 25.2 10.9 14 0 0 25 11.1 116 134 7.5 -3.5
"29" "26" 2017-12-17 25.33 "SAC" "@" "TOR" "L" -15 0 28.5833333333333 0.9 0.9 4.2 8.8 6.5 32 1.8 0 16.7 20.2 145 123 17.6 12.1
"30" "27" 2017-12-19 25.34 "SAC" "@" "PHI" "W" 6 1 18.1333333333333 0.291 0.167 0 6.2 2.9 20.7 0 0 22.5 20.8 63 107 0.6 -12.4
"31" "28" 2017-12-20 25.34 "SAC" "@" "BRK" "W" 5 1 33.2 0.595 0.6 0 8.9 5 9.2 0 0 7.8 17.9 123 121 8.7 -3.7
"32" "29" 2017-12-23 25.35 "SAC" "" "SAS" "L" -9 0 28.65 1.25 1.25 0 4.2 1.9 5.6 0 0 14.3 11.6 196 122 11.6 4.8
"33" "30" 2017-12-26 25.36 "SAC" "@" "LAC" "L" -27 0 28.8666666666667 0.431 0.45 3.3 9.2 5.8 15 1.7 0 22.3 20.3 75 131 3.8 -12.3
"34" "31" 2017-12-27 25.36 "SAC" "" "CLE" "W" 14 0 30.5166666666667 0.847 0.833 0 11.8 6.1 39.9 7.1 3.7 29.8 21.6 128 96 18.9 16.2
"35" "32" 2017-12-29 25.36 "SAC" "" "PHO" "L" -10 0 30.4333333333333 0.597 0.6 0 7 3.8 16.3 0 2.9 0 17.3 127 130 9.4 -1.6
