"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1985-10-25 23.02 "WSB" "@" "ATL" "W" 9 0 3 0 0 0 0 0 0 0 0 0 15 0 101 -1.5 -31.2
"2" "2" 1985-10-29 23.04 "WSB" "@" "CLE" "W" 7 0 10 0.75 0.75 28.2 0 12 0 0 6.1 20 22.2 118 98 3.9 -0.3
"3" "3" 1985-10-31 23.04 "WSB" "" "CLE" "L" -7 0 15 0.129 0 13.3 17.8 15.2 0 0 7 20.5 12.9 48 107 0.1 -10.9
"4" "4" 1985-11-02 23.05 "WSB" "" "BOS" "L" -15 0 20 0 0 4.3 45.4 20.6 8.6 0 14.8 50 4.4 35 79 4.9 5.7
"5" "5" 1985-11-05 23.05 "WSB" "@" "NJN" "L" -6 0 4 NA NA 0 0 0 0 0 0 NA 0 0 119 0 -2.2
"6" "6" 1985-11-12 23.07 "WSB" "@" "DET" "L" -2 0 11 0.258 0.333 24.5 9.3 17.4 0 0 4.7 0 13.3 88 110 1.8 -6.3
"7" "7" 1985-11-15 23.08 "WSB" "@" "BOS" "L" -4 0 10 0.694 1 0 19.6 10.1 0 0 9.8 0 5.8 121 106 2.9 4.2
"8" "8" 1985-11-16 23.08 "WSB" "" "PHI" "W" 21 0 9 0 0 0 0 0 0 5.3 0 0 4.7 0 93 -0.5 -4.7
"9" "9" 1985-11-19 23.09 "WSB" "@" "NYK" "L" -4 0 15 0.532 1 6 17.3 10.7 0 0 17.8 0 5 103 92 3.8 2.9
"10" "10" 1985-11-20 23.1 "WSB" "" "CLE" "W" 3 0 5 1 1 0 0 0 0 9.5 11.4 0 8 200 75 3.4 21.3
"11" "11" 1985-11-22 23.1 "WSB" "" "NYK" "W" 8 0 3 0 0 0 34.8 17 0 0 0 0 13.4 0 96 -0.4 -15
"12" "12" 1985-11-24 23.11 "WSB" "" "CHI" "W" 9 0 1 NA NA 0 0 0 0 0 0 NA 0 0 113 0 -3.9
"13" "13" 1985-11-26 23.11 "WSB" "@" "DAL" "L" -13 0 5 NA NA 0 51.9 23.7 0 0 0 NA 0 0 115 0.6 -3
"14" "14" 1985-11-27 23.12 "WSB" "@" "SAS" "L" -7 0 19 0.399 0.5 5.1 43.9 23.7 0 2.3 19.6 0 7.6 90 73 8.2 9
"15" "15" 1985-11-30 23.12 "WSB" "" "DET" "W" 14 0 12 NA NA 0 8.5 4.4 0 0 12.6 NA 0 0 105 2 0.6
"16" "16" 1985-12-03 23.13 "WSB" "" "POR" "W" 3 0 23 0.4 0.4 15.3 21.3 18.6 0 0 14.1 0 8.6 118 106 7.9 0.9
"17" "17" 1985-12-04 23.13 "WSB" "@" "PHI" "L" -5 0 27 1 1 0 24.5 12.4 0 0 11.9 50 3.1 79 96 4.6 -0.4
"18" "18" 1985-12-06 23.14 "WSB" "" "SEA" "W" 6 0 14 1 1 11.4 20.2 16.1 0 0 8.9 0 3 201 107 2.8 3.7
"19" "19" 1985-12-08 23.15 "WSB" "" "SAC" "W" 22 0 22 0.266 0.5 33.1 15.2 23 0 0 21 0 7.3 104 84 9 7
"20" "20" 1985-12-11 23.15 "WSB" "@" "DET" "W" 8 0 22 0.5 0.5 9.3 9.3 9.3 0 0 16.1 0 3.9 137 105 6.3 3.8
"21" "21" 1985-12-12 23.16 "WSB" "" "MIL" "W" 2 1 48 0.557 0.5 12.8 6.6 9 3.6 0 11.8 5.8 15.5 121 103 21.8 6.2
"22" "22" 1985-12-17 23.17 "WSB" "" "UTA" "L" -8 1 27 0.799 0.833 11.6 13 12.3 0 0 12.3 0 10.5 165 99 13.6 8.7
"23" "23" 1985-12-19 23.18 "WSB" "@" "CHI" "W" 6 1 34 0.615 0.5 3.1 29.7 17.8 10.7 1.3 11.5 29.1 3.9 115 75 11.7 8.6
"24" "24" 1985-12-21 23.18 "WSB" "" "LAL" "L" -12 1 35 0.667 0.667 0 20.4 10.4 0 0 11.8 25 5.1 93 96 7.8 2.7
"25" "25" 1985-12-22 23.18 "WSB" "" "NYK" "L" -7 1 26 NA NA 0 19.4 9.3 0 0 14.8 100 1.7 0 93 2.8 -0.6
"26" "26" 1985-12-27 23.2 "WSB" "" "ATL" "W" 2 1 26 0.5 0.5 9 13.8 11.4 4.8 0 8.5 33.3 4.8 102 111 4.2 1.9
"27" "27" 1985-12-28 23.2 "WSB" "@" "NJN" "W" 5 1 36 0.25 0.25 0 16.7 8.3 0 1.4 10.5 33.3 7.6 33 89 2.7 -2.1
"28" "28" 1985-12-30 23.21 "WSB" "" "IND" "L" -17 1 36 0.333 0.333 2.7 24.8 13 0 1.4 7.7 40 6.3 48 96 5.1 -1.8
"29" "29" 1986-01-02 23.21 "WSB" "@" "NYK" "W" 6 1 32 0 0 11.1 10 10.4 3.1 0 12.1 50 5.6 48 116 2.5 -5.7
"30" "30" 1986-01-03 23.22 "WSB" "" "MIL" "L" -7 1 40 1.064 1 5.6 24 15.5 3.4 0 5.2 34.7 3 152 106 10.2 4.2
