"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2015-10-28 18.99 "PHO" "" "DAL" "L" -16 0 21.3333333333333 0.841 0.929 0 14.7 6.7 0 2.2 0 0 15.7 162 107 11.8 11.2
"2" "2" 2015-10-30 19 "PHO" "" "POR" "W" 18 0 2.4 0 0 0 0 0 0 0 0 50 33.2 0 98 -2.1 -46
"3" "" 2015-10-31 19 "PHO" "@" "POR" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2015-11-02 19.01 "PHO" "@" "LAC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "3" 2015-11-04 19.01 "PHO" "" "SAC" "W" 21 0 6.06666666666667 0.833 0.833 0 0 0 0 8 13.2 25 28.6 102 80 4.4 18.3
"6" "" 2015-11-06 19.02 "PHO" "" "DET" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "4" 2015-11-08 19.02 "PHO" "@" "OKC" "L" -21 0 9.8 0 0 0 0 0 12.9 0 0 0 12.4 20 125 -2.6 -17.8
"8" "5" 2015-11-12 19.04 "PHO" "" "LAC" "W" 14 0 1.11666666666667 NA NA 0 0 0 97.7 0 0 NA 0 232 113 0.7 23.4
"9" "6" 2015-11-14 19.04 "PHO" "" "DEN" "W" 24 0 14.95 0.375 0.375 0 11.5 6.5 0 0 0 20 27.8 61 84 -0.2 -9.9
"10" "7" 2015-11-16 19.05 "PHO" "" "LAL" "W" 19 0 2.06666666666667 1.5 1.5 0 0 0 0 0 0 0 20.4 300 119 2.7 42.3
"11" "8" 2015-11-18 19.05 "PHO" "" "CHI" "L" -6 0 15.15 1 1 0 7.9 3.5 0 0 9.9 0 8.5 198 109 5.6 8
"12" "9" 2015-11-20 19.06 "PHO" "@" "DEN" "W" 7 0 9.61666666666667 NA NA 0 10.9 6.2 12.5 0 0 100 4.6 52 117 -0.8 -12.8
"13" "10" 2015-11-22 19.06 "PHO" "@" "NOP" "L" -6 0 16.4166666666667 0.768 0.688 0 13 6.2 0 2.8 0 0 23.9 157 115 12.6 11.9
"14" "11" 2015-11-23 19.07 "PHO" "@" "SAS" "L" -14 1 24.4333333333333 0.4 0.4 5.5 15.1 10.5 6.5 2.1 0 16.7 11.2 81 106 3.2 -4.9
"15" "12" 2015-11-25 19.07 "PHO" "" "NOP" "L" -6 0 9.2 0.833 0.833 0 41.2 18.2 15.5 5.1 0 0 13.6 168 109 5.9 12.5
"16" "13" 2015-11-27 19.08 "PHO" "" "GSW" "L" -19 0 24.7166666666667 0.444 0.4 0 0 0 0 1.8 0 12.9 13 78 132 1.3 -10.8
"17" "" 2015-11-29 19.08 "PHO" "@" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "14" 2015-12-01 19.09 "PHO" "@" "BRK" "L" -3 0 7.63333333333333 0 0 0 0 0 0 0 0 33.3 18.7 0 105 -2.4 -25
"19" "15" 2015-12-02 19.09 "PHO" "@" "DET" "L" -5 0 22.8333333333333 1.098 1.083 0 6 2.7 6.6 0 0 0 16 221 123 14.8 11.4
"20" "16" 2015-12-04 19.1 "PHO" "@" "WAS" "L" -3 0 16.05 0.667 0.667 0 7.9 3.9 0 3.1 0 14.3 18.9 112 113 5.3 -1.2
