"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1996-03-12 22.53 "ATL" "" "UTA" "W" 26 0 5 0.167 0.167 25.9 0 11.6 27.9 10.3 0 14.3 60.7 56 88 -0.4 -28
"2" "2" 1996-03-16 22.54 "ATL" "@" "SAS" "L" -27 0 7 1.042 1.25 14 15.9 14.9 0 0 0 41 29.5 101 127 3.2 2.8
"3" "3" 1996-03-22 22.55 "ATL" "@" "CHH" "W" 25 0 3 NA NA 0 41 20.8 0 18 0 100 14.5 0 65 0.3 -1.3
"4" "4" 1996-03-28 22.57 "ATL" "@" "CHI" "L" -31 0 9 0.68 0.7 11.1 14.4 12.5 66.7 5.8 8 14.5 33 124 107 7.7 30.9
"5" "5" 1996-04-02 22.58 "ATL" "" "BOS" "W" 20 0 4 0 0 0 0 0 0 0 0 50 22.7 0 105 -1.7 -27.8
"6" "6" 1996-04-05 22.59 "ATL" "@" "NJN" "W" 12 0 2 NA NA 0 0 0 0 0 0 NA 0 0 91 0 -7
"7" "7" 1996-04-18 22.63 "ATL" "@" "ORL" "L" -15 0 4 1 1 0 27.9 13.5 0 0 0 0 32.2 180 128 5 38.7
"8" "8" 1996-04-20 22.63 "ATL" "" "NJN" "W" 22 0 7 0.167 0.167 40.3 18 28.6 17.1 0 0 0 36.8 78 108 0.6 -23
"1" "" 1996-11-01 23.16 "ATL" "@" "MIA" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 1996-11-02 23.17 "ATL" "" "DET" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 1996-11-04 23.17 "ATL" "@" "POR" "W" 18 0 1.36666666666667 1.136 NA 0 0 0 0 0 0 53.2 90.1 107 100 1 -0.2
"4" "2" 1996-11-05 23.18 "ATL" "@" "SEA" "W" 22 0 1.5 0.266 0 0 0 0 0 0 0 34.7 100 38 114 -1.1 -73.6
"5" "" 1996-11-07 23.18 "ATL" "@" "SAC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 1996-11-10 23.19 "ATL" "@" "LAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "3" 1996-11-12 23.19 "ATL" "" "CLE" "W" 4 1 15.6666666666667 0.2 0.2 0 0 0 10.3 3.7 0 16.7 18.5 47 104 -0.8 -10.7
"8" "4" 1996-11-13 23.2 "ATL" "@" "BOS" "L" -18 1 17.1666666666667 0.508 0.5 0 7.4 3.3 25.1 3 14.9 11.3 22.7 100 99 6.5 7.6
"9" "5" 1996-11-15 23.2 "ATL" "" "MIA" "W" 8 0 9.35 0 0 13 11.9 12.4 24.2 6.4 0 33.3 32.6 19 86 -2.9 -24.2
"10" "6" 1996-11-16 23.21 "ATL" "@" "CHI" "L" -28 0 17.8166666666667 0.45 0.5 0 7.8 3.2 34.8 0 0 0 23.4 104 122 3.7 0.4
"11" "" 1996-11-19 23.21 "ATL" "@" "CLE" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "7" 1996-11-21 23.22 "ATL" "@" "MIL" "W" 8 0 18.2 0.444 0.429 0 5.7 3.2 0 0 0 11.3 25.1 84 91 1 -7.2
"13" "8" 1996-11-23 23.22 "ATL" "@" "TOR" "W" 3 0 6.9 0 0 0 18 10.4 0 8.2 0 75 28.7 0 88 -2.4 -23
"14" "9" 1996-11-26 23.23 "ATL" "" "VAN" "W" 21 0 7.8 1.167 1.167 0 0 0 26.1 0 8.3 0 16.7 231 89 7.1 29.3
"15" "" 1996-11-27 23.24 "ATL" "@" "ORL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "10" 1996-11-29 23.24 "ATL" "" "WSB" "W" 29 0 8.45 0.694 0.5 16.7 0 7.5 16.7 12.9 0 41 27.4 101 73 4.4 11.8
"17" "11" 1996-12-03 23.25 "ATL" "" "BOS" "W" 10 0 2.03333333333333 1 1 0 0 0 0 0 0 50 42.2 63 114 0.7 -10
"18" "" 1996-12-04 23.25 "ATL" "@" "DET" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "12" 1996-12-07 23.26 "ATL" "" "TOR" "W" 26 0 4.8 0.798 1 0 0 0 0 0 0 0 16.8 156 93 2.3 6
"20" "" 1996-12-10 23.27 "ATL" "" "DEN" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 1996-12-14 23.28 "ATL" "" "PHI" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "13" 1996-12-17 23.29 "ATL" "@" "DAL" "W" 36 0 4.55 0.399 0.5 24.6 0 10.9 0 10.9 0 0 36.6 96 72 2.5 1.6
"23" "14" 1996-12-20 23.3 "ATL" "" "NJN" "W" 14 0 4.36666666666667 0.266 0 0 24.5 14.3 0 0 0 51.5 42.2 28 99 -2.2 -38.7
"24" "" 1996-12-21 23.3 "ATL" "@" "CHH" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 1996-12-23 23.31 "ATL" "@" "NYK" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 1996-12-26 23.32 "ATL" "" "CHI" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 1996-12-28 23.32 "ATL" "@" "WSB" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 1997-01-03 23.34 "ATL" "@" "NJN" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "15" 1997-01-04 23.34 "ATL" "" "NYK" "W" 17 0 1.83333333333333 0.266 0 0 0 0 0 0 0 0 47.8 59 91 -0.1 -23.4
"30" "" 1997-01-07 23.35 "ATL" "" "PHO" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 1997-01-09 23.35 "ATL" "@" "ORL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 1997-01-11 23.36 "ATL" "" "SAS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 1997-01-13 23.36 "ATL" "@" "CLE" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 1997-01-14 23.37 "ATL" "" "MIN" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 1997-01-16 23.37 "ATL" "" "ORL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 1997-01-18 23.38 "ATL" "" "MIL" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 1997-01-20 23.38 "ATL" "" "CHH" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 1997-01-21 23.39 "ATL" "@" "MIA" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 1997-01-24 23.39 "ATL" "" "WSB" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 1997-01-25 23.4 "ATL" "" "BOS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 1997-01-28 23.41 "ATL" "@" "LAC" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 1997-01-30 23.41 "ATL" "@" "UTA" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 1997-01-31 23.41 "ATL" "@" "VAN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "16" 1997-02-02 23.42 "ATL" "@" "DEN" "L" -11 0 1.76666666666667 1 1 0 0 0 0 0 0 0 21.9 200 138 1.7 17.3
"45" "17" 1997-02-04 23.42 "ATL" "@" "GSW" "W" 22 0 3.45 1 1 0 27.3 14.3 0 0 0 0 11.9 200 99 1.6 2.7
"46" "18" 1997-02-05 23.43 "ATL" "@" "PHO" "L" -18 0 6.4 0 0 17.8 0 9.2 51.6 0 0 0 22.3 47 120 -0.4 -10.8
"47" "19" 1997-02-12 23.45 "ATL" "" "TOR" "W" 22 0 5.06666666666667 0 0 73.8 25.9 50.5 0 0 0 0 61.4 34 100 -2.5 -53.7
"48" "" 1997-02-14 23.45 "ATL" "" "CHI" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "20" 1997-02-15 23.45 "ATL" "@" "SAS" "W" 20 0 3.61666666666667 0 0 0 0 0 27.3 0 0 33.3 34.5 27 120 -1.7 -43.6
"50" "21" 1997-02-17 23.46 "ATL" "@" "HOU" "L" -29 0 7.76666666666667 0.333 0.333 0 0 0 38.7 18.9 0 0 17 96 100 4.3 17.6
"51" "22" 1997-02-19 23.47 "ATL" "" "IND" "W" 13 0 3.9 0 0 0 0 0 0 0 0 0 24.5 0 114 -1.4 -29.9
"52" "" 1997-02-21 23.47 "ATL" "" "HOU" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 1997-02-22 23.47 "ATL" "" "CHH" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 1997-02-24 23.48 "ATL" "" "GSW" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 1997-02-26 23.48 "ATL" "@" "MIL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 1997-02-28 23.49 "ATL" "" "LAL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 1997-03-02 23.5 "ATL" "@" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
