"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2007-11-02 21.66 "MIN" "" "DEN" "L" -8 0 14.9166666666667 0.25 0.25 6.6 24.1 14.5 10.1 0 0 20 14.8 59 106 0.1 -12.4
"2" "2" 2007-11-04 21.67 "MIN" "@" "NYK" "L" -4 0 7.68333333333333 0 0 0 0 0 0 0 12.2 50 12 0 110 -2.2 -18.6
"3" "3" 2007-11-06 21.67 "MIN" "" "ORL" "L" -8 0 29.0833333333333 0.556 0.556 7.9 16.5 12.1 9.9 0 0 10 15.6 114 124 5.9 -3.2
"4" "4" 2007-11-09 21.68 "MIN" "@" "LAL" "L" -14 0 6.51666666666667 0 0 0 35.1 15.5 19.9 0 0 33.3 19 18 110 -1.5 -20.1
"5" "5" 2007-11-10 21.68 "MIN" "@" "SAC" "L" -7 0 29.15 0.621 0.444 12 20.6 16.3 11.2 3.7 0 14.2 21.2 130 105 13.3 5.9
"6" "6" 2007-11-14 21.7 "MIN" "" "SAC" "W" 5 0 22.9166666666667 0.436 0.417 6.3 6.2 6.3 11.1 2.2 0 12.7 15.8 101 113 3.4 -5.1
"7" "7" 2007-11-16 21.7 "MIN" "" "WAS" "L" -16 0 24.6333333333333 0.5 0.5 0 16.2 7.7 0 0 0 0 9.2 105 117 1.2 -6.9
"8" "8" 2007-11-17 21.7 "MIN" "" "NOH" "L" -18 1 21.8333333333333 0 0 23.1 11.3 17.1 21.3 0 0 0 11.1 73 130 2 -6.1
"9" "9" 2007-11-21 21.72 "MIN" "" "CLE" "L" -11 0 13.6 0.694 1 0 9.3 4.5 0 4 6.7 25.8 13.5 82 102 2.8 0.3
"10" "10" 2007-11-23 21.72 "MIN" "@" "DEN" "L" -6 0 2.06666666666667 0 NA 0 0 0 0 0 0 0 17.2 0 103 -1.2 -27.9
"11" "11" 2007-11-24 21.72 "MIN" "" "ATL" "L" -7 0 10.85 0 0 0 0 0 0 0 0 0 9.2 0 129 -1.4 -16.7
"12" "" 2007-11-26 21.73 "MIN" "@" "NOH" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "12" 2007-11-28 21.73 "MIN" "@" "DAL" "L" -6 0 9.11666666666667 0 0 0 0 0 0 11.4 0 0 24.1 0 103 -1.5 -14.2
"14" "13" 2007-11-30 21.74 "MIN" "" "SAS" "L" -15 0 28.85 0.282 0.25 12.5 9.8 11.2 9.9 5.8 0 0 14.5 93 117 6.5 0.8
"15" "14" 2007-12-01 21.74 "MIN" "@" "MEM" "L" -29 1 31.5 0.558 0.444 0 13.9 6.5 17 0 0 21.8 19.4 95 119 7.2 -4.9
"16" "15" 2007-12-04 21.75 "MIN" "" "LAL" "L" -21 0 17.6333333333333 0.563 0.563 6.2 16.5 10.6 0 0 13.8 0 19.6 123 114 7.2 6.7
"17" "16" 2007-12-06 21.76 "MIN" "@" "ATL" "L" -1 1 44.2833333333333 0.2 0.2 8.5 36.1 21 16.1 4.7 1.7 0 13.8 78 87 9.9 0.7
"18" "17" 2007-12-08 21.76 "MIN" "" "PHO" "W" 7 1 30.95 0.276 0.3 3.5 35.2 19.4 17.6 0 0 21.6 18.8 67 99 1.3 -7.4
"19" "18" 2007-12-11 21.77 "MIN" "@" "WAS" "L" -14 1 39.85 0.765 0.7 2.6 21.4 11.8 8.2 0 1.8 14.5 8.3 136 114 10.9 2.2
"20" "19" 2007-12-12 21.77 "MIN" "@" "PHI" "L" -4 1 24.6666666666667 0.34 0.2 5.1 15 10.1 5.7 0 0 33.8 16.3 60 116 -1 -15.1
"21" "20" 2007-12-14 21.78 "MIN" "" "SEA" "L" -11 1 32.5166666666667 0.473 0.333 3.2 19.3 11.2 20.7 0 5.7 25.6 19.8 85 98 7.7 -1.1
"22" "21" 2007-12-15 21.78 "MIN" "@" "MIL" "L" -3 1 36.3166666666667 0.154 0.154 0 12.9 6.9 11.2 0 0 18.8 21.4 38 120 -4.8 -19
"23" "22" 2007-12-17 21.79 "MIN" "@" "MIA" "L" -4 1 22.65 0 0 4.5 27.1 15.8 0 0 0 33.3 11 9 92 -4.3 -15
