"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2009-10-28 22.61 "SAC" "@" "OKC" "L" -13 0 5.55 1 1 0 24.7 11.1 0 0 0 0 16.7 200 118 3.3 11.5
"2" "2" 2009-10-30 22.61 "SAC" "@" "NOH" "L" -5 0 19.05 0.403 0.5 23.3 30.7 26.5 8.1 0 0 0 13.6 111 110 5.5 -4.7
"3" "3" 2009-10-31 22.62 "SAC" "@" "SAS" "L" -19 0 10.2666666666667 0.347 0.5 21.7 15.6 19.2 0 0 0 0 12.6 97 128 1.5 -9
"4" "4" 2009-11-02 22.62 "SAC" "" "MEM" "W" 11 0 6.13333333333333 1 1 0 17.3 8.9 0 0 0 0 7.1 200 109 1.6 -1.8
"5" "5" 2009-11-04 22.63 "SAC" "" "ATL" "L" -8 0 1.76666666666667 0 0 50.3 0 30.2 0 0 0 0 23.7 62 127 -0.8 -45.9
"6" "" 2009-11-07 22.64 "SAC" "@" "UTA" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "6" 2009-11-08 22.64 "SAC" "" "GSW" "W" 13 0 4.8 1 1 47.6 22.7 34.9 0 0 0 50 17 114 107 1.6 -8.1
"8" "" 2009-11-10 22.64 "SAC" "" "OKC" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "7" 2009-11-13 22.65 "SAC" "" "HOU" "W" 9 0 12.1333333333333 0.694 0.5 18.8 16.8 17.8 11.3 0 0 25.8 13.7 132 110 3.9 0.4
"10" "8" 2009-11-17 22.66 "SAC" "" "CHI" "L" -14 0 0.85 NA NA 0 100 68.9 0 0 0 NA 0 0 76 0.3 5
"11" "" 2009-11-20 22.67 "SAC" "@" "DAL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "9" 2009-11-21 22.67 "SAC" "@" "HOU" "L" -7 0 0.316666666666667 NA NA 0 0 0 0 0 0 NA 0 0 127 0 -6.4
"13" "10" 2009-11-23 22.68 "SAC" "@" "MEM" "L" -11 0 14.1 0.902 1 18.4 9.5 14 11.1 0 0 20.5 14.6 147 121 5.5 2.5
"14" "11" 2009-11-25 22.68 "SAC" "" "NYK" "W" 14 0 26.2 0.5 0.5 17.9 17.6 17.7 4.9 1.9 0 14.3 11.2 117 99 6.8 -2.7
"15" "12" 2009-11-27 22.69 "SAC" "" "NJN" "W" 13 0 14.2166666666667 0 0 12.1 18.1 16.1 8.7 0 0 0 3.3 99 102 1.2 -3.2
"16" "13" 2009-11-29 22.7 "SAC" "" "NOH" "W" 16 0 16.5833333333333 0.644 0.667 37.3 29.7 33.1 0 0 0 34 16.5 111 107 4.5 -5.9
"17" "14" 2009-12-02 22.7 "SAC" "" "IND" "W" 5 0 7.36666666666667 0 0 17.6 12.8 14.8 0 0 0 33.3 17.6 25 110 -1.8 -23.2
"18" "" 2009-12-05 22.71 "SAC" "@" "PHO" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "15" 2009-12-06 22.72 "SAC" "" "MIA" "L" -13 0 6.2 NA NA 0 55.3 23.1 20.9 0 0 NA 0 222 125 1.3 6
"20" "" 2009-12-08 22.72 "SAC" "@" "NOH" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2009-12-09 22.72 "SAC" "@" "SAS" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "16" 2009-12-12 22.73 "SAC" "" "MIN" "W" 20 0 19.4166666666667 0.694 0.667 21.5 19.4 20.4 5.5 0 0 0 8.9 167 100 7.4 -1.2
"23" "17" 2009-12-15 22.74 "SAC" "@" "POR" "L" -7 0 9.46666666666667 0 0 13.3 27.4 20.3 0 0 0 0 5.1 60 112 0.2 -8.9
"24" "18" 2009-12-16 22.74 "SAC" "" "WAS" "W" 3 0 1.13333333333333 NA NA 0 0 0 0 0 0 NA 0 0 122 0 -6.8
"25" "" 2009-12-18 22.75 "SAC" "@" "MIN" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2009-12-19 22.75 "SAC" "@" "MIL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "19" 2009-12-21 22.76 "SAC" "@" "CHI" "W" 4 0 16.8 0 0 19.5 20.9 20.2 7.9 3 0 0 2.6 136 100 2.8 -1.7
"28" "20" 2009-12-23 22.76 "SAC" "" "CLE" "L" -13 0 7.58333333333333 0 0 15.2 17.9 16.4 17 0 0 0 6.3 91 128 -0.2 -12.1
"29" "21" 2009-12-26 22.77 "SAC" "" "LAL" "L" -9 0 21.4333333333333 0.266 0 18.3 30.8 23.6 0 2.5 0 0 3.9 120 99 3.6 -4.3
"30" "22" 2009-12-28 22.78 "SAC" "" "DEN" "W" 5 0 16.7666666666667 0.63 0.333 30.9 30.1 30.5 8.4 0 7 17.4 14.8 139 91 8 4.7
"31" "23" 2009-12-30 22.78 "SAC" "" "PHI" "L" -10 0 8.38333333333333 0.868 1 39 0 22 18.7 6.1 0 25.8 20.2 140 116 5.6 5.9
"32" "24" 2010-01-01 22.79 "SAC" "@" "LAL" "L" -1 0 4.9 1 1 0 0 0 0 0 0 0 9.9 200 125 1.7 2.4
"33" "25" 2010-01-02 22.79 "SAC" "" "DAL" "L" -8 0 11.0666666666667 1.136 NA 28.9 13.1 22.2 0 4.5 0 0 3.4 234 97 4.2 2.7
"34" "26" 2010-01-05 22.8 "SAC" "" "PHO" "L" -4 0 23.45 1 1 22.2 14 18.2 5.7 4.1 0 50 10.2 109 109 7.6 -1.3
"35" "27" 2010-01-08 22.81 "SAC" "@" "GSW" "L" -7 0 16.6333333333333 1.136 NA 6 22.8 13.4 7.8 3 0 0 4.6 241 108 6.9 5.8
"36" "28" 2010-01-09 22.81 "SAC" "" "DEN" "W" 2 1 37.9333333333333 0.253 0.222 24.6 15.4 19.7 3.6 0 2.1 0 12 100 113 5.3 -5.8
"37" "29" 2010-01-12 22.82 "SAC" "" "ORL" "L" -21 0 12.5333333333333 0.97 1 36.1 10.1 25.3 0 0 0 0 16.3 209 122 10.2 11.4
"38" "30" 2010-01-15 22.82 "SAC" "@" "PHI" "L" -12 0 17.3666666666667 0 0 21.3 13.5 17.3 0 3 0 25 10.7 41 105 -0.2 -11.8
"39" "31" 2010-01-16 22.83 "SAC" "@" "WAS" "L" -10 0 12.9666666666667 0.347 0 27.1 19 23.1 0 8.4 0 0 10 119 94 4.1 -1.3
"40" "32" 2010-01-18 22.83 "SAC" "@" "CHA" "L" -2 0 30.4 0 0 30.7 25.1 27.6 3.9 1.7 2.4 75 5.6 75 107 3.7 -5.8
"41" "33" 2010-01-20 22.84 "SAC" "@" "ATL" "L" -11 1 22.7 0.676 0.75 5.2 12.1 8.3 0 0 0 18.4 10.9 106 122 2.7 -7.3
"42" "34" 2010-01-22 22.84 "SAC" "@" "ORL" "L" -16 1 18.7833333333333 0.381 0.429 13 19.2 15.5 0 0 5.2 0 16.9 90 99 3.6 -2.7
"43" "35" 2010-01-23 22.85 "SAC" "@" "MIA" "L" -31 1 23.5833333333333 0.521 0.5 5.2 23.3 13.8 7.3 0 0 14.8 13.7 100 131 4 -5.4
"44" "" 2010-01-26 22.85 "SAC" "" "GSW" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "36" 2010-01-29 22.86 "SAC" "@" "UTA" "L" -7 0 12.1666666666667 NA NA 0 20.8 10.1 0 0 0 100 3.8 0 111 -2.4 -15.8
"46" "37" 2010-01-30 22.87 "SAC" "" "CHA" "L" -7 0 10.5 0 0 19.9 0 10.8 0 0 0 0 4.2 94 117 0.3 -11.5
"47" "38" 2010-02-01 22.87 "SAC" "@" "DEN" "L" -3 0 22.0833333333333 0.799 0.833 26.7 37.3 32.6 17.1 0 0 12.7 17 150 107 11.7 6.4
"48" "39" 2010-02-03 22.88 "SAC" "" "SAS" "L" -2 0 15.0166666666667 1.064 1 8.4 9.4 8.9 0 0 0 0 5.6 224 128 3.5 -2.4
"49" "40" 2010-02-05 22.88 "SAC" "" "PHO" "L" -12 0 22.3833333333333 0.46 0.333 9.1 22 15 6.3 2.3 0 0 12.8 117 119 5.4 0.1
"50" "" 2010-02-07 22.89 "SAC" "@" "TOR" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "41" 2010-02-09 22.89 "SAC" "@" "NYK" "W" 4 0 15.9 0.333 0.333 35.5 6.5 20.4 8 0 0 0 8.1 139 114 3.6 -4.6
"52" "42" 2010-02-10 22.9 "SAC" "@" "DET" "W" 6 0 3.25 NA NA 0 0 0 0 0 0 NA 0 0 119 0 -6.4
"53" "43" 2010-02-16 22.91 "SAC" "" "BOS" "L" -3 0 5.21666666666667 1 1 19.2 0 9.9 0 9.6 0 0 8.4 206 89 3.4 14.3
"54" "44" 2010-02-17 22.92 "SAC" "@" "GSW" "L" -32 0 13.8666666666667 0.581 0.667 12.8 31.5 21.2 0 0 0 0 10.1 127 128 4.1 -5.1
"55" "" 2010-02-20 22.92 "SAC" "@" "LAC" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2010-02-21 22.93 "SAC" "@" "PHO" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2010-02-23 22.93 "SAC" "" "DET" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2010-02-26 22.94 "SAC" "" "UTA" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "" 2010-02-28 22.95 "SAC" "" "LAC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2010-03-02 22.95 "SAC" "@" "OKC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "" 2010-03-03 22.95 "SAC" "@" "HOU" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "" 2010-03-05 22.96 "SAC" "@" "DAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2010-03-07 22.96 "SAC" "" "OKC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
