"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 1996-12-27 22.73 "POR" "@" "LAC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 1996-12-29 22.74 "POR" "" "SAS" "W" 24 0 4.75 0.75 0.75 0 0 0 0 0 16.8 0 36.3 146 95 3.9 25.2
"3" "" 1997-01-02 22.75 "POR" "@" "HOU" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 1997-01-04 22.76 "POR" "@" "DAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 1997-01-06 22.76 "POR" "" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 1997-01-08 22.77 "POR" "" "MIA" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 1997-01-14 22.78 "POR" "" "DET" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 1997-01-16 22.79 "POR" "@" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 1997-01-17 22.79 "POR" "" "TOR" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "2" 1997-01-19 22.8 "POR" "" "UTA" "W" 6 0 4.06666666666667 0 0 0 0 0 0 0 0 34.7 34.7 0 119 -3.3 -50.6
"11" "3" 1997-01-21 22.8 "POR" "" "LAC" "W" 18 0 11.7333333333333 0.717 0.625 0 7.7 4.3 13.3 4.2 0 17 22.1 121 88 6 9.3
"12" "4" 1997-01-22 22.81 "POR" "@" "SEA" "L" -1 0 3.95 0.5 0.5 0 66.7 37.5 48 0 0 50 45.7 59 96 -0.5 -26
"13" "5" 1997-01-24 22.81 "POR" "@" "PHO" "W" 10 0 6.46666666666667 0.931 0.75 0 0 0 0 0 0 0 23.6 202 118 6 17.1
"14" "6" 1997-01-25 22.81 "POR" "" "MIN" "W" 7 0 1.28333333333333 NA NA 0 0 0 0 0 0 NA 0 0 113 0 -6.7
"15" "7" 1997-01-28 22.82 "POR" "@" "TOR" "L" -36 0 1.93333333333333 NA NA 0 0 0 0 0 0 100 21 0 131 -1.4 -46.5
"16" "8" 1997-01-29 22.82 "POR" "@" "DET" "L" -9 0 15.8166666666667 0.732 0.688 0 15.8 8.2 14.3 3.6 0 10.1 30.4 135 112 9.9 17.8
"17" "9" 1997-01-31 22.83 "POR" "@" "BOS" "L" -6 0 7.05 0 0 0 0 0 0 0 0 25 24.1 0 121 -4.3 -38.7
"18" "10" 1997-02-02 22.84 "POR" "@" "MIN" "L" -1 0 7.93333333333333 0.333 0.333 0 0 0 42.9 0 0 0 15.5 104 116 0.1 -10.1
"19" "11" 1997-02-04 22.84 "POR" "" "CHI" "L" -4 0 7.01666666666667 1 1 0 0 0 28.4 0 0 0 7 204 118 2 6.9
"20" "12" 1997-02-11 22.86 "POR" "" "PHO" "W" 3 0 11.2666666666667 0.301 0 0 11.8 6.1 34.4 4.7 0 23.1 18.4 81 111 2.6 -1.9
"21" "13" 1997-02-13 22.87 "POR" "@" "UTA" "L" -24 0 7.83333333333333 0.773 0.833 0 35.3 14.1 28.6 0 0 0 20.3 163 115 5.6 17.7
"22" "14" 1997-02-15 22.87 "POR" "" "HOU" "W" 4 0 12.95 0.318 0.318 0 0 0 12.3 3.9 0 0 37.5 80 111 2.2 -8.7
"23" "15" 1997-02-16 22.87 "POR" "" "BOS" "W" 12 0 7.7 0.521 0.75 0 0 0 0 0 0 0 15.7 94 115 0.8 -7.6
