"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1952-11-01 22.3 "NYK" "" "BLB" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1952-11-08 22.32 "NYK" "@" "BLB" "W" 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1952-11-11 22.33 "NYK" "@" "ROC" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1952-11-16 22.35 "NYK" "@" "FTW" "L" -29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1952-11-22 22.36 "NYK" "" "SYR" "W" 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1952-11-29 22.38 "NYK" "" "INO" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1952-12-03 22.39 "NYK" "" "PHW" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1952-12-07 22.4 "NYK" "@" "FTW" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1952-12-28 22.46 "NYK" "" "PHW" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1953-01-01 22.47 "NYK" "@" "PHW" "W" 26 NA NA 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1953-01-07 22.49 "NYK" "" "SYR" "L" -21 NA NA 0.129 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1953-01-11 22.5 "NYK" "@" "MNL" "L" -6 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1953-01-27 22.54 "NYK" "@" "ROC" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1953-01-31 22.55 "NYK" "" "BOS" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1953-02-05 22.57 "NYK" "@" "MNL" "L" -8 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1953-02-14 22.59 "BLB" "" "FTW" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1953-02-15 22.59 "BLB" "" "PHW" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1953-02-20 22.61 "BLB" "@" "INO" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1953-02-21 22.61 "BLB" "" "BOS" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1953-02-26 22.62 "BLB" "" "BOS" "L" -1 NA NA 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1953-03-03 22.64 "BLB" "" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1953-03-08 22.65 "BLB" "@" "SYR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1953-03-11 22.66 "BLB" "" "NYK" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1953-03-13 22.67 "BLB" "" "PHW" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1953-03-15 22.67 "BLB" "@" "ROC" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1953-03-16 22.67 "BLB" "" "BOS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
