"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1965-10-16 23.45 "DET" "@" "NYK" "L" -8 NA 13 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1965-10-20 23.46 "DET" "" "NYK" "W" 13 NA 31 0.707 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1965-10-23 23.47 "DET" "@" "PHI" "L" -17 NA NA 0.451 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1965-10-26 23.48 "DET" "" "BAL" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1965-10-27 23.48 "DET" "@" "BAL" "W" 1 NA 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1965-10-29 23.48 "DET" "" "BOS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1965-10-30 23.49 "DET" "@" "STL" "L" -27 NA 30 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1965-10-31 23.49 "DET" "@" "CIN" "L" -6 NA NA 0.498 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1965-11-03 23.5 "DET" "" "PHI" "W" 10 NA 20 0.359 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1965-11-05 23.5 "DET" "" "CIN" "L" -6 NA NA 0.587 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1965-11-06 23.51 "DET" "@" "SFW" "L" -10 NA 9 0.17 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1965-11-09 23.52 "DET" "@" "SFW" "L" -5 NA 7 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1965-11-10 23.52 "DET" "@" "LAL" "L" -8 NA NA 0.63 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1965-11-12 23.52 "DET" "" "SFW" "L" -1 NA 12 0.421 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1965-11-13 23.53 "DET" "@" "BOS" "L" -29 NA 23 0.405 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1965-11-16 23.53 "DET" "@" "NYK" "L" -25 NA 11 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1965-11-19 23.54 "DET" "" "NYK" "L" -7 NA 16 0.773 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1965-11-20 23.55 "DET" "@" "STL" "L" -9 NA 18 0.417 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1965-11-23 23.55 "DET" "" "CIN" "W" 3 NA NA 0.489 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1965-11-24 23.56 "DET" "" "BAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1965-11-26 23.56 "DET" "" "BOS" "L" -20 NA 18 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1965-11-28 23.57 "DET" "" "LAL" "L" -18 NA NA 0.417 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1965-12-01 23.58 "DET" "" "STL" "L" -9 NA 25 0.598 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1965-12-04 23.58 "DET" "" "BAL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1965-12-08 23.59 "DET" "" "SFW" "W" 2 NA 27 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
