"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2004-12-07 24.78 "MEM" "" "NYK" "W" 8 0 18.5666666666667 0.34 0.4 0 0 0 46 0 0 33.8 23 74 114 0.5 -14
"2" "2" 2004-12-08 24.79 "MEM" "@" "ATL" "W" 8 0 11.3333333333333 0.5 0.5 0 10.6 5.7 56.3 0 0 20 21.7 100 109 3.4 -2
"3" "3" 2004-12-10 24.79 "MEM" "@" "MIA" "L" -8 0 13.1666666666667 0.5 0.5 6.8 11.2 8.5 0 4.5 0 14.3 23.7 93 108 3.6 2.9
"4" "4" 2004-12-11 24.79 "MEM" "" "DET" "W" 4 0 9.98333333333333 0.258 0.333 0 14.4 7 0 0 0 20.5 26.8 41 89 -1.6 -16.5
"5" "5" 2004-12-13 24.8 "MEM" "" "CLE" "L" -6 0 13.6 1.017 1 0 10.3 5.2 48.3 8.6 0 22.5 16.9 158 95 8.7 17.7
"6" "" 2005-01-29 24.93 "MEM" "" "ATL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2005-01-31 24.93 "MEM" "@" "NOH" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "6" 2005-02-01 24.94 "MEM" "" "PHO" "W" 11 0 11.4 0.727 0.667 0 0 0 15.6 4.9 0 12.7 32.5 130 106 6.1 7.9
"9" "7" 2005-02-03 24.94 "MEM" "" "LAC" "L" -3 0 14.3333333333333 0.571 0.5 0 11 4.7 11.7 0 0 0 28.3 128 130 6.5 0
"10" "8" 2005-02-08 24.96 "MEM" "" "MIN" "W" 12 0 1.56666666666667 NA NA 0 0 0 0 0 0 100 23.1 0 122 -1 -43.4
"11" "" 2005-02-09 24.96 "MEM" "@" "PHI" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2005-02-11 24.96 "MEM" "" "POR" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "9" 2005-02-13 24.97 "MEM" "@" "IND" "L" -3 0 11.7666666666667 0 0 0 0 0 16.8 5.5 0 0 4.5 46 96 0.6 -4.4
"14" "10" 2005-02-16 24.98 "MEM" "@" "BOS" "L" -2 0 2.85 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -8.3
"15" "11" 2005-02-23 25 "MEM" "@" "WAS" "L" -10 0 2.85 0.532 0 0 0 0 57.1 0 0 0 28.5 144 115 1.6 6.4
"16" "12" 2005-02-25 25 "MEM" "" "DEN" "L" -3 0 9.2 0.667 0.667 0 0 0 0 0 0 0 15.7 131 114 2.3 -0.5
"17" "" 2005-02-26 25 "MEM" "@" "SAS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2005-03-01 25.01 "MEM" "" "GSW" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2005-03-04 25.02 "MEM" "" "TOR" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2005-03-07 25.03 "MEM" "@" "LAC" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2005-03-08 25.03 "MEM" "@" "SAC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2005-03-11 25.04 "MEM" "@" "UTA" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "13" 2005-03-12 25.04 "MEM" "@" "POR" "L" -14 0 10.05 0.515 0.333 0 0 0 0 0 0 34 28.3 69 104 -0.5 -16.3
"24" "14" 2005-03-14 25.05 "MEM" "" "POR" "W" 21 0 16.9 0.5 0.5 0 15.2 7.7 25.3 9.4 0 20 14.3 100 84 6.7 8
"25" "15" 2005-03-16 25.05 "MEM" "@" "NOH" "W" 6 0 16.0166666666667 0.694 0.5 0 6.6 3.7 9.1 6.6 0 0 8.6 155 91 5.2 5.4
"26" "" 2005-03-18 25.06 "MEM" "" "MIN" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "16" 2005-03-20 25.06 "MEM" "" "PHO" "L" -6 0 4.23333333333333 0.5 0.5 0 0 0 0 0 0 0 23.5 94 115 0.6 -8.2
"28" "" 2005-03-24 25.07 "MEM" "@" "NJN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2005-03-26 25.08 "MEM" "" "NOH" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2005-03-28 25.08 "MEM" "@" "CHI" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
