"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1995-11-03 22.79 "BOS" "" "MIL" "L" -1 0 14 0.41 0.25 7.5 7 7.2 0 0 4.4 0 15.6 103 111 2.5 -6.8
"2" "2" 1995-11-04 22.79 "BOS" "@" "CHI" "L" -22 0 19 0.34 0.3 5.7 16.8 11.4 23.6 0 0 14.5 30.2 70 108 2 -6.2
"3" "3" 1995-11-08 22.81 "BOS" "" "PHO" "W" 4 0 13 0.4 0.286 22.2 14.8 18.5 9.6 0 5.2 0 27.2 111 108 5.8 -2.4
"4" "4" 1995-11-10 22.81 "BOS" "" "ORL" "L" -16 0 18 0.68 0.6 6.1 26.7 17 19 5.7 0 14.5 17.2 126 103 9.5 9.2
"5" "5" 1995-11-15 22.82 "BOS" "" "UTA" "L" -12 0 9 0.434 0.25 12.7 13.7 13.2 0 0 0 0 28.4 105 111 2.4 -5.7
"6" "6" 1995-11-17 22.83 "BOS" "" "WSB" "W" 10 0 9 0.5 0.5 16.7 11.6 13.7 13.4 0 0 33.3 15.5 95 115 1.3 -6.1
"7" "7" 1995-11-18 22.83 "BOS" "@" "MIL" "W" 6 0 9 0.75 0.75 17.2 0 7.7 0 6.1 0 0 21.1 157 103 5.3 7.8
"8" "8" 1995-11-20 22.84 "BOS" "" "HOU" "L" -5 0 3 NA NA 0 37.2 17.8 0 0 0 100 13.7 0 101 -1.1 -24.8
"9" "9" 1995-11-22 22.84 "BOS" "@" "CHH" "W" 5 0 5 0 0 35.6 0 14.5 0 0 0 0 16.4 47 134 -0.8 -22.3
"10" "10" 1995-11-24 22.85 "BOS" "" "GSW" "L" -7 0 11 1.064 1 0 9.9 5.7 0 0 0 51.5 15.5 93 109 0.8 -9
"11" "11" 1995-11-26 22.85 "BOS" "" "CHH" "L" -2 0 22 0.225 0.125 5.3 18.6 12.4 0 0 0 10.1 18.9 52 110 -1.9 -16.4
