"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1961-10-21 23.28 "BOS" "" "DET" "W" 35 NA 7 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1961-10-28 23.3 "BOS" "" "NYK" "W" 30 NA 9 0.483 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1961-11-04 23.32 "BOS" "" "SYR" "W" 20 NA 14 0.363 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1961-11-22 23.37 "BOS" "" "STL" "W" 20 NA 7 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1961-12-01 23.4 "BOS" "" "CHP" "W" 19 NA 10 0.239 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1961-12-05 23.41 "NYK" "" "PHW" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1961-12-12 23.43 "NYK" "" "SYR" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1961-12-13 23.43 "NYK" "" "CHP" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1961-12-15 23.44 "NYK" "" "STL" "L" -12 NA 38 0.513 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1961-12-17 23.44 "NYK" "" "BOS" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1961-12-19 23.45 "NYK" "" "STL" "W" 17 NA 29 0.468 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1961-12-21 23.45 "NYK" "" "BOS" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1961-12-23 23.46 "NYK" "@" "BOS" "L" -11 NA 41 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1961-12-25 23.46 "NYK" "" "PHW" "W" 1 NA NA 0.454 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1961-12-27 23.47 "NYK" "@" "PHW" "L" -12 NA NA 0.451 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1961-12-29 23.47 "NYK" "" "BOS" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1961-12-30 23.48 "NYK" "" "CIN" "W" 4 NA NA 0.62 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1962-01-02 23.48 "NYK" "" "DET" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1962-01-03 23.49 "NYK" "" "CIN" "L" -11 NA NA 0.398 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1962-01-06 23.5 "NYK" "" "DET" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1962-01-07 23.5 "NYK" "" "SYR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1962-01-12 23.51 "NYK" "" "STL" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1962-01-14 23.52 "NYK" "@" "SYR" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1962-01-17 23.53 "NYK" "@" "LAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1962-01-19 23.53 "NYK" "@" "LAL" "L" -1 NA NA 0.403 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1962-01-21 23.54 "NYK" "@" "STL" "L" -11 NA 32 0.582 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1962-01-22 23.54 "NYK" "" "CHP" "W" 37 NA NA 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1962-01-23 23.54 "NYK" "" "CHP" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1962-01-25 23.55 "NYK" "@" "CHP" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1962-01-26 23.55 "NYK" "" "BOS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1962-01-27 23.55 "NYK" "@" "DET" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1962-01-30 23.56 "NYK" "" "PHW" "W" 6 NA NA 0.468 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1962-01-31 23.56 "NYK" "@" "SYR" "L" -29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1962-02-02 23.57 "NYK" "" "PHW" "L" -13 NA NA 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1962-02-03 23.57 "NYK" "" "CIN" "W" 11 NA NA 0.23 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1962-02-04 23.58 "NYK" "@" "BOS" "L" -16 NA 37 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1962-02-06 23.58 "NYK" "" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1962-02-08 23.59 "NYK" "" "PHW" "L" -16 NA NA 0.633 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1962-02-09 23.59 "NYK" "" "SYR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1962-02-10 23.59 "NYK" "" "CHP" "L" -15 NA NA 0.253 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1962-02-11 23.59 "NYK" "" "PHW" "L" -10 NA NA 0.446 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1962-02-14 23.6 "NYK" "" "BOS" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1962-02-16 23.61 "NYK" "" "BOS" "L" -23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1962-02-17 23.61 "NYK" "" "LAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1962-02-18 23.61 "NYK" "@" "SYR" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1962-02-20 23.62 "NYK" "" "DET" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1962-02-22 23.62 "NYK" "" "LAL" "L" -2 NA NA 0.38 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1962-02-23 23.63 "NYK" "" "STL" "W" 12 NA NA 0.666 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1962-02-24 23.63 "NYK" "" "SYR" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1962-02-25 23.63 "NYK" "@" "PHW" "W" 14 NA NA 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1962-02-27 23.64 "NYK" "" "SYR" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1962-02-28 23.64 "NYK" "" "DET" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1962-03-02 23.65 "NYK" "" "PHW" "L" -22 NA 32 0.308 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1962-03-04 23.65 "NYK" "" "PHW" "L" -1 NA NA 0.475 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1962-03-06 23.66 "NYK" "" "BOS" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1962-03-07 23.66 "NYK" "" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1962-03-09 23.67 "NYK" "" "LAL" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1962-03-10 23.67 "NYK" "@" "CHP" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1962-03-12 23.67 "NYK" "" "LAL" "L" -13 NA NA 0.623 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1962-03-14 23.68 "NYK" "@" "CIN" "L" -2 NA NA 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1962-10-16 24.27 "NYK" "" "CHZ" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1962-10-19 24.28 "NYK" "" "LAL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1962-10-20 24.28 "NYK" "@" "BOS" "L" -33 NA 20 0.101 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1962-10-23 24.29 "NYK" "" "SYR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1962-10-26 24.3 "NYK" "" "BOS" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1962-10-27 24.3 "NYK" "@" "STL" "L" -6 NA 15 0.381 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1962-10-30 24.31 "NYK" "@" "SFW" "L" -19 NA 19 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1962-10-31 24.31 "NYK" "@" "LAL" "L" -20 NA NA 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1962-11-02 24.32 "NYK" "@" "SFW" "L" -22 NA 12 0.225 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1962-11-04 24.32 "NYK" "@" "LAL" "L" -19 NA NA 0.479 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1962-11-13 24.35 "NYK" "" "BOS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1962-11-15 24.35 "NYK" "@" "CHZ" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1962-11-16 24.36 "NYK" "" "SFW" "L" -16 NA 5 1.025 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1962-11-17 24.36 "NYK" "" "DET" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1962-11-20 24.37 "NYK" "" "STL" "W" 8 NA 35 0.626 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1962-11-21 24.37 "NYK" "" "CHZ" "W" 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1962-11-23 24.38 "NYK" "" "SYR" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1962-11-24 24.38 "NYK" "@" "SYR" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1962-11-27 24.39 "NYK" "" "CIN" "L" -10 NA NA 0.404 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1962-11-28 24.39 "NYK" "@" "DET" "L" -42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1962-12-01 24.4 "NYK" "" "DET" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1962-12-04 24.41 "NYK" "" "LAL" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
