"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1995-11-03 22.39 "CHI" "" "CHH" "W" 14 0 13 0.102 0 16.8 0 8.7 0 0 5.6 17 19.9 44 105 -1.9 -19.7
"2" "2" 1995-11-04 22.4 "CHI" "" "BOS" "W" 22 0 11 0.773 0.667 0 29.8 14.7 0 0 0 20.5 18.4 119 81 2.2 -8.1
"3" "3" 1995-11-07 22.41 "CHI" "" "TOR" "W" 9 0 2 NA NA 0 0 0 0 0 0 NA 0 0 121 -0.4 -15
"4" "4" 1995-11-09 22.41 "CHI" "@" "CLE" "W" 18 0 2 0.667 0.667 64.9 0 31.2 0 0 0 25 91.1 114 107 2.4 -4.1
"5" "5" 1995-11-11 22.42 "CHI" "" "POR" "W" 4 0 7 0.667 0.667 0 0 0 26.1 0 0 0 19.9 145 126 3 5.2
"6" "6" 1995-11-14 22.42 "CHI" "@" "ORL" "L" -6 0 11 0.798 1 8.7 13.6 10.6 14.2 0 0 34.7 10.8 108 105 2.2 1.1
"7" "7" 1995-11-15 22.43 "CHI" "" "CLE" "W" 19 0 18 0.492 0.455 45.7 16.2 31.4 18 0 0 0 34.5 134 113 11.9 -1.8
"8" "8" 1995-11-17 22.43 "CHI" "" "NJN" "W" 15 0 16 0.425 0.4 16.2 25.7 20.8 7.7 3.1 4.3 25.4 21 83 93 4.6 -1.9
"9" "9" 1995-11-21 22.44 "CHI" "@" "DAL" "W" 6 0 24 0.45 0.5 4.8 22.1 15.2 0 2.2 0 18.4 20.5 78 90 5 -4
"10" "10" 1995-11-22 22.45 "CHI" "@" "SAS" "W" 9 0 17 0.2 0.2 5.9 12.5 9.1 7.4 0 0 28.6 17 46 101 -3.1 -14.9
"11" "11" 1995-11-24 22.45 "CHI" "@" "UTA" "W" 5 0 21 0 0 10.4 17.3 14.1 0 2.6 0 43.6 15.2 17 90 -4.7 -17.2
"12" "12" 1995-11-26 22.46 "CHI" "@" "SEA" "L" -5 0 13 0 0 8.8 10.9 9.7 0 4.2 0 50 7 28 105 -2.1 -15.4
"13" "13" 1995-11-27 22.46 "CHI" "@" "POR" "W" 3 0 18 0.581 0.5 9.2 16.7 13.1 0 2.9 0 0 18.2 123 110 5.7 -2.1
"14" "14" 1995-11-30 22.47 "CHI" "@" "VAN" "W" 6 0 12 0.333 0.333 19.5 11.8 16 0 8.8 0 40 18.3 57 86 1.6 -6.8
"15" "15" 1995-12-02 22.47 "CHI" "@" "LAC" "W" 6 0 6 0.5 0.5 0 0 0 0 0 0 0 14.1 112 109 -0.2 -12.4
"16" "16" 1995-12-19 22.52 "CHI" "" "DAL" "W" 13 0 10 0.75 0.75 12.3 10.4 11.3 17.4 0 0 20 21.3 124 114 4.3 0.8
