"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1950-11-02 25.74 "SYR" "" "FTW" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1950-11-05 25.75 "SYR" "" "MNL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1950-11-09 25.76 "SYR" "" "TRI" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1950-11-11 25.77 "SYR" "@" "NYK" "L" -2 NA NA 0.315 0 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1950-11-12 25.77 "SYR" "" "BLB" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1950-11-14 25.78 "SYR" "@" "INO" "L" -30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1950-11-15 25.78 "SYR" "@" "MNL" "L" -1 NA NA 0.205 0 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1950-11-16 25.78 "SYR" "@" "TRI" "L" -4 NA NA 0.296 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1950-11-19 25.79 "SYR" "" "NYK" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1950-11-23 25.8 "SYR" "" "INO" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1950-11-25 25.81 "SYR" "@" "WSC" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1950-11-26 25.81 "SYR" "" "WSC" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1950-11-28 25.81 "SYR" "@" "NYK" "L" -24 NA NA 0.296 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1950-11-30 25.82 "SYR" "@" "PHW" "L" -3 NA NA 0.46 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1950-12-02 25.82 "SYR" "@" "BLB" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1950-12-03 25.83 "SYR" "" "INO" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1950-12-07 25.84 "SYR" "" "ROC" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1950-12-09 25.84 "SYR" "@" "BOS" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1950-12-17 25.87 "SYR" "" "NYK" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1950-12-20 25.87 "SYR" "@" "TRI" "L" -3 NA NA 0.665 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1950-12-21 25.88 "SYR" "@" "FTW" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
