"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1978-10-13 22.12 "LAL" "@" "PHI" "L" -8 0 5 1 NA NA NA NA NA NA NA NA NA NA NA 1.3 NA
"2" "2" 1978-10-14 22.12 "LAL" "@" "NJN" "L" -2 0 17 0.34 NA NA NA NA NA NA NA NA NA NA NA 0.4 NA
"3" "3" 1978-10-17 22.13 "LAL" "@" "CLE" "L" -2 0 6 0.431 NA NA NA NA NA NA NA NA NA NA NA 0.8 NA
"4" "4" 1978-10-22 22.14 "LAL" "" "SAS" "W" 13 0 3 0 NA NA NA NA NA NA NA NA NA NA NA -1.1 NA
"5" "5" 1978-10-27 22.16 "LAL" "" "SDC" "W" 12 0 3 0 NA NA NA NA NA NA NA NA NA NA NA -3.3 NA
"6" "6" 1978-10-29 22.16 "LAL" "" "WSB" "W" 16 0 2 0.333 NA NA NA NA NA NA NA NA NA NA NA 0.3 NA
"7" "7" 1978-10-31 22.17 "LAL" "" "DEN" "W" 27 0 3 0 NA NA NA NA NA NA NA NA NA NA NA 0 NA
"8" "8" 1978-11-03 22.18 "LAL" "" "NYK" "W" 23 0 2 0.5 NA NA NA NA NA NA NA NA NA NA NA 0.6 NA
"9" "9" 1978-11-10 22.19 "LAL" "" "KCK" "W" 9 0 2 0 NA NA NA NA NA NA NA NA NA NA NA 0.7 NA
"10" "10" 1978-11-12 22.2 "LAL" "" "IND" "W" 28 0 11 0.429 NA NA NA NA NA NA NA NA NA NA NA 2.2 NA
"11" "11" 1978-11-14 22.21 "LAL" "@" "MIL" "W" 18 0 2 0.5 NA NA NA NA NA NA NA NA NA NA NA 0.3 NA
"12" "12" 1978-11-17 22.21 "LAL" "" "NOJ" "W" 12 0 2 0 NA NA NA NA NA NA NA NA NA NA NA -2.1 NA
"13" "13" 1978-11-24 22.23 "LAL" "@" "WSB" "L" -10 0 3 0.338 NA NA NA NA NA NA NA NA NA NA NA 2.3 NA
"14" "14" 1978-12-01 22.25 "LAL" "" "PHO" "W" 8 0 1 0 NA NA NA NA NA NA NA NA NA NA NA -2.1 NA
"15" "15" 1978-12-05 22.26 "LAL" "@" "NOJ" "W" 12 0 1 0.5 NA NA NA NA NA NA NA NA NA NA NA 1.3 NA
"16" "16" 1978-12-06 22.27 "LAL" "@" "SAS" "L" -1 0 15 0.512 NA NA NA NA NA NA NA NA NA NA NA 4.5 NA
"17" "17" 1978-12-08 22.27 "LAL" "" "MIL" "W" 16 0 16 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1978-12-13 22.28 "LAL" "@" "SEA" "L" -10 0 6 0.615 NA NA NA NA NA NA NA NA NA NA NA 4 NA
"19" "19" 1978-12-16 22.29 "LAL" "@" "PHO" "L" -19 0 13 0.174 NA NA NA NA NA NA NA NA NA NA NA 0.4 NA
"20" "20" 1978-12-22 22.31 "LAL" "" "WSB" "W" 12 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"21" "21" 1978-12-29 22.33 "LAL" "" "POR" "W" 23 0 5 1 NA NA NA NA NA NA NA NA NA NA NA 1.7 NA
"22" "22" 1979-01-03 22.34 "LAL" "@" "ATL" "W" 3 0 9 1 NA NA NA NA NA NA NA NA NA NA NA 0.8 NA
"23" "23" 1979-01-06 22.35 "LAL" "@" "HOU" "L" -3 0 4 NA NA NA NA NA NA NA NA NA NA NA NA 0.6 NA
"24" "24" 1979-01-09 22.36 "LAL" "@" "NYK" "W" 12 0 3 0.758 NA NA NA NA NA NA NA NA NA NA NA 1.9 NA
"25" "25" 1979-01-23 22.4 "LAL" "" "NYK" "W" 24 0 6 1 NA NA NA NA NA NA NA NA NA NA NA 4.4 NA
"26" "26" 1979-01-25 22.4 "LAL" "@" "DET" "L" -35 0 12 0.595 NA NA NA NA NA NA NA NA NA NA NA 2.5 NA
"27" "27" 1979-01-26 22.41 "LAL" "@" "DEN" "L" -12 0 2 0 NA NA NA NA NA NA NA NA NA NA NA 0 NA
"28" "28" 1979-01-30 22.42 "LAL" "" "NJN" "W" 19 0 6 0.694 NA NA NA NA NA NA NA NA NA NA NA 5 NA
"29" "29" 1979-02-06 22.44 "LAL" "" "SAS" "W" 8 0 6 0 NA NA NA NA NA NA NA NA NA NA NA -2.1 NA
"30" "30" 1979-02-07 22.44 "LAL" "@" "GSW" "W" 2 0 5 0 NA NA NA NA NA NA NA NA NA NA NA -1.8 NA
"31" "31" 1979-02-18 22.47 "LAL" "@" "IND" "W" 11 0 16 0.742 NA NA NA NA NA NA NA NA NA NA NA 13.7 NA
"32" "32" 1979-02-20 22.47 "LAL" "" "GSW" "L" -11 0 5 0.5 NA NA NA NA NA NA NA NA NA NA NA -3 NA
"33" "33" 1979-02-23 22.48 "LAL" "" "BOS" "W" 9 0 1 0 NA NA NA NA NA NA NA NA NA NA NA -0.7 NA
"34" "34" 1979-02-25 22.49 "LAL" "" "IND" "W" 10 0 15 0.444 NA NA NA NA NA NA NA NA NA NA NA 2.7 NA
"35" "35" 1979-02-27 22.49 "LAL" "" "KCK" "W" 8 0 10 0.687 NA NA NA NA NA NA NA NA NA NA NA 4.4 NA
"36" "36" 1979-03-02 22.5 "LAL" "" "PHI" "W" 15 0 4 0.431 NA NA NA NA NA NA NA NA NA NA NA 1.5 NA
"37" "37" 1979-03-09 22.52 "LAL" "" "CHI" "L" -10 0 21 0.611 NA NA NA NA NA NA NA NA NA NA NA 7.6 NA
"38" "38" 1979-03-13 22.53 "LAL" "@" "WSB" "L" -9 0 20 0.458 NA NA NA NA NA NA NA NA NA NA NA 6.1 NA
"39" "39" 1979-03-14 22.53 "LAL" "@" "SAS" "L" -13 0 19 0.5 NA NA NA NA NA NA NA NA NA NA NA 1.7 NA
"40" "40" 1979-03-18 22.55 "LAL" "" "BOS" "W" 11 0 14 0.644 NA NA NA NA NA NA NA NA NA NA NA 4.8 NA
"41" "41" 1979-03-21 22.55 "LAL" "" "POR" "L" -4 0 9 0.5 NA NA NA NA NA NA NA NA NA NA NA -0.8 NA
"42" "42" 1979-03-23 22.56 "LAL" "" "SDC" "W" 37 0 9 0.694 NA NA NA NA NA NA NA NA NA NA NA 3.7 NA
"43" "43" 1979-03-25 22.56 "LAL" "@" "DEN" "L" -10 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0.3 NA
"44" "44" 1979-03-28 22.57 "LAL" "@" "PHO" "L" -6 0 3 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"45" "45" 1979-04-06 22.6 "LAL" "" "SEA" "L" -20 0 3 NA NA NA NA NA NA NA NA NA NA NA NA 0.7 NA
"46" "46" 1979-04-08 22.6 "LAL" "" "PHO" "W" 8 0 10 0.333 NA NA NA NA NA NA NA NA NA NA NA 4.5 NA
"1" "1" 1979-11-16 23.21 "IND" "@" "SDC" "L" -8 0 9 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1979-11-18 23.22 "IND" "@" "LAL" "L" -23 0 15 0.466 0.5 NA NA NA NA NA NA NA NA NA NA 3 NA
"3" "3" 1979-11-21 23.22 "IND" "" "NYK" "W" 11 0 13 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1979-11-23 23.23 "IND" "@" "BOS" "L" -15 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1979-11-28 23.24 "IND" "" "MIL" "L" -8 0 9 0.525 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1979-11-30 23.25 "IND" "@" "WSB" "W" 8 0 7 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1980-02-20 23.47 "IND" "" "NYK" "W" 45 0 7 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1980-03-02 23.5 "IND" "@" "WSB" "L" -14 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1980-03-13 23.53 "IND" "@" "NYK" "W" 7 0 6 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1980-03-21 23.56 "IND" "@" "SAS" "L" -7 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1980-03-26 23.57 "IND" "@" "DET" "W" 10 0 15 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1980-03-28 23.58 "IND" "" "SAS" "W" 5 0 12 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1980-03-30 23.58 "IND" "" "HOU" "L" -15 0 12 0.2 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
