"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1993-11-05 23.96 "HOU" "" "NJN" "W" 22 0 4 0.667 0.667 0 22.2 12.6 0 0 0 0 32.3 131 93 3 7.8
"2" "2" 1993-11-18 24 "HOU" "@" "IND" "W" 16 0 2 0.5 0.5 0 40 25 0 26.4 0 50 93.3 42 30 0.3 -17.7
"3" "3" 1993-11-20 24.01 "HOU" "" "LAC" "W" 22 0 7 0.5 0.5 0 14.6 7.6 37.9 0 0 33.3 18.1 93 93 0.9 -8.1
"4" "4" 1993-11-23 24.01 "HOU" "" "CHI" "W" 7 1 21 0.214 0.214 5.9 19.7 14.1 27.4 0 0 36.4 23.5 56 99 0.2 -14.1
"5" "5" 1993-11-24 24.02 "HOU" "@" "UTA" "W" 2 1 23 0.577 0.577 0 9.8 4.7 10.9 2.4 0 13.3 30.5 100 99 7.4 3.8
"6" "6" 1993-11-26 24.02 "HOU" "@" "SAC" "W" 3 1 27 0.888 0.857 0 23.2 12.4 15.4 3.9 0 11.3 15 156 91 13.7 10.1
"7" "7" 1993-11-27 24.02 "HOU" "@" "LAC" "W" 2 1 30 0.666 0.563 4.1 6.4 5.4 14.8 6.6 0 29.1 20.9 98 78 10.9 6.6
"8" "8" 1993-11-30 24.03 "HOU" "" "MIL" "W" 11 0 1 0.852 NA 0 0 0 0 0 0 0 76.8 187 109 2.6 51.6
"9" "9" 1993-12-03 24.04 "HOU" "@" "ATL" "L" -22 0 14 0.37 0.2 0 9.8 4.5 32.2 0 0 0 20.6 118 148 3 -8.4
"10" "10" 1993-12-07 24.05 "HOU" "" "CHH" "W" 19 0 5 1 1 0 64 36 34.5 9.2 0 50 34.1 89 72 4 12.5
"11" "11" 1993-12-09 24.06 "HOU" "" "MIA" "W" 6 0 20 0.42 0.167 15.1 10.8 12.6 7.7 2.6 0 17.4 26.7 91 109 3.5 -9.5
"12" "12" 1993-12-11 24.06 "HOU" "" "SEA" "W" 7 0 2 NA NA 0 0 0 0 0 0 100 24.2 0 93 -1.4 -40.8
"13" "13" 1993-12-14 24.07 "HOU" "@" "MIA" "W" 9 0 2 NA NA 0 0 0 0 0 0 NA 0 0 107 0 -11.4
"14" "14" 1993-12-18 24.08 "HOU" "" "DAL" "W" 11 0 28 0.542 0.542 3.2 12.9 7.3 21.1 5.5 0 0 17.6 133 93 12 8.2
"15" "15" 1993-12-21 24.09 "HOU" "@" "SAS" "W" 2 0 11 0.645 0.625 0 0 0 0 4.9 0 0 28.4 125 100 5.8 9.4
"16" "16" 1993-12-23 24.1 "HOU" "" "DEN" "L" -13 0 20 0.333 0.333 12.2 10.4 11.4 8.3 4.6 0 0 17.2 86 97 4.7 0
"17" "17" 1993-12-25 24.1 "HOU" "@" "PHO" "L" -20 0 23 0.574 0.55 0 5.4 2.4 15.7 0 0 8.1 23.7 103 124 5.9 -3
"18" "18" 1993-12-26 24.1 "HOU" "@" "LAL" "W" 25 0 14 0.286 0.286 0 6.9 3.9 28.5 3.3 0 30 29.3 56 92 -0.9 -17
"19" "19" 1993-12-28 24.11 "HOU" "@" "SEA" "L" -15 0 10 0.25 0.25 0 0 0 0 5 0 20 22.3 44 114 -0.8 -13.1
"20" "20" 1993-12-30 24.12 "HOU" "@" "MIN" "W" 6 0 19 0.5 0.5 0 4.9 2.7 28.1 0 3.1 16.7 14 104 116 4.3 -2.1
"21" "21" 1994-01-04 24.13 "HOU" "" "POR" "W" 11 0 5 1.25 1.25 0 0 0 0 9.8 0 0 17.6 250 89 5.4 35.6
"22" "22" 1994-01-08 24.14 "HOU" "" "PHI" "W" 7 0 37 0.707 0.65 2.9 8.5 5.8 37.4 4 0 38.2 20.4 100 94 14.5 4.8
"23" "23" 1994-01-10 24.15 "HOU" "@" "ORL" "L" -15 0 20 0.799 0.714 0 18.9 10.1 38.4 0 0 18.6 23.3 141 122 10.4 3.1
"24" "24" 1994-01-12 24.15 "HOU" "@" "BOS" "W" 10 0 14 0.515 0.333 0 20.2 10.5 31.6 7.5 0 43.6 21.6 73 80 3.5 -2
"25" "25" 1994-01-13 24.15 "HOU" "@" "WSB" "L" -18 0 24 0.254 0.143 10.8 10 10.4 16.2 3.8 0 20.2 16.7 69 112 2.8 -6.9
"26" "26" 1994-01-15 24.16 "HOU" "@" "CHI" "L" -6 0 25 0.765 0.8 0 9.8 4.5 15.8 0 0 25.4 15 105 99 5.9 1.1
"27" "27" 1994-01-18 24.17 "HOU" "" "BOS" "L" -12 0 13 0 0 0 8 3.8 39.9 0 0 0 6.5 78 105 1.3 -5.3
"28" "28" 1994-01-25 24.19 "HOU" "" "CLE" "W" 3 0 4 1 1 0 25 13 46.2 0 0 0 11.5 205 99 2.3 8.9
"29" "29" 1994-01-27 24.19 "HOU" "" "SAC" "W" 16 0 5 0 0 0 0 0 21.3 0 0 0 34.5 18 106 -2.5 -36.2
"30" "30" 1994-01-29 24.2 "HOU" "" "IND" "L" -11 0 14 0.333 0.333 0 0 0 53.3 0 0 25 12.4 113 135 3.1 -2.4
"31" "31" 1994-02-03 24.21 "HOU" "" "LAL" "W" 11 0 7 NA NA 0 0 0 34.3 0 0 100 6.5 68 109 0 -7
"32" "32" 1994-02-06 24.22 "HOU" "" "MIN" "W" 11 0 18 0.694 0.5 0 5.4 3 40 2.8 0 25.8 9.9 134 98 6 4.1
"33" "33" 1994-02-08 24.22 "HOU" "@" "MIL" "L" -8 0 6 0.798 1 20.5 0 11.4 0 0 0 34.7 22.2 107 117 0.8 -11
"34" "34" 1994-02-10 24.23 "HOU" "@" "DET" "W" 23 0 3 1 1 0 94.1 52.7 100 0 0 0 30.5 204 65 5.3 44
"35" "35" 1994-02-15 24.24 "HOU" "" "ATL" "W" 4 0 14 0.333 0.333 0 6.7 3.8 8.7 3.8 0 0 9.7 87 107 1.5 -4.8
"36" "36" 1994-02-16 24.25 "HOU" "@" "CHH" "L" -5 0 20 0.429 0.429 0 6.2 3 7.8 0 3.4 22.2 20.7 70 110 2 -7.1
"37" "37" 1994-02-19 24.25 "HOU" "" "PHO" "W" 18 0 7 0.515 0.333 0 14.3 7.1 20.1 0 0 0 23.1 125 94 1.7 -6
"38" "38" 1994-02-24 24.27 "HOU" "" "NYK" "W" 20 0 4 1 1 0 0 0 54.5 0 0 0 11.9 205 98 2 12.1
"39" "39" 1994-02-26 24.27 "HOU" "" "UTA" "L" -10 0 10 0.5 0.5 0 24 11.7 36.6 10.3 0 0 9 125 84 5 17
"40" "40" 1994-02-28 24.28 "HOU" "@" "UTA" "L" -4 0 24 0.379 0.364 0 18.2 10.1 30.8 0 0 0 26.5 92 110 5.3 -3.6
"41" "41" 1994-03-01 24.28 "HOU" "" "ORL" "W" 12 0 25 0.518 0.5 0 13.7 8 34.8 4.2 5.3 6.1 29.6 116 84 14.6 14.3
"42" "42" 1994-03-05 24.29 "HOU" "" "LAC" "W" 17 0 14 0.5 0.5 10.1 6.6 8 8 13.2 0 0 17.6 119 85 7.5 7.9
"43" "43" 1994-03-08 24.3 "HOU" "@" "SAS" "L" -16 0 20 0.514 0.429 5 5.7 5.3 22.6 2.5 0 18.6 23.4 99 121 6.6 -0.5
"44" "44" 1994-03-10 24.31 "HOU" "" "SEA" "W" 5 0 20 0.551 0.333 0 10.2 6.1 9.9 2.8 0 0 22.7 122 95 7.3 2.8
"45" "45" 1994-03-12 24.31 "HOU" "" "SAS" "L" -11 0 24 0.118 0.125 4 9.5 6.5 11.1 0 0 10.6 16.2 45 121 -3.5 -16.5
"46" "46" 1994-03-15 24.32 "HOU" "" "POR" "W" 6 0 19 0 0 14.9 11.5 13 24.1 0 0 33.3 20.6 41 105 -3.2 -17.3
"47" "47" 1994-03-17 24.33 "HOU" "" "GSW" "W" 13 0 15 0.25 0.25 7 5.6 6.2 22.4 0 0 33.3 15.7 68 106 0.7 -8.9
"48" "48" 1994-03-22 24.34 "HOU" "@" "MIN" "L" -2 0 6 0 0 0 22.2 9.4 48.5 0 0 50 30.2 20 95 -1.7 -25.5
"49" "49" 1994-03-24 24.35 "HOU" "" "LAL" "W" 6 0 5 0 0 0 20.9 12 0 0 0 0 9.1 0 113 -0.4 -15.9
"50" "50" 1994-03-26 24.35 "HOU" "" "UTA" "W" 15 0 28 0.781 0.688 3.8 10.5 7.3 51.9 7.6 0 14.8 21.5 149 84 22 22.2
"51" "51" 1994-03-27 24.35 "HOU" "@" "PHO" "L" -15 0 17 0.75 0.75 7.2 7.6 7.4 53.6 0 0 0 20.7 161 125 12.2 12.5
"52" "52" 1994-03-29 24.36 "HOU" "@" "SAC" "W" 21 0 23 0.709 0.667 5.8 8.9 7.5 53 0 0 33.6 29.1 112 108 10.4 -1
"53" "53" 1994-03-30 24.36 "HOU" "@" "GSW" "W" 10 0 16 0.666 0.563 0 19.1 10 0 0 0 9.3 28.7 120 106 7.7 -1.6
"54" "54" 1994-04-01 24.37 "HOU" "@" "LAL" "L" -13 0 24 0.436 0.333 0 7.5 4.2 33.3 0 0 30.4 18.4 78 116 1.7 -11.6
"55" "55" 1994-04-03 24.37 "HOU" "@" "LAC" "W" 8 0 26 0.436 0.333 0 4.6 2.2 24.1 3.6 0 22.5 15 88 98 4.8 -3.7
"56" "56" 1994-04-07 24.38 "HOU" "" "GSW" "W" 32 0 33 0.574 0.5 4.2 8.9 6.9 24.7 1.4 0 26.1 19.2 113 103 11 -1.6
"57" "57" 1994-04-09 24.39 "HOU" "" "SAS" "W" 11 0 11 0.643 0.6 0 0 0 23.1 0 0 15.5 28.5 105 105 2.8 -6.8
"58" "58" 1994-04-10 24.39 "HOU" "@" "DEN" "W" 1 0 29 0.523 0.433 0 17 7.4 41.2 3.8 2.2 5.5 28 119 101 15.5 11.8
"59" "59" 1994-04-12 24.4 "HOU" "" "MIN" "W" 9 0 24 0.233 0.167 4.8 15 9.8 10.5 4.3 0 23.7 15.6 58 92 0.2 -10.7
"60" "60" 1994-04-14 24.4 "HOU" "" "SAC" "W" 5 0 25 0.571 0.571 0 0 0 40.3 0 0 30 17.7 103 115 6.2 -4.4
"61" "61" 1994-04-16 24.41 "HOU" "@" "SEA" "L" -3 0 17 0.225 0.125 0 0 0 17 9.1 0 18.4 28.6 53 102 0.8 -9.1
"62" "62" 1994-04-17 24.41 "HOU" "@" "POR" "W" 9 0 23 0.563 0.5 5.5 8.5 7.2 24.1 4.2 0 10.1 18.6 123 108 11.1 5
"63" "63" 1994-04-19 24.42 "HOU" "@" "SAS" "L" -10 0 17 0.25 0.25 0 5.8 2.7 45.3 3.1 0 0 10.3 94 101 3.2 1.2
"64" "64" 1994-04-21 24.42 "HOU" "" "DAL" "W" 26 0 23 0.444 0.429 0 6.8 4.1 33.4 3.9 0 20.2 16.5 100 94 8 0.1
"65" "65" 1994-04-22 24.42 "HOU" "@" "DAL" "L" -12 1 40 0.314 0.304 2.9 12.5 8 36.1 2.4 1.5 14.3 29 81 106 7 -6.3
"66" "66" 1994-04-24 24.43 "HOU" "" "DEN" "L" -8 1 41 0.715 0.654 0 5.9 2.8 27.8 0 1.6 15.7 20.4 130 123 18.6 0.5
"1" "1" 1994-11-04 24.96 "HOU" "" "NJN" "W" 4 0 31 0.676 0.625 3.6 6 4.9 29.5 3.1 2.3 40.3 21.8 89 91 8.3 -0.5
"2" "2" 1994-11-05 24.96 "HOU" "@" "MIN" "W" 30 1 26 0.615 0.5 5.4 0 2.4 26.1 3.8 0 38.1 26.9 94 88 8.1 -2.4
"3" "3" 1994-11-08 24.97 "HOU" "@" "CLE" "W" 2 0 28 0.409 0.409 0 8.2 4.5 48 3.7 0 21.4 24.1 93 106 8.4 -1.7
"4" "4" 1994-11-09 24.98 "HOU" "@" "IND" "W" 5 0 21 0.451 0.3 0 17.3 9.5 40.6 0 0 21.7 37.9 85 109 4.7 -10.8
"5" "5" 1994-11-11 24.98 "HOU" "@" "BOS" "W" 20 0 20 0.61 0.5 5.6 13.1 9.8 24.2 2.5 0 0 17.3 148 84 10.5 7.8
"6" "6" 1994-11-12 24.98 "HOU" "@" "NJN" "W" 16 0 19 0.333 0.333 6.6 8.9 8 28.5 2.8 4 18.2 27.2 82 96 3.5 -6.9
"7" "7" 1994-11-15 24.99 "HOU" "" "SAC" "W" 6 0 25 0.405 0.333 0 11.8 6 21.1 1.9 2.7 23.3 20.9 75 102 2.6 -10.6
"8" "8" 1994-11-17 25 "HOU" "" "CHI" "W" 23 0 17 1.025 1 0 10.9 7 0 3 0 38.1 21.1 97 90 6.6 3
"9" "9" 1994-11-19 25 "HOU" "@" "DEN" "W" 8 0 28 0.684 0.577 0 10.1 5.1 48.2 1.8 0 0 25.3 164 110 23.6 18.7
"10" "10" 1994-11-22 25.01 "HOU" "" "POR" "L" -8 0 20 0 0 0 0 0 26.7 0 0 0 5.1 95 130 1 -8.7
"11" "11" 1994-11-23 25.01 "HOU" "@" "ORL" "L" -23 0 25 0.268 0.125 0 8.5 4.3 51.1 2 0 34.9 24.7 62 122 0.8 -11.4
"12" "12" 1994-11-26 25.02 "HOU" "" "SEA" "L" -4 0 27 0.568 0.5 0 0 0 35.4 3.8 0 0 22 134 110 13.2 8
"13" "13" 1994-11-29 25.03 "HOU" "" "DEN" "W" 15 0 28 0.457 0.429 0 8.8 3.9 26.9 1.8 0 10.2 15.4 103 91 7.2 -1.2
"14" "14" 1994-12-01 25.04 "HOU" "@" "GSW" "W" 4 0 29 0.468 0.462 0 11 5.9 29.1 1.8 0 0 21.2 120 119 10.8 -4.3
"15" "15" 1994-12-02 25.04 "HOU" "@" "LAL" "L" -18 0 18 0.41 0.25 0 10.7 5.6 47.1 0 0 29.1 17.1 85 117 2.9 -7.1
"16" "16" 1994-12-06 25.05 "HOU" "@" "SEA" "L" -13 0 26 0.617 0.444 0 9.2 4.5 52.5 4 0 0 22.9 146 112 17.6 13.6
"17" "17" 1994-12-08 25.05 "HOU" "" "CHH" "W" 6 0 26 0.579 0.333 0 10.9 6 45.7 3.8 0 31.6 22.1 107 98 11.1 1.5
"18" "18" 1994-12-10 25.06 "HOU" "" "SAS" "L" -12 0 25 0.353 0.3 0 8 4.3 23.1 0 0 8.1 21.9 82 118 3.4 -11.1
"19" "19" 1994-12-13 25.07 "HOU" "" "WSB" "W" 8 0 14 0.266 0 0 19.4 11.6 11.1 3.6 4.6 51.5 12.3 39 82 -0.4 -9
"20" "20" 1994-12-15 25.07 "HOU" "" "LAL" "L" -3 0 20 0.184 0.2 4.8 15.7 10 58.9 0 0 15.5 13.6 93 107 3.1 -5.6
"21" "21" 1994-12-17 25.08 "HOU" "" "BOS" "L" -3 0 22 0.615 0.5 9.1 0 5.1 24.6 2.4 0 0 14.6 156 126 10.8 5.7
"22" "22" 1994-12-22 25.09 "HOU" "" "PHO" "W" 8 0 7 0.515 0.333 15.6 0 6.6 37.9 0 0 20.5 30.4 113 124 3.4 -1
"23" "23" 1994-12-23 25.1 "HOU" "@" "SAS" "L" -2 0 27 0.574 0.5 4.3 14.8 10 23.6 0 4.9 24.7 27 98 105 10.7 3.1
"24" "24" 1994-12-26 25.1 "HOU" "@" "MIA" "W" 13 0 20 0.333 0.333 0 19.6 10.8 13.1 2.5 0 25 9 71 91 2.5 -8.2
"25" "25" 1994-12-27 25.11 "HOU" "" "ATL" "W" 12 0 26 0.575 0.55 0 8.2 4.7 28.2 6.1 0 22.3 25 98 98 11.1 3.7
"26" "26" 1994-12-29 25.11 "HOU" "" "GSW" "W" 2 0 27 0.543 0.357 0 12.4 6.7 40.9 0 0 30.3 20.8 107 124 8.2 -4.8
"27" "27" 1994-12-30 25.12 "HOU" "@" "UTA" "W" 8 0 24 0.372 0.222 5.3 4.8 5 25.8 2.2 0 0 21.5 104 116 6.9 -4.6
"28" "28" 1995-01-03 25.13 "HOU" "@" "DAL" "W" 12 0 31 0.643 0.643 0 0 0 30.3 5.3 0 6.7 23 143 115 17.2 7.5
"29" "29" 1995-01-05 25.13 "HOU" "" "DAL" "W" 9 0 20 0.371 0.333 0 10 5.7 41.4 5 0 17.5 25.4 86 100 6.7 -0.2
"30" "30" 1995-01-07 25.14 "HOU" "" "IND" "L" -5 0 23 0.357 0.357 0 11 5.4 43.4 2.5 0 12.5 17.4 102 107 4.9 -2.1
"31" "31" 1995-01-11 25.15 "HOU" "" "MIA" "W" 11 0 11 0 0 0 0 0 12.1 0 0 66.7 12.4 22 113 -2.8 -21
"32" "32" 1995-01-13 25.15 "HOU" "" "SAS" "W" 3 0 15 0.205 0 0 18.3 8.8 15.2 0 0 29.1 10.3 63 108 -1.4 -15.3
"33" "33" 1995-01-14 25.16 "HOU" "@" "DEN" "L" -14 0 13 0.532 0 0 21.1 11 9.5 8 0 68 21 42 115 0.6 -10.8
"34" "34" 1995-01-16 25.16 "HOU" "@" "MIN" "L" -19 0 4 0 0 0 0 0 100 0 19.4 0 22.7 68 110 1.4 14.3
"35" "35" 1995-01-19 25.17 "HOU" "" "NYK" "L" -16 0 25 0.776 0.75 4 9.6 6.5 39.5 4.4 0 31.8 18.3 111 104 10.8 8.2
"36" "36" 1995-01-20 25.17 "HOU" "@" "DET" "W" 10 0 31 0.764 0.65 7.7 15.5 11.6 50.3 6.6 0 0 20.4 176 95 28.7 23
"37" "37" 1995-01-22 25.18 "HOU" "@" "CHI" "L" -19 0 18 0.291 0.167 0 13.3 5.9 35.8 0 0 22.5 21.9 62 115 0.5 -11
"38" "38" 1995-01-24 25.18 "HOU" "@" "MIL" "W" 16 0 20 0.417 0.417 0 5.9 3.5 17.9 2.6 0 40 23.8 71 110 0.2 -15.7
"39" "39" 1995-01-26 25.19 "HOU" "@" "SAS" "L" -3 0 24 1.082 1.143 15 17.8 16.5 14.3 2.3 0 19.4 20.1 166 113 18.4 21.3
"40" "40" 1995-01-28 25.19 "HOU" "" "MIN" "W" 21 0 25 0.904 0.875 0 9.8 5.2 34.7 4.2 0 13.1 13.3 174 101 15.4 11.9
"41" "41" 1995-01-31 25.2 "HOU" "" "DEN" "W" 12 0 30 0.707 0.643 3.8 14.2 9.2 52.3 3.6 0 9.8 16.4 147 83 18 12.5
"42" "42" 1995-02-02 25.21 "HOU" "" "UTA" "W" 20 0 19 1.143 1.143 0 6.3 3.5 23.8 2.8 0 22.2 23.2 152 113 14.1 16.8
"43" "43" 1995-02-05 25.22 "HOU" "@" "PHO" "W" 24 0 26 0.921 0.889 0 7.9 4.2 38.1 1.9 0 16.2 21.5 155 108 19.2 14.4
"44" "44" 1995-02-06 25.22 "HOU" "@" "POR" "L" -38 0 23 0.375 0.375 0 4 2.1 15 10.8 0 0 15.3 87 110 5.9 2.6
"45" "45" 1995-02-08 25.22 "HOU" "@" "SAC" "W" 11 0 17 0.296 0 7.2 31.4 20.2 29 0 0 22.8 23.9 81 98 3.1 -10.1
"46" "46" 1995-02-09 25.23 "HOU" "@" "LAC" "L" -15 0 28 0.715 0.5 0 5.4 2.7 51.7 0 0 7 24.3 156 138 18.9 6.2
"47" "47" 1995-02-14 25.24 "HOU" "" "LAC" "W" 20 0 23 0.425 0.3 0 3.7 2.3 38 2.1 0 46 21 81 111 3 -9.8
"48" "48" 1995-02-16 25.25 "HOU" "@" "CHH" "W" 16 0 10 0.318 0.278 21.8 21.8 21.8 88.9 5.2 0 29.8 57.5 77 85 2.9 -2.4
"49" "49" 1995-02-17 25.25 "HOU" "@" "WSB" "W" 17 0 24 0.768 0.688 0 5 2.5 25 0 0 9.3 20.8 155 111 13.1 5.4
"50" "50" 1995-02-19 25.25 "HOU" "@" "NYK" "L" -5 0 30 0.747 0.773 4 4 4 53.7 0 0 0 22.8 170 137 23.3 14.9
