"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1990-11-02 22.42 "SAC" "@" "LAC" "L" -10 0 4 0 0 0 28.6 14.1 0 0 0 0 12 0 101 -0.4 -17
"2" "2" 1990-11-03 22.43 "SAC" "" "POR" "L" -2 0 1 NA NA 0 0 0 0 0 0 NA 0 0 97 0 -2.6
"3" "3" 1990-11-06 22.44 "SAC" "" "ATL" "L" -17 0 20 0.644 0.667 5.7 15.5 9.9 8.8 0 0 43.6 15.3 72 112 1.1 -9
"4" "4" 1990-11-09 22.44 "SAC" "@" "LAL" "L" -14 0 15 1 1 7.1 17.8 11.9 0 0 4.4 0 6.6 201 115 4.6 0.6
"5" "5" 1990-11-10 22.45 "SAC" "" "NYK" "L" -5 0 9 0.399 0 0 17.2 6.3 0 0 8.9 21 23.1 71 98 0.8 -8.3
"6" "6" 1990-11-15 22.46 "SAC" "" "SAS" "L" -29 0 12 0 0 0 20.5 9.6 0 0 0 50 13.6 0 117 -3.6 -20.3
"7" "7" 1990-11-17 22.47 "SAC" "@" "GSW" "L" -1 0 12 0.282 0.25 25.5 27.9 26.7 0 3.8 15.8 36.1 26.4 54 89 0.9 -13.2
"8" "8" 1990-11-20 22.47 "SAC" "@" "WSB" "W" 5 0 26 0.276 0.2 5.8 8.2 7.2 11.9 2 4.9 26.9 12.7 62 86 2.2 -1.8
"9" "9" 1990-11-21 22.48 "SAC" "@" "PHI" "L" -2 1 16 0.254 0.286 15 11.5 13 0 3.2 7.2 11.3 25 60 102 1.3 -13.4
"10" "10" 1990-11-23 22.48 "SAC" "@" "BOS" "L" -10 0 10 1 1 9.6 23.4 15.8 0 0 11.6 0 4.1 203 108 3.6 2.7
"11" "11" 1990-11-25 22.49 "SAC" "@" "DET" "L" -13 0 6 NA NA 0 25 10.7 21.6 0 0 NA 0 203 121 0.2 -4
"12" "12" 1990-11-27 22.49 "SAC" "" "MIN" "L" -9 0 2 NA NA 0 0 0 0 0 0 NA 0 0 112 0 -9.5
"13" "13" 1990-11-29 22.5 "SAC" "@" "DEN" "L" -8 0 5 NA NA 0 16.6 8.5 0 8.3 0 NA 0 0 102 0.9 -1.1
"14" "14" 1990-12-01 22.5 "SAC" "@" "HOU" "L" -24 1 14 0 0 0 24.5 11.2 0 0 0 66.7 9.1 0 122 -3.4 -21.9
"15" "15" 1990-12-04 22.51 "SAC" "" "DAL" "W" 20 1 28 0.935 1 5.4 19.5 13.5 5.5 4.1 6.9 25.4 13.8 124 89 13.7 8
"16" "16" 1990-12-06 22.52 "SAC" "" "WSB" "W" 18 1 29 0.429 0.429 8.3 21.8 14.9 4.9 0 9.1 30 15 73 89 4.9 -4.2
"17" "17" 1990-12-08 22.52 "SAC" "" "DET" "L" -11 1 12 0 0 0 14.3 5.6 0 0 0 0 3.8 0 122 -1.2 -14
"18" "18" 1990-12-11 22.53 "SAC" "@" "PHO" "L" -23 1 16 1.064 1 6.7 15.8 10.8 18.2 3 0 51.5 9.8 110 108 4.2 1.6
"19" "19" 1990-12-13 22.54 "SAC" "" "POR" "W" 12 1 22 0.712 0.6 16.4 12.1 13.9 0 0 0 38.8 19.8 92 93 4.1 -6.3
"20" "20" 1990-12-15 22.54 "SAC" "" "ORL" "W" 9 1 12 0 0 10.8 17.4 14.5 0 4.2 5.3 0 3.9 77 103 2.3 -2
"21" "21" 1990-12-18 22.55 "SAC" "" "MIN" "W" 9 1 24 1.025 1 0 10.3 5.6 18.8 2.3 6.3 0 10 209 110 12.7 12.9
"22" "22" 1990-12-20 22.56 "SAC" "" "SEA" "L" -35 1 17 0.37 0.2 15.4 7.4 12.1 0 6 6.9 22.8 22.4 73 104 4.1 -5.5
"23" "23" 1990-12-22 22.56 "SAC" "@" "SEA" "L" -28 1 3 NA NA 0 0 0 0 0 0 NA 0 0 125 -0.8 -19.9
"24" "24" 1990-12-26 22.57 "SAC" "" "DEN" "L" -16 0 7 NA NA 0 14.6 6.7 0 0 0 NA 0 0 121 0.3 -10.4
"25" "25" 1990-12-28 22.58 "SAC" "@" "SAS" "L" -16 0 16 0.721 0.714 15 12.8 14 0 6.1 10.6 0 20.7 153 93 13.1 16.8
"26" "26" 1990-12-29 22.58 "SAC" "@" "DAL" "L" -11 0 26 0.752 0.75 13.7 11.5 12.9 6.7 2.1 8.9 27.3 12.6 118 98 10 2.8
"27" "27" 1991-01-03 22.59 "SAC" "" "GSW" "W" 18 1 24 0.689 0.727 34.3 13 22.2 5.7 0 13 6.4 25.1 143 108 19.8 6.3
"28" "28" 1991-01-05 22.6 "SAC" "" "UTA" "L" -8 1 29 0.5 0.5 7.7 10.3 8.8 18 3.7 4.4 20 7.7 117 113 8.4 2.8
"29" "29" 1991-01-07 22.61 "SAC" "@" "ORL" "L" -28 1 29 0.253 0.222 9.7 23 15.2 5.6 0 9.1 9.2 16.1 66 113 4 -7
"30" "30" 1991-01-08 22.61 "SAC" "@" "MIA" "L" -12 1 24 0.725 0 0 11.8 5.5 7.4 2.5 2.9 42 9.7 94 114 3.1 -2.4
