"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2004-11-03 21.37 "ATL" "@" "PHO" "L" -30 0 17.4166666666667 0.61 0.5 8.2 12.1 9.8 0 2.6 3.8 10.9 18.9 125 107 8.9 7.4
"2" "2" 2004-11-05 21.38 "ATL" "@" "SEA" "L" -21 0 7.96666666666667 0.852 NA 0 20 9.7 19.4 0 0 36.2 16.1 120 125 1.8 -3
"3" "3" 2004-11-07 21.38 "ATL" "@" "LAL" "L" -16 0 21.1333333333333 0.359 0.25 14.5 16.8 15.4 13.4 2.5 4 0 20.4 101 118 5.6 -4.4
"4" "4" 2004-11-09 21.39 "ATL" "" "CLE" "L" -14 0 7.4 NA NA 0 0 0 21.4 8 11.8 NA 0 203 92 2 11.4
"5" "" 2004-11-12 21.4 "ATL" "@" "NOH" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "5" 2004-11-13 21.4 "ATL" "" "SAS" "L" -15 0 17.9333333333333 0.4 0.4 5.1 22.2 13.3 9.6 2.8 0 16.7 15 80 105 3.1 -3.9
"7" "6" 2004-11-16 21.41 "ATL" "" "HOU" "W" 4 0 31.6666666666667 0.872 1 7.1 25.7 15.6 17.3 0 2.7 22.5 13 130 92 13 5.9
"8" "7" 2004-11-17 21.41 "ATL" "@" "IND" "L" -7 0 26.1333333333333 0.753 0.625 4 10 6.7 12.6 4.3 0 13.1 14.1 143 107 10.1 4.9
"9" "8" 2004-11-20 21.42 "ATL" "" "UTA" "L" -13 0 27.6166666666667 0.576 0.538 14.5 5.2 10.7 8.3 8.7 2.8 6.7 26.3 125 100 14.8 14.2
"10" "9" 2004-11-23 21.43 "ATL" "@" "NYK" "L" -16 1 32.0333333333333 0.623 0.6 6.3 10.5 8.2 25 7.6 4.6 8.7 16.3 126 95 18.4 13.1
"11" "10" 2004-11-24 21.43 "ATL" "" "MIA" "L" -6 1 21.6166666666667 0.342 0.143 14.2 5.9 10.5 14.6 0 0 10.2 20 92 114 3.5 -7
"12" "11" 2004-11-26 21.44 "ATL" "" "ORL" "L" -18 1 21.85 0.327 0 0 14.1 6.1 11.5 0 0 11.6 17.8 76 128 1.3 -11.8
"13" "12" 2004-11-27 21.44 "ATL" "@" "CHA" "L" -15 1 25.0833333333333 0.667 0.667 10.1 16 13 5.9 2 0 33.3 16.3 94 114 6 -2.6
"14" "13" 2004-11-30 21.45 "ATL" "" "NYK" "L" -1 1 19.65 0.102 0 18.2 0 7.8 0 0 0 0 10.1 67 121 -0.5 -14.8
"15" "14" 2004-12-03 21.45 "ATL" "" "WAS" "L" -24 1 15.7166666666667 0 0 12.2 6.8 9.7 0 0 0 33.3 15.5 16 127 -3.5 -21.8
"16" "15" 2004-12-04 21.46 "ATL" "@" "NJN" "L" -21 0 15.35 0.82 0.75 7.8 11 9.1 33 3.7 5.2 0 15.7 178 118 10.1 17.1
"17" "16" 2004-12-06 21.46 "ATL" "" "PHI" "W" 4 0 11.2333333333333 0 0 0 38.1 17 0 0 0 0 6.9 0 97 -0.2 -10.3
"18" "17" 2004-12-08 21.47 "ATL" "" "MEM" "L" -8 0 12.7 0.667 0.667 0 22.2 10.4 19 0 6.7 0 11.6 143 108 3.5 2.3
"19" "18" 2004-12-10 21.47 "ATL" "@" "DET" "W" 16 0 19.2666666666667 0.41 0.5 0 20 12.3 0 0 0 0 12.4 78 85 0.8 -9.7
"20" "19" 2004-12-11 21.48 "ATL" "" "NJN" "L" -5 0 12 1.064 1 0 10.3 4.9 0 0 6.1 34.7 11.1 133 108 3.3 0.6
"21" "20" 2004-12-14 21.48 "ATL" "" "IND" "L" -11 0 3.43333333333333 1.136 NA 0 0 0 0 0 0 53.2 29.2 106 120 1 -5.3
"22" "21" 2004-12-15 21.49 "ATL" "@" "HOU" "L" -23 0 28.6333333333333 0.5 0.5 6.8 8.5 7.5 8.1 0 0 27.3 16.2 79 108 1.7 -8.6
"23" "22" 2004-12-17 21.49 "ATL" "" "POR" "L" -16 0 27.6166666666667 0.18 0.154 19.4 28.4 22.2 12.5 1.8 2.9 6.7 22.4 63 102 3.4 -7.2
"24" "23" 2004-12-18 21.5 "ATL" "@" "DAL" "L" -22 0 25.1333333333333 0.418 0.333 17.1 15.4 16.3 0 0 0 0 18.4 103 102 7.4 -1.8
"25" "24" 2004-12-22 21.51 "ATL" "" "DAL" "W" 13 0 31.35 0.743 0.667 14.4 3.6 9 16.9 4.8 0 0 14.5 173 102 19.8 11.8
"26" "25" 2004-12-27 21.52 "ATL" "@" "MIA" "L" -14 0 18.2833333333333 0.333 0.333 7.6 0 3.9 13.9 0 4.3 25 10.5 84 136 1.3 -6.4
"27" "26" 2004-12-28 21.52 "ATL" "" "CLE" "L" -9 0 28.7333333333333 0.508 0.429 14.6 8.7 11.5 0 0 0 11.3 13.9 110 128 5.2 -8.1
"28" "27" 2004-12-30 21.53 "ATL" "" "SEA" "L" -15 0 18.5666666666667 0.75 0.75 5.7 0 3.2 11.6 0 0 20 13 123 119 4 -1.6
"29" "28" 2005-01-02 21.54 "ATL" "@" "WAS" "L" -3 0 21.75 0.508 0.429 14.5 9.9 12.3 0 4.2 0 33.7 21.6 78 98 4.6 -4.9
"30" "29" 2005-01-05 21.55 "ATL" "@" "CLE" "L" -16 0 24.9333333333333 0.168 0.182 22.9 4.9 14.2 13.6 0 0 7.8 24.2 63 130 -0.7 -15.3
"31" "30" 2005-01-07 21.55 "ATL" "" "SAC" "L" -3 0 20.85 0.2 0.2 10.6 38.1 24.2 17.7 0 0 0 10.5 91 108 4.1 -1.6
"32" "31" 2005-01-11 21.56 "ATL" "" "MIL" "W" 23 0 31.1 0.685 0.571 0 7.2 4.1 12.6 0 2 10.2 14.1 142 92 10.3 2.3
"33" "32" 2005-01-14 21.57 "ATL" "@" "BOS" "L" -12 0 28.2833333333333 0.595 0.6 9 12 10.3 15.7 0 0 14.5 9.9 121 117 7.6 -3.8
"34" "33" 2005-01-15 21.57 "ATL" "" "CHA" "W" 8 0 32.2833333333333 0.633 0.6 11.5 12.8 12.2 8 1.6 4 13.7 10.1 134 102 11.4 4.2
"35" "34" 2005-01-17 21.58 "ATL" "" "NJN" "L" -1 0 23.4666666666667 0.434 0.25 9.5 36.3 23.2 0 0 3.2 14.8 13.7 94 93 4.5 -3.7
"36" "35" 2005-01-19 21.58 "ATL" "@" "MIA" "L" -19 0 20.25 0.5 0.5 5 6 5.5 0 0 0 14.3 16 92 129 2.2 -10.2
"37" "36" 2005-01-21 21.59 "ATL" "@" "CHI" "L" -10 0 23.1666666666667 NA NA 9.1 22.4 15 15.6 0 0 100 1.9 79 111 2.2 -4.5
"38" "37" 2005-01-22 21.59 "ATL" "" "BOS" "W" 4 0 40.6833333333333 0.669 0.708 8.4 14 10.8 4.1 5 1.7 12.3 16.2 127 94 18.7 7.2
"39" "38" 2005-01-24 21.6 "ATL" "" "CHI" "L" -25 0 31.5333333333333 0.41 0.25 6.7 23.2 14.4 20.3 0 0 17 16.6 90 119 5.3 -5.3
"40" "39" 2005-01-26 21.6 "ATL" "@" "MIN" "L" -17 0 18.3666666666667 0.615 0.5 5.9 21.7 13 0 3 0 29.1 17 94 117 4.2 -4.9
