"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-02-01 24.42 "LAC" "@" "POR" "L" -35 0 4 0.266 0 31.6 44.4 36.9 0 0 0 0 18.4 91 136 -0.7 -26.8
"2" "2" 1986-02-11 24.45 "LAC" "" "PHO" "W" 8 0 9 0.174 0 15.7 12.7 14 0 5.3 0 0 13 72 105 0.8 -9
"3" "3" 1986-02-13 24.45 "LAC" "" "POR" "W" 5 0 4 NA NA 0 26.1 13.3 0 0 0 NA 0 0 107 0.3 -2.6
"4" "4" 1986-02-15 24.46 "LAC" "" "HOU" "W" 7 0 13 NA NA 10 16.8 13.7 8.6 0 4.7 100 6.3 46 98 -0.9 -8.2
"5" "5" 1986-02-21 24.47 "LAC" "" "GSW" "L" -2 0 12 0.754 0.5 22.2 17.4 19.5 0 0 0 0 15.4 177 121 6.4 0.9
"6" "6" 1986-02-23 24.48 "LAC" "@" "NYK" "W" 11 0 8 NA NA 0 12.8 8 0 0 0 100 5.5 0 99 -1.9 -14.6
"7" "7" 1986-02-25 24.48 "LAC" "@" "MIL" "L" -15 0 2 0.568 NA 0 0 0 0 0 0 0 18.7 123 129 0.2 -10.2
"8" "8" 1986-02-26 24.49 "LAC" "@" "DET" "L" -7 0 2 0 0 0 0 0 0 0 0 0 20.5 0 122 -1.1 -34.4
"9" "9" 1986-02-28 24.49 "LAC" "@" "BOS" "L" -16 0 3 NA NA 0 0 0 0 0 0 100 13.8 0 130 -1.8 -33
"10" "10" 1986-03-02 24.5 "LAC" "" "IND" "L" -17 0 2 0 NA 44.4 0 25.3 0 0 0 0 16.8 53 125 -0.9 -34.6
"11" "11" 1986-03-07 24.51 "LAC" "@" "SAS" "L" -16 0 4 0 0 0 57.1 25.3 0 0 0 0 8.9 0 119 -0.9 -18.1
"12" "12" 1986-03-11 24.52 "LAC" "@" "LAL" "L" -21 0 2 NA NA 0 0 0 0 0 24.7 NA 0 0 106 0.7 9.9
"13" "13" 1986-03-15 24.53 "LAC" "@" "HOU" "L" -32 0 2 0.5 0.5 51.1 0 27.9 0 0 0 0 37.8 119 141 1.7 -2.4
"14" "14" 1986-03-18 24.54 "LAC" "@" "GSW" "L" -4 0 5 0.266 0 0 23.4 10.4 0 0 0 0 14.3 68 121 -0.2 -15.5
"15" "15" 1986-03-22 24.55 "LAC" "" "DET" "L" -20 0 2 0.362 0 0 0 0 0 23.2 0 0 55.1 85 77 1.5 7.1
"16" "16" 1986-03-28 24.57 "LAC" "@" "PHO" "W" 11 0 5 0.532 0 0 0 0 0 0 0 0 16.1 126 103 0.9 -5.9
"17" "17" 1986-04-01 24.58 "LAC" "@" "UTA" "W" 4 0 2 NA NA 0 0 0 0 0 0 NA 0 0 112 -0.4 -11.2
"18" "18" 1986-04-02 24.58 "LAC" "" "UTA" "W" 3 0 5 NA NA 0 18.5 10.8 0 0 12.3 100 8.9 0 91 -0.8 -12.5
"19" "19" 1986-04-10 24.61 "LAC" "@" "POR" "L" -15 0 6 0 0 0 17.4 8.7 0 0 0 0 19.5 0 116 -2.6 -28.3
"20" "20" 1986-04-12 24.61 "LAC" "" "DAL" "W" 7 0 21 0.554 0.6 10.9 23.3 17.6 0 0 0 0 12.4 128 109 5.2 -3.8
"21" "21" 1986-04-13 24.61 "LAC" "@" "PHO" "L" -19 0 15 0.25 0.25 0 25.3 11.6 0 0 0 33.3 16.4 35 117 -3.1 -20.4
