"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1983-11-12 22.19 "GSW" "" "CLE" "W" 7 0 4 0.333 0.333 0 26.1 12.4 0 0 0 0 28.1 79 95 0.2 NA
"2" "2" 1983-11-13 22.19 "GSW" "@" "PHO" "L" -15 0 5 0.347 0.5 0 24.6 11.2 0 0 0 0 22.4 69 108 0.1 NA
"3" "3" 1983-11-19 22.21 "GSW" "@" "HOU" "L" -20 0 14 0.244 0.333 8 9.3 8.6 0 0 0 0 24.2 58 128 -1.2 NA
"4" "4" 1983-11-22 22.21 "GSW" "@" "WSB" "W" 1 0 5 0.543 1 25.3 89.3 59.3 0 0 12.3 26.6 33.7 84 78 2.7 NA
"5" "5" 1983-11-23 22.22 "GSW" "@" "MIL" "L" -24 0 8 0.717 0.75 0 0 0 0 0 0 0 23.1 145 127 3.8 NA
"6" "6" 1983-11-25 22.22 "GSW" "@" "IND" "W" 5 0 8 0.644 0.667 10.2 14.3 11.9 0 12.2 0 0 17.7 144 87 6.3 NA
"7" "7" 1983-11-26 22.22 "GSW" "@" "DAL" "L" -6 0 10 0.798 1 11.2 15 12.8 0 0 5.7 34.7 11.9 107 112 2.6 NA
"8" "8" 1983-11-29 22.23 "GSW" "" "LAL" "L" -6 0 5 0.307 0.25 22.3 53.3 36.5 31.6 0 0 0 40.3 88 109 2.2 NA
"9" "9" 1983-12-01 22.24 "GSW" "" "KCK" "W" 11 0 7 0 0 13.4 14.3 13.9 0 0 0 50 10.8 26 97 -0.7 NA
"10" "10" 1983-12-02 22.24 "GSW" "@" "SDC" "L" -1 0 11 0.717 0.75 0 14.5 6.1 0 0 0 0 18.3 145 114 4.5 NA
"11" "11" 1983-12-06 22.25 "GSW" "" "SEA" "W" 5 0 9 0.25 0.25 0 23.2 11.5 0 0 0 20 22.2 43 100 -2 NA
"12" "12" 1983-12-10 22.26 "GSW" "" "DAL" "L" -3 0 6 0.5 0.5 0 0 0 25.1 8.6 0 0 13.8 131 113 2.7 NA
"13" "13" 1983-12-11 22.27 "GSW" "@" "POR" "L" -4 0 8 0.543 0 13.3 0 7.1 15.8 0 0 0 14.2 146 117 1.7 NA
"14" "14" 1983-12-13 22.27 "GSW" "" "NJN" "L" -11 0 1 NA NA 0 0 0 0 0 0 NA 0 0 126 0 NA
"15" "15" 1983-12-15 22.28 "GSW" "" "KCK" "W" 3 0 11 0.798 1 0 8.9 4.8 13.1 0 0 21 17.2 123 111 3.8 NA
"16" "16" 1983-12-17 22.28 "GSW" "@" "UTA" "L" -16 0 2 0.644 0.667 0 0 0 0 0 0 0 72.8 144 123 2.9 NA
"17" "17" 1983-12-18 22.28 "GSW" "" "SDC" "W" 2 0 4 1 1 21.4 31.6 25.5 0 0 0 0 9.5 199 103 2.7 NA
"18" "18" 1983-12-20 22.29 "GSW" "" "PHO" "L" -4 0 11 0.463 0.667 17.1 8.2 12.6 0 0 0 18.8 19.2 82 111 1 NA
"19" "19" 1983-12-22 22.3 "GSW" "" "LAL" "W" 7 0 2 0 0 0 0 0 0 0 0 0 38.9 0 104 -1.8 NA
"20" "20" 1983-12-23 22.3 "GSW" "@" "LAL" "L" -7 0 14 1.031 1 7.6 9.8 8.6 17.7 3.4 0 0 11.1 211 119 9.7 NA
