"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1980-10-10 23.1 "PHI" "" "MIL" "L" -3 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1980-10-14 23.11 "PHI" "@" "NYK" "L" -20 0 7 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1980-10-18 23.12 "PHI" "" "WSB" "W" 16 0 13 0.34 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1980-10-28 23.15 "PHI" "@" "CLE" "W" 18 0 5 1 1 NA NA NA NA NA NA NA NA NA NA 2 NA
"5" "5" 1980-10-31 23.16 "PHI" "" "ATL" "W" 11 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"6" "6" 1980-11-07 23.18 "PHI" "" "KCK" "W" 17 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1980-11-09 23.18 "PHI" "@" "MIL" "W" 15 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1980-11-11 23.19 "PHI" "@" "CHI" "W" 41 0 14 0.515 0.333 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"9" "9" 1980-11-12 23.19 "PHI" "" "NYK" "L" -12 0 9 0.546 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1980-11-13 23.19 "PHI" "@" "IND" "W" 27 1 35 0.409 0.412 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1980-11-15 23.2 "PHI" "" "NJN" "W" 7 1 29 0.663 0.7 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1980-11-18 23.21 "PHI" "@" "NYK" "W" 14 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1980-11-19 23.21 "PHI" "" "GSW" "W" 9 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 1.3 NA
"14" "14" 1980-11-22 23.22 "PHI" "@" "SAS" "W" 7 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1980-11-25 23.23 "PHI" "@" "DAL" "W" 16 0 3 0.301 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1980-11-26 23.23 "PHI" "@" "HOU" "W" 1 0 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1980-11-28 23.24 "PHI" "" "POR" "W" 13 0 9 0.347 0.333 NA NA NA NA NA NA NA NA NA NA 0.7 NA
"18" "18" 1980-11-29 23.24 "PHI" "" "UTA" "W" 20 0 9 0.666 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1980-12-03 23.25 "PHI" "" "NYK" "W" 6 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1980-12-09 23.27 "PHI" "@" "CLE" "W" 13 0 5 0.2 0.2 NA NA NA NA NA NA NA NA NA NA 1.7 NA
"21" "21" 1980-12-12 23.27 "PHI" "" "WSB" "W" 16 0 10 0.694 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1980-12-14 23.28 "PHI" "@" "NJN" "W" 7 0 4 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1980-12-16 23.28 "PHI" "@" "IND" "W" 2 0 2 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1980-12-17 23.29 "PHI" "" "CLE" "W" 24 0 23 0.4 0.4 NA NA NA NA NA NA NA NA NA NA 7.8 NA
"25" "25" 1980-12-19 23.29 "PHI" "" "NJN" "W" 15 1 42 0.255 0.3 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1980-12-26 23.31 "PHI" "@" "KCK" "W" 10 0 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1980-12-27 23.32 "PHI" "@" "DEN" "L" -4 0 8 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 1.6 NA
"28" "28" 1981-01-02 23.33 "PHI" "@" "SEA" "W" 3 0 5 NA NA NA NA NA NA NA NA NA NA NA NA -1.2 NA
"29" "29" 1981-01-03 23.33 "PHI" "@" "GSW" "W" 14 0 2 0 0 NA NA NA NA NA NA NA NA NA NA -1.7 NA
"30" "30" 1981-01-07 23.35 "PHI" "" "SAS" "W" 33 0 8 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
