"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 1996-11-01 21.3 "IND" "@" "DET" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 1996-11-02 21.3 "IND" "" "MIA" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 1996-11-06 21.32 "IND" "@" "BOS" "L" -10 0 9.73333333333333 0 0 12.3 12 12.2 0 0 0 50 18.7 12 109 -4.4 -33.4
"4" "2" 1996-11-09 21.32 "IND" "" "WSB" "W" 3 0 17.4166666666667 0.5 0.5 14.2 18.3 16.4 0 0 0 0 16 119 101 4.5 -1
"5" "3" 1996-11-12 21.33 "IND" "@" "DAL" "L" -21 0 25.0666666666667 0.325 0.222 18.1 18.7 18.4 15.3 0 8.9 15.7 21.9 81 107 6.5 -4.1
"6" "4" 1996-11-14 21.34 "IND" "@" "HOU" "L" -2 0 15.0166666666667 0.527 0.25 24 7.4 15.4 10.7 0 6.7 13.1 22.7 118 100 5 -0.2
"7" "5" 1996-11-15 21.34 "IND" "@" "SAS" "W" 15 0 6.85 0 0 0 0 0 0 0 0 50 14.1 0 100 -1.7 -18.3
"8" "6" 1996-11-17 21.35 "IND" "" "POR" "L" -5 0 24.3666666666667 0.422 0.273 8.2 15 11.2 9.1 0 6.9 0 32.4 101 108 9.3 1.6
"9" "7" 1996-11-20 21.35 "IND" "@" "PHI" "W" 11 1 40.8166666666667 0.697 0.667 6.5 22.8 15.2 3.6 1.3 12.7 8.5 13.6 137 98 16.8 5.2
"10" "8" 1996-11-21 21.36 "IND" "" "CHH" "L" -3 1 14.35 0.45 0.375 25.7 0 12.2 0 0 0 10.1 33.9 96 113 3.1 -12
"11" "9" 1996-11-23 21.36 "IND" "" "ORL" "L" -3 1 15.5666666666667 0.25 0.25 0 0 0 0 0 6.4 33.3 19.5 32 97 -2.5 -15.1
"12" "10" 1996-11-28 21.38 "IND" "" "SAC" "W" 18 1 17.5333333333333 0.58 0.5 6.3 49 29.3 8.9 0 7.8 11.4 21.2 120 76 8.9 6.2
"13" "11" 1996-11-29 21.38 "IND" "" "VAN" "W" 10 1 18.5833333333333 0.457 0.429 15.2 29.6 23.3 8.3 3 25.8 36.3 35.4 69 79 6.5 -1.6
"14" "12" 1996-12-03 21.39 "IND" "@" "POR" "W" 5 1 20.7166666666667 0.45 0.375 6.8 11.7 9.5 0 2.7 0 18.4 25.9 81 99 2.3 -8.8
"15" "13" 1996-12-04 21.39 "IND" "@" "VAN" "W" 47 1 26.35 0.742 0.714 0 38.6 23.7 5 0 10.9 25.5 21.2 109 79 11.7 0.6
"16" "14" 1996-12-06 21.4 "IND" "@" "GSW" "W" 15 1 17 0.333 0.333 0 12.5 6.2 0 3.2 5 62.5 20.2 23 76 -4.4 -18.7
"17" "15" 1996-12-08 21.4 "IND" "@" "PHO" "L" -13 1 32.2333333333333 0.705 0.625 3.8 15 9.5 0 0 2.8 8.6 16.9 136 121 10.6 0.2
"18" "16" 1996-12-10 21.41 "IND" "@" "UTA" "L" -24 1 34.4166666666667 0.302 0.286 11 19.1 14.7 31.9 1.4 7.7 21.2 23.7 68 112 7.9 -1.5
"19" "17" 1996-12-11 21.41 "IND" "@" "LAL" "L" -3 1 18.9 0.431 0.4 14.6 16.8 15.6 13.4 0 0 22.3 31.9 78 92 2.3 -7.5
"20" "18" 1996-12-13 21.42 "IND" "" "BOS" "W" 3 1 15.1166666666667 0.352 0 10.3 15.2 13.2 18.8 0 5.1 10.5 32.1 89 114 3.3 -9.7
"21" "19" 1996-12-17 21.43 "IND" "@" "MIA" "W" 14 1 22.9333333333333 0.458 0.4 16.1 32.5 24.8 0 0 17.4 11.6 17.4 102 86 8.2 1
"22" "20" 1996-12-18 21.43 "IND" "@" "ORL" "W" 7 1 5.68333333333333 0.25 0.25 0 17.9 8.6 0 0 15.8 20 39.1 43 88 -0.8 -21.7
"23" "21" 1996-12-20 21.44 "IND" "" "DET" "L" -9 1 16.65 0.4 0.4 8.1 6.9 7.4 11.6 3.5 0 0 14.7 99 104 4 4.1
