"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1973-10-10 22.42 "KCO" "" "CHI" "L" -15 0 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1973-10-12 22.43 "KCO" "" "CHI" "W" 4 0 16 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1973-10-13 22.43 "KCO" "@" "ATL" "W" 15 NA 28 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1973-10-17 22.44 "KCO" "@" "SEA" "W" 2 NA 16 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1973-10-20 22.45 "KCO" "@" "GSW" "L" -19 0 37 0.508 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1973-10-24 22.46 "KCO" "" "LAL" "L" -1 NA 32 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1973-10-26 22.47 "KCO" "" "PHO" "W" 5 1 23 0.486 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1973-10-28 22.47 "KCO" "" "BUF" "L" -12 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1973-10-30 22.48 "KCO" "" "MIL" "L" -34 1 39 0.316 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1973-11-02 22.49 "KCO" "" "SEA" "L" -6 NA 21 0.509 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1973-11-04 22.49 "KCO" "" "GSW" "L" -1 0 26 0.434 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1973-11-09 22.51 "KCO" "" "CAP" "L" -13 NA 28 0.455 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1973-11-10 22.51 "KCO" "@" "MIL" "L" -1 0 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1973-12-26 22.64 "KCO" "@" "HOU" "L" -15 NA NA 0.798 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1973-12-29 22.64 "KCO" "@" "CAP" "W" 4 NA 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1973-12-30 22.65 "KCO" "" "NYK" "L" -17 NA 21 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1974-01-02 22.65 "KCO" "" "BOS" "W" 12 NA 10 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1974-01-03 22.66 "KCO" "@" "MIL" "L" -15 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1974-01-04 22.66 "KCO" "" "PHO" "W" 25 0 15 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1974-01-08 22.67 "KCO" "@" "POR" "L" -19 0 7 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1974-01-09 22.67 "KCO" "@" "SEA" "L" -4 NA 15 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1974-01-11 22.68 "KCO" "@" "PHO" "W" 17 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1974-01-18 22.7 "KCO" "" "LAL" "L" -1 0 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1974-01-19 22.7 "KCO" "" "CLE" "W" 3 0 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1974-01-20 22.7 "KCO" "@" "DET" "L" -26 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1974-01-27 22.72 "KCO" "@" "BOS" "L" -21 NA 12 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1974-01-30 22.73 "KCO" "" "NYK" "L" -20 NA 9 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1974-02-06 22.75 "KCO" "" "CHI" "L" -17 0 26 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1974-02-08 22.76 "KCO" "@" "POR" "W" 5 0 9 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1974-02-09 22.76 "KCO" "@" "GSW" "W" 1 0 17 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1974-02-10 22.76 "KCO" "@" "SEA" "L" -16 0 30 0.651 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1974-02-12 22.77 "KCO" "@" "DET" "L" -7 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1974-02-13 22.77 "KCO" "@" "CAP" "L" -2 NA 21 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1974-02-15 22.78 "KCO" "@" "PHI" "L" -3 NA 16 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1974-02-19 22.79 "KCO" "" "LAL" "W" 6 0 14 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1974-02-20 22.79 "KCO" "" "GSW" "W" 19 0 27 0.1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1974-02-22 22.79 "KCO" "" "PHO" "W" 15 0 25 0.3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1974-02-24 22.8 "KCO" "" "MIL" "L" -7 0 11 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1974-02-26 22.81 "KCO" "@" "HOU" "L" -17 NA NA 0.628 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1974-02-27 22.81 "KCO" "@" "ATL" "W" 9 NA 25 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1974-03-01 22.81 "KCO" "@" "LAL" "L" -7 0 20 0.543 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1974-03-03 22.82 "KCO" "@" "PHO" "L" -13 0 29 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1974-03-04 22.82 "KCO" "@" "MIL" "L" -6 0 24 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1974-03-06 22.83 "KCO" "" "MIL" "L" -12 0 24 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1974-03-09 22.84 "KCO" "" "SEA" "W" 10 0 40 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1974-03-12 22.84 "KCO" "@" "CHI" "W" 2 0 27 0.307 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1974-03-17 22.86 "KCO" "" "HOU" "W" 11 0 NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1974-03-18 22.86 "KCO" "" "POR" "W" 9 0 12 0.463 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1974-03-20 22.87 "KCO" "" "CHI" "L" -1 0 32 0.53 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1974-03-22 22.87 "KCO" "" "DET" "W" 2 NA NA 0.717 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1974-03-23 22.87 "KCO" "@" "NYK" "W" 1 NA 29 0.169 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1974-03-26 22.88 "KCO" "@" "MIL" "L" -20 0 18 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1974-10-19 23.45 "KCO" "@" "PHO" "W" 3 0 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1974-10-20 23.45 "KCO" "@" "LAL" "W" 10 0 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1974-10-22 23.46 "KCO" "" "WSB" "L" -2 NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1974-10-23 23.46 "KCO" "" "CHI" "W" 1 0 9 0.658 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1974-10-25 23.47 "KCO" "@" "CHI" "W" 21 0 20 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1974-10-30 23.48 "KCO" "" "MIL" "W" 2 0 10 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1974-11-02 23.49 "KCO" "@" "HOU" "L" -23 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1974-11-03 23.49 "KCO" "" "CHI" "L" -7 0 15 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1974-11-05 23.5 "KCO" "" "NOJ" "W" 18 0 NA 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1974-11-06 23.5 "KCO" "@" "DET" "L" -14 0 NA 0.143 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1974-11-10 23.51 "KCO" "" "BOS" "L" -3 NA 3 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1974-11-13 23.52 "KCO" "@" "WSB" "L" -37 NA 22 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1974-11-16 23.53 "KCO" "@" "BUF" "L" -5 NA NA 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1974-11-19 23.53 "KCO" "" "DET" "W" 10 NA NA 1.042 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1974-11-21 23.54 "KCO" "" "MIL" "L" -10 0 11 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1974-11-23 23.55 "KCO" "@" "ATL" "W" 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1974-11-27 23.56 "KCO" "" "LAL" "W" 18 0 4 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1974-11-29 23.56 "KCO" "@" "MIL" "L" -3 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1974-12-02 23.57 "KCO" "" "SEA" "L" -4 0 13 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1974-12-04 23.58 "KCO" "@" "PHI" "L" -4 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1974-12-05 23.58 "KCO" "@" "CLE" "L" -33 0 15 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1974-12-08 23.59 "KCO" "@" "DET" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1974-12-14 23.6 "KCO" "@" "HOU" "L" -39 0 NA 0.145 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1974-12-19 23.62 "KCO" "" "NYK" "L" -4 NA 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1974-12-20 23.62 "KCO" "@" "CHI" "L" -23 0 11 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1974-12-21 23.62 "KCO" "" "GSW" "W" 23 0 18 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1974-12-23 23.63 "KCO" "" "CHI" "W" 10 0 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1974-12-27 23.64 "KCO" "@" "SEA" "W" 10 0 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1974-12-29 23.64 "KCO" "@" "POR" "W" 4 0 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1974-12-30 23.65 "KCO" "@" "GSW" "L" -8 0 7 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1975-01-01 23.65 "KCO" "" "ATL" "L" -5 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1975-01-03 23.66 "KCO" "" "PHI" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1975-01-04 23.66 "KCO" "@" "CHI" "L" -12 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1975-01-05 23.66 "KCO" "" "HOU" "L" -9 0 NA 0.68 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1975-01-07 23.67 "KCO" "" "MIL" "W" 9 0 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1975-01-10 23.68 "KCO" "@" "PHI" "L" -8 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1975-01-17 23.7 "KCO" "" "NYK" "W" 17 NA 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
