"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 1996-11-01 23.85 "PHO" "@" "LAL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 1996-11-02 23.85 "PHO" "" "HOU" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 1996-11-05 23.86 "PHO" "" "MIN" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "1" 1996-11-07 23.87 "PHO" "" "SEA" "L" -5 0 2.71666666666667 0.284 NA 0 68.1 34.4 0 0 0 0 24.8 60 81 0 -14.8
"5" "2" 1996-11-09 23.87 "PHO" "@" "PHI" "L" -17 0 14.4 0 0 31.2 20.8 26.7 0 3.4 0 0 20.3 35 107 -2.2 -20.7
"6" "3" 1996-11-11 23.88 "PHO" "@" "CHI" "L" -18 0 3.93333333333333 1.064 1 0 48 25.5 0 0 0 0 21.9 230 93 3.1 14.4
"7" "" 1996-11-12 23.88 "PHO" "@" "MIL" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 1996-11-14 23.89 "PHO" "@" "VAN" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 1996-11-17 23.9 "PHO" "" "LAL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "4" 1996-11-20 23.9 "PHO" "" "CHI" "L" -14 0 13.0166666666667 0.717 0.75 15.4 23.6 19.4 0 7.4 0 17 18.4 122 97 7.5 8.8
"11" "" 1996-11-21 23.91 "PHO" "@" "HOU" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 1996-11-24 23.92 "PHO" "" "MIA" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "5" 1997-01-13 24.05 "PHO" "@" "DAL" "W" 7 0 10.25 NA NA 12 10.4 11.2 0 4.9 0 NA 0 206 97 1.6 1.4
"14" "6" 1997-01-14 24.05 "PHO" "" "DEN" "W" 9 0 9.98333333333333 0.4 0.4 50.5 11.4 30 0 0 0 0 21.3 119 109 3.6 -7.8
"15" "7" 1997-01-16 24.06 "PHO" "@" "UTA" "L" -4 0 5.6 0 NA 0 0 0 0 0 0 0 6.7 0 109 -0.8 -8.8
"16" "8" 1997-01-18 24.06 "PHO" "" "NYK" "W" 7 0 0.533333333333333 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -3.6
"17" "" 1997-01-20 24.07 "PHO" "" "DET" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "9" 1997-01-22 24.07 "PHO" "" "UTA" "L" -12 0 6.4 1 1 0 47.1 24.2 0 0 11.9 50 15.4 69 109 2 3.3
"19" "" 1997-01-24 24.08 "PHO" "" "POR" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "10" 1997-01-27 24.09 "PHO" "@" "MIA" "L" -28 0 7.5 NA NA 0 0 0 0 0 0 NA 0 0 141 0 -7.7
"21" "" 1997-01-29 24.09 "PHO" "@" "ORL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 1997-01-30 24.1 "PHO" "@" "NJN" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "11" 1997-02-01 24.1 "PHO" "@" "TOR" "L" -24 0 3.85 NA NA 0 30 12.8 0 0 0 100 10.7 0 116 -0.7 -18.1
"24" "" 1997-02-02 24.1 "PHO" "@" "DET" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "12" 1997-02-05 24.11 "PHO" "" "ATL" "W" 18 0 4.53333333333333 0.347 0.5 0 0 0 0 0 0 0 34.4 64 104 0.2 -14.6
"26" "" 1997-02-11 24.13 "PHO" "@" "POR" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "13" 1997-02-12 24.13 "PHO" "" "BOS" "W" 31 0 2.31666666666667 0.25 0.25 0 0 0 0 0 0 0 85.1 62 108 -0.4 -56.9
"28" "14" 1997-02-14 24.14 "PHO" "" "LAC" "W" 17 0 1.86666666666667 0 0 0 0 0 0 0 0 0 43.6 0 112 -1.8 -68.6
"29" "" 1997-02-16 24.14 "PHO" "@" "MIN" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 1997-02-18 24.15 "PHO" "@" "NYK" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 1997-02-19 24.15 "PHO" "@" "CHH" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 1997-02-21 24.16 "PHO" "" "CLE" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 1997-02-23 24.16 "PHO" "" "DAL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 1997-02-26 24.17 "PHO" "" "PHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "15" 1997-03-13 24.21 "PHO" "@" "LAC" "W" 16 0 5.38333333333333 0.852 NA 0 0 0 0 0 0 0 16.2 187 115 2.2 0.7
"36" "16" 1997-03-15 24.22 "PHO" "" "DAL" "W" 25 0 1.35 1.136 NA 0 100 57.8 0 0 0 0 42.4 250 61 2.3 42
"37" "17" 1997-03-17 24.22 "PHO" "@" "GSW" "W" 21 0 2.4 1 1 63.2 0 28.9 0 0 0 0 22.5 212 113 2.4 17.7
"38" "" 1997-03-18 24.22 "PHO" "" "LAC" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "18" 1997-03-20 24.23 "PHO" "" "SAS" "W" 7 0 0.316666666666667 NA NA 0 0 0 0 0 0 NA 0 0 128 0 -8.8
"40" "" 1997-03-22 24.24 "PHO" "@" "HOU" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 1997-03-25 24.24 "PHO" "" "MIL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 1997-03-26 24.25 "PHO" "@" "SEA" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 1997-03-28 24.25 "PHO" "" "GSW" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 1997-03-30 24.26 "PHO" "" "SEA" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "19" 1997-04-02 24.27 "PHO" "" "HOU" "W" 13 0 1.48333333333333 NA NA 0 0 0 0 0 0 NA 0 0 107 -0.4 -16.6
"46" "20" 1997-04-04 24.27 "PHO" "@" "DEN" "W" 9 0 1.06666666666667 NA NA 0 0 0 0 0 0 NA 0 0 138 0 -9.3
"1" "" 1998-03-03 25.18 "NYK" "" "NJN" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 1998-03-05 25.19 "NYK" "@" "WAS" "L" -13 0 1.1 0 0 0 0 0 0 0 0 0 93.8 0 122 -1.8 -103.1
"3" "2" 1998-03-06 25.19 "NYK" "@" "PHI" "L" -9 0 0.45 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -3.8
"4" "3" 1998-03-08 25.2 "NYK" "" "CHI" "L" -13 0 1.05 NA NA 0 0 0 0 0 0 NA 0 0 127 0 -3.2
"5" "" 1998-03-10 25.2 "NYK" "" "ORL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 1998-03-11 25.21 "NYK" "@" "CHH" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "4" 1998-03-14 25.21 "NYK" "@" "CLE" "L" -3 0 0.05 NA NA 0 0 0 0 0 0 NA 0 0 105 0 -4.6
"8" "" 1998-03-15 25.22 "NYK" "" "IND" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 1998-03-17 25.22 "NYK" "" "PHI" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
