"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1976-11-17 22.55 "ATL" "@" "BOS" "L" -13 0 15 0.047 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-11-20 22.56 "ATL" "" "PHI" "L" -17 0 11 0.273 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-11-21 22.56 "ATL" "" "KCK" "L" -23 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-11-24 22.57 "ATL" "@" "IND" "L" -22 0 2 0.216 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1976-11-27 22.58 "ATL" "" "BUF" "W" 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1976-11-28 22.58 "ATL" "" "GSW" "L" -34 0 17 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1976-12-03 22.59 "ATL" "@" "NOJ" "L" -16 0 6 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1980-11-05 26.52 "SDC" "@" "HOU" "W" 7 0 15 0.429 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1980-11-07 26.52 "SDC" "@" "SEA" "L" -19 0 11 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 3.1 NA
"3" "3" 1980-11-08 26.52 "SDC" "@" "POR" "W" 4 0 16 0.514 0.429 NA NA NA NA NA NA NA NA NA NA 8 NA
"4" "4" 1980-11-11 26.53 "SDC" "" "PHO" "L" -2 0 20 0.431 0.4 NA NA NA NA NA NA NA NA NA NA 6.2 NA
"5" "5" 1980-11-13 26.54 "SDC" "" "SAS" "L" -6 0 9 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1980-11-14 26.54 "SDC" "@" "LAL" "L" -13 0 18 0.419 0.385 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1980-11-15 26.54 "SDC" "" "KCK" "L" -2 0 8 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 5 NA
"8" "8" 1980-11-18 26.55 "SDC" "@" "CLE" "L" -10 0 11 0.34 0.2 NA NA NA NA NA NA NA NA NA NA 1.2 NA
"9" "9" 1980-11-20 26.56 "SDC" "@" "DET" "L" -7 0 9 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 0.3 NA
"10" "10" 1980-11-21 26.56 "SDC" "@" "WSB" "L" -12 0 5 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1980-11-23 26.56 "SDC" "" "SEA" "W" 11 0 6 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1980-11-25 26.57 "SDC" "" "DEN" "W" 14 0 7 0.862 1 NA NA NA NA NA NA NA NA NA NA 4.1 NA
"13" "13" 1980-11-26 26.57 "SDC" "@" "DEN" "L" -4 0 14 0.613 1 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"14" "14" 1980-11-28 26.58 "SDC" "@" "SEA" "W" 1 0 5 0.602 0.5 NA NA NA NA NA NA NA NA NA NA 2.3 NA
"15" "15" 1980-11-30 26.58 "SDC" "" "GSW" "W" 20 0 18 0.333 0.333 NA NA NA NA NA NA NA NA NA NA -0.9 NA
"16" "16" 1980-12-03 26.59 "SDC" "@" "LAL" "W" 6 0 7 0.798 1 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"17" "17" 1980-12-07 26.6 "SDC" "" "NJN" "W" 3 0 2 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"18" "18" 1980-12-09 26.61 "SDC" "@" "ATL" "L" -27 0 14 0.377 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1980-12-12 26.62 "SDC" "@" "DAL" "L" -3 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"20" "20" 1980-12-16 26.63 "SDC" "" "LAL" "W" 5 0 15 0.551 0.833 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1980-12-18 26.63 "SDC" "" "DAL" "W" 10 0 14 0.289 0.167 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1980-12-20 26.64 "SDC" "@" "UTA" "W" 12 0 6 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1980-12-21 26.64 "SDC" "" "DET" "W" 20 0 25 0.481 0.455 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1980-12-27 26.66 "SDC" "" "IND" "W" 12 0 7 0.563 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1980-12-30 26.67 "SDC" "@" "HOU" "L" -6 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1981-01-01 26.67 "SDC" "" "BOS" "L" -3 0 5 0.379 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1981-01-03 26.68 "SDC" "@" "IND" "L" -24 0 9 0.481 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1981-01-04 26.68 "SDC" "@" "MIL" "L" -33 0 12 0.332 0 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1981-01-06 26.68 "SDC" "@" "CHI" "L" -15 0 16 0.183 0 NA NA NA NA NA NA NA NA NA NA 2.1 NA
"30" "30" 1981-01-14 26.71 "SDC" "" "ATL" "W" 21 0 3 0.521 0.5 NA NA NA NA NA NA NA NA NA NA 2.6 NA
"31" "31" 1981-01-16 26.71 "SDC" "@" "UTA" "L" -3 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1981-01-18 26.72 "SDC" "" "DAL" "W" 6 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1981-01-21 26.73 "SDC" "@" "DEN" "W" 9 0 12 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 2.9 NA
"34" "34" 1981-01-24 26.73 "SDC" "" "MIL" "L" -4 0 3 NA NA NA NA NA NA NA NA NA NA NA NA -0.7 NA
"35" "35" 1981-01-27 26.74 "SDC" "" "KCK" "W" 5 0 17 0.712 0.7 NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1981-01-29 26.75 "SDC" "" "POR" "L" -2 0 9 0.798 1 NA NA NA NA NA NA NA NA NA NA 2.1 NA
"37" "37" 1981-02-03 26.76 "SDC" "@" "NYK" "L" -3 0 19 0.317 0.286 NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1981-02-04 26.76 "SDC" "@" "NJN" "W" 8 0 24 0.47 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1981-02-06 26.77 "SDC" "@" "PHI" "L" -16 0 26 0.527 0.571 NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1981-02-08 26.78 "SDC" "@" "BOS" "L" -16 0 20 0.611 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1981-02-10 26.78 "SDC" "" "PHO" "L" -14 0 5 0 0 NA NA NA NA NA NA NA NA NA NA 0.6 NA
"42" "42" 1981-02-13 26.79 "SDC" "@" "PHO" "L" -16 0 26 0.611 0.5 NA NA NA NA NA NA NA NA NA NA 10.6 NA
"43" "43" 1981-02-17 26.8 "SDC" "" "CHI" "W" 33 0 21 0.563 0.583 NA NA NA NA NA NA NA NA NA NA 10.7 NA
"44" "44" 1981-02-19 26.81 "SDC" "" "HOU" "W" 17 0 18 0.658 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1981-02-20 26.81 "SDC" "@" "GSW" "W" 1 0 14 0.585 0.4 NA NA NA NA NA NA NA NA NA NA 9.3 NA
"46" "46" 1981-02-22 26.81 "SDC" "" "UTA" "W" 15 0 10 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1981-02-24 26.82 "SDC" "@" "POR" "W" 14 0 15 0.581 0.5 NA NA NA NA NA NA NA NA NA NA 6.9 NA
"48" "48" 1981-02-25 26.82 "SDC" "" "PHI" "L" -12 0 24 0.625 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1981-02-28 26.83 "SDC" "@" "HOU" "W" 1 1 22 0.628 0.714 NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1981-03-01 26.83 "SDC" "@" "DAL" "L" -8 0 17 0.276 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1981-03-04 26.84 "SDC" "" "WSB" "L" -12 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1981-03-06 26.85 "SDC" "" "CLE" "W" 15 0 30 0.406 0.455 NA NA NA NA NA NA NA NA NA NA 6.6 NA
"53" "53" 1981-03-07 26.85 "SDC" "@" "UTA" "L" -3 0 11 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
