"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1958-10-22 22.66 "CIN" "@" "MNL" "L" -20 NA NA 0.541 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1958-10-25 22.67 "CIN" "" "MNL" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1958-10-31 22.69 "CIN" "@" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1958-11-01 22.69 "CIN" "@" "SYR" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1958-11-02 22.69 "CIN" "" "STL" "L" -7 NA 14 0.388 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1958-11-05 22.7 "CIN" "" "NYK" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1958-11-09 22.71 "CIN" "" "PHW" "L" -14 NA NA 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1958-11-12 22.72 "CIN" "" "SYR" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1958-11-15 22.73 "CIN" "@" "BOS" "L" -25 NA 26 0.358 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1958-11-19 22.74 "CIN" "" "BOS" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1958-11-21 22.75 "CIN" "@" "PHW" "L" -18 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1958-11-22 22.75 "CIN" "@" "DET" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1958-11-23 22.75 "CIN" "" "STL" "L" -11 NA 16 0.396 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1958-11-25 22.76 "CIN" "@" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1958-11-26 22.76 "CIN" "" "DET" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1958-11-28 22.76 "CIN" "@" "MNL" "L" -21 NA NA 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1958-11-29 22.77 "CIN" "@" "STL" "L" -12 NA NA 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1958-11-30 22.77 "CIN" "" "MNL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1958-12-02 22.78 "CIN" "" "STL" "L" -24 NA 11 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1958-12-03 22.78 "CIN" "" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1958-12-06 22.79 "CIN" "" "MNL" "W" 4 NA NA 0.461 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1958-12-07 22.79 "CIN" "" "PHW" "L" -13 NA NA 0.255 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1958-12-10 22.8 "CIN" "" "SYR" "L" -3 NA NA 0.519 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1958-12-12 22.8 "CIN" "@" "BOS" "L" -10 NA 19 0.467 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1958-12-16 22.81 "CIN" "@" "NYK" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1958-12-18 22.82 "CIN" "" "BOS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1958-12-20 22.82 "CIN" "@" "SYR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1958-12-25 22.84 "CIN" "" "STL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1958-12-26 22.84 "CIN" "@" "DET" "L" -40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1958-12-28 22.85 "CIN" "" "MNL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1958-12-29 22.85 "CIN" "@" "STL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1958-12-30 22.85 "CIN" "" "STL" "L" -15 NA 19 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1959-01-02 22.86 "CIN" "" "DET" "W" 7 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1959-01-06 22.87 "CIN" "" "BOS" "L" -14 NA NA 0.17 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1959-01-08 22.88 "CIN" "" "SYR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1959-01-09 22.88 "CIN" "" "STL" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1959-01-10 22.88 "CIN" "" "DET" "L" -32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
