"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2009-10-28 20.22 "TOR" "" "CLE" "W" 10 1 23.5833333333333 0.581 0.5 0 18.8 10.5 7.3 2.1 3.3 12.7 15.4 103 89 7.1 4.6
"2" "2" 2009-10-30 20.23 "TOR" "@" "MEM" "L" -8 1 20.0333333333333 0.429 0.429 11.4 18.4 14.8 7.5 0 3.3 0 14.7 115 122 5.6 -0.7
"3" "3" 2009-11-01 20.24 "TOR" "" "ORL" "L" -9 1 18.75 0.68 0.7 16 6 10.2 0 0 0 0 14.6 152 142 5.8 -0.6
"4" "4" 2009-11-04 20.24 "TOR" "" "DET" "W" 11 1 18.1666666666667 0.255 0.2 16.5 0 8.8 17.4 3 4 0 15.1 101 111 3.9 -2.5
"5" "5" 2009-11-06 20.25 "TOR" "@" "NOH" "W" 17 1 18.05 0.667 0.667 0 14 7.3 15.8 0 4.8 25 11 115 104 4 1.6
"6" "6" 2009-11-07 20.25 "TOR" "@" "DAL" "L" -28 1 17.0333333333333 0.532 1 0 8.5 3.5 17 3 4.3 34.7 7.5 83 127 1.3 -3.5
"7" "7" 2009-11-09 20.26 "TOR" "@" "SAS" "L" -7 1 12.9666666666667 0.5 0.5 12.3 0 5.3 0 4 6.3 33.3 11.1 88 137 1.6 -1.9
"8" "8" 2009-11-11 20.26 "TOR" "" "CHI" "W" 10 1 18.75 0.45 0.45 18.3 30.1 24.8 9.9 0 6.4 23.1 29.4 82 87 6.6 3.3
"9" "9" 2009-11-13 20.27 "TOR" "@" "LAC" "W" 15 1 11.05 0.25 0.25 0 0 0 11.9 0 0 20 22.7 54 113 -1.5 -20.8
"10" "10" 2009-11-15 20.27 "TOR" "@" "PHO" "L" -1 1 19.4666666666667 0.429 0.429 0 12.3 5.8 7.6 2.7 0 0 16.4 97 110 4.2 -0.8
"11" "11" 2009-11-17 20.28 "TOR" "@" "DEN" "L" -18 1 22.5666666666667 0.73 0.722 4.3 13.3 7.9 0 2.2 0 14.7 24.7 123 133 12.2 2
