"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2000-03-06 24.21 "SAS" "" "NJN" "W" 2 0 9.81666666666667 0.765 0.9 20.9 0 11.6 0 0 0 0 24.6 146 117 6.9 12.8
"2" "2" 2000-03-09 24.22 "SAS" "@" "ATL" "W" 26 0 8.28333333333333 0.2 0.2 0 0 0 16.2 0 0 0 29.9 57 97 -0.4 -15.8
"3" "3" 2000-03-10 24.22 "SAS" "@" "WAS" "W" 7 0 17.2 0.543 0.5 15.6 35.4 26 9.5 0 4.1 23.7 23.2 97 95 5.5 1.1
"4" "4" 2000-03-12 24.23 "SAS" "@" "NYK" "L" -13 0 9.21666666666667 0.143 0.143 10.7 32.3 19.3 0 0 0 0 37.7 40 108 -1.6 -21.9
"5" NA 2000-03-14 24.23 "SAS" "" "ATL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "5" 2000-03-16 24.24 "SAS" "" "DAL" "L" -22 0 23.6 0.25 0.25 20.5 11.1 16 15.4 0 0 23.1 26 64 130 -1 -16.7
"7" "6" 2000-03-18 24.24 "SAS" "" "DEN" "W" 20 0 5.18333333333333 0.515 0.333 21.8 40 31.3 0 0 0 0 33.4 128 84 3.6 7.6
"8" NA 2000-03-21 24.25 "SAS" "@" "DAL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "7" 2000-03-22 24.25 "SAS" "" "LAC" "W" 25 0 13 0.5 0.5 24.6 0 12.4 10.7 0 0 0 18.1 136 103 5.1 6.5
"10" "8" 2000-03-25 24.26 "SAS" "" "CLE" "W" 20 0 9.08333333333333 0.6 0.6 13.7 12.4 13 0 5.7 0 16.7 31.5 98 77 4.3 2.2
"11" NA 2000-03-27 24.27 "SAS" "@" "SEA" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
