"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1973-10-09 22.73 "BUF" "" "HOU" "W" 2 NA NA 0.291 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1973-10-12 22.74 "BUF" "@" "BOS" "L" -6 NA 42 0.468 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1973-10-13 22.74 "BUF" "" "LAL" "L" -3 1 27 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1973-10-16 22.75 "BUF" "@" "NYK" "L" -26 NA 39 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1973-10-20 22.76 "BUF" "" "PHI" "W" 6 NA 36 0.505 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1973-10-24 22.77 "BUF" "@" "MIL" "L" -17 1 42 0.465 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1973-10-26 22.78 "BUF" "" "CLE" "W" 7 1 28 0.267 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1973-10-27 22.78 "BUF" "@" "CLE" "W" 10 1 33 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1973-10-28 22.78 "BUF" "@" "KCO" "W" 12 NA NA 0.446 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1973-10-30 22.79 "BUF" "" "SEA" "W" 2 NA 37 0.54 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1973-11-02 22.8 "BUF" "@" "CHI" "L" -10 1 40 0.599 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1973-11-03 22.8 "BUF" "" "GSW" "L" -3 1 52 0.536 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1973-11-04 22.8 "BUF" "" "CHI" "L" -6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1973-11-07 22.81 "BUF" "@" "SEA" "L" -17 NA 42 0.607 NA NA NA NA NA NA NA NA NA NA NA NA NA
