"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2005-11-02 22.14 "GSW" "" "ATL" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2005-11-04 22.15 "GSW" "" "UTA" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2005-11-06 22.15 "GSW" "@" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2005-11-08 22.16 "GSW" "@" "MIL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2005-11-09 22.16 "GSW" "@" "CHI" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2005-11-11 22.17 "GSW" "" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2005-11-12 22.17 "GSW" "@" "PHO" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2005-11-14 22.18 "GSW" "" "CHI" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2005-11-16 22.18 "GSW" "" "MIL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2005-11-18 22.19 "GSW" "@" "POR" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2005-11-20 22.19 "GSW" "@" "LAC" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2005-11-21 22.19 "GSW" "" "NJN" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "1" 2005-11-23 22.2 "GSW" "" "SAS" "L" -24 0 14.3166666666667 0.661 0.571 7.5 19.7 12.7 0 3.7 0 10.7 31 117 119 8.2 6
"14" "2" 2005-11-25 22.21 "GSW" "@" "UTA" "W" 4 0 18.1333333333333 0.709 0.667 5.1 6.5 5.7 0 0 8.5 27.9 26.4 98 97 6.6 0.7
"15" "3" 2005-11-26 22.21 "GSW" "" "TOR" "W" 26 0 21 0.768 0.75 19.6 19.9 19.8 0 0 0 23.5 26.6 116 98 10.9 -0.8
"16" "4" 2005-11-28 22.21 "GSW" "" "NOK" "W" 16 0 15.85 0.421 0.286 30.9 0 17 9.2 0 0 19.4 28.8 99 103 3.9 -9.3
"17" "5" 2005-11-30 22.22 "GSW" "" "SAC" "W" 7 0 7.08333333333333 0.5 0.5 0 31.5 15.6 19.8 0 0 0 11.4 131 109 1.5 -1.4
"18" "6" 2005-12-02 22.22 "GSW" "" "CHA" "W" 7 0 12.6333333333333 0.17 0.2 17.3 6.9 11.5 11.4 0 0 14.5 21.7 55 106 -2.1 -18.4
"19" "7" 2005-12-07 22.24 "GSW" "" "PHO" "L" -8 0 8.71666666666667 0.82 0.75 24.5 10.4 16.9 0 5 0 0 22.4 173 102 8.7 17.7
"20" "8" 2005-12-09 22.24 "GSW" "" "DET" "L" -3 0 16.9833333333333 1.042 1 0 8.3 3.9 0 3.1 9.3 41 13.3 110 109 4.1 -1.1
"21" "9" 2005-12-13 22.25 "GSW" "@" "SEA" "W" 3 0 7.53333333333333 NA NA 0 0 0 0 0 0 100 13.1 0 120 -4 -33.1
"22" "10" 2005-12-14 22.26 "GSW" "" "HOU" "L" -6 0 3.38333333333333 NA NA 0 78.3 33.7 0 0 0 NA 0 0 94 0.2 -9.6
"23" "" 2005-12-16 22.26 "GSW" "@" "TOR" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "11" 2005-12-18 22.27 "GSW" "@" "NJN" "L" -28 0 10.2 0.644 0.667 11.8 0 6.5 0 0 0 20.5 22.5 104 132 1.8 -11.4
"25" "12" 2005-12-19 22.27 "GSW" "@" "BOS" "L" -11 0 2.63333333333333 0 0 0 0 0 0 0 0 0 32.1 0 118 -1.8 -38.7
"26" "13" 2005-12-21 22.28 "GSW" "@" "PHI" "L" -11 0 4.13333333333333 0.333 0.333 0 27 13.5 45.7 12.4 0 0 32.5 87 90 1.9 8.8
"27" "14" 2005-12-23 22.28 "GSW" "@" "DET" "L" -12 0 31.6166666666667 0.85 0.867 10.4 15.6 12.8 0 0 0 11.2 27.7 146 120 21.4 14
"28" "15" 2005-12-26 22.29 "GSW" "" "DEN" "L" -6 0 18.65 0.761 0.714 6.4 7.6 7 9.1 0 0 11.3 20.6 140 131 9 1.8
"29" "16" 2005-12-28 22.3 "GSW" "" "BOS" "W" 2 1 23.8833333333333 0.761 0.714 5.7 0 3 5.9 0 3.1 11.3 17.3 137 124 7.8 -5.4
"30" "17" 2005-12-30 22.3 "GSW" "@" "DAL" "W" 2 1 25.0333333333333 0.68 0.6 14.4 4.8 9.6 16.8 0 2.7 25.4 13.7 128 127 7.3 -0.3
"31" "18" 2005-12-31 22.3 "GSW" "@" "HOU" "W" 5 1 21.8666666666667 0.979 1 10.2 0 5.2 0 0 0 0 14.4 205 114 10.8 6.7
"32" "19" 2006-01-03 22.31 "GSW" "@" "MEM" "L" -10 1 16.6 0.667 0.667 0 17 8.1 0 0 0 25 11.8 90 121 1.5 -8.6
"33" "20" 2006-01-05 22.32 "GSW" "" "IND" "L" -10 1 37.5833333333333 0.633 0.6 9.3 30.2 19.4 5 0 2.3 24 21 102 109 12 -0.6
"34" "21" 2006-01-11 22.33 "GSW" "" "MIA" "L" -14 1 24.7166666666667 0.51 0.4 11.7 11.1 11.4 0 2 0 0 10.9 124 116 5.8 -5.1
"35" "22" 2006-01-12 22.34 "GSW" "@" "PHO" "L" -13 1 25.7 0.63 0.556 12.5 17.4 14.5 6.3 0 0 0 16.2 144 117 13 3.2
"36" "23" 2006-01-14 22.34 "GSW" "" "LAL" "L" -6 1 15.5 0.521 0.5 6.1 7.4 6.7 8.2 0 9.5 41 13.4 76 118 1.5 -7.7
"37" "24" 2006-01-16 22.35 "GSW" "" "SEA" "W" 16 0 8.95 0.266 0 14.1 32.8 24.7 0 0 0 0 9.3 92 94 0.3 -12.1
"38" "25" 2006-01-20 22.36 "GSW" "" "CLE" "W" 20 0 11.3666666666667 0.25 0.25 18.4 15.6 16.9 0 0 0 33.3 24.1 54 89 -0.4 -17.8
"39" "26" 2006-01-22 22.36 "GSW" "@" "LAC" "L" -13 0 8.21666666666667 0.532 0 0 15.4 7.7 0 0 0 34.7 17.4 72 114 0.2 -12.9
"40" "27" 2006-01-23 22.37 "GSW" "" "LAC" "L" -3 0 3.03333333333333 NA NA 0 39.6 18 41.6 0 0 NA 0 216 106 0.2 -0.4
"41" "28" 2006-01-25 22.37 "GSW" "" "DAL" "L" -9 0 5.68333333333333 0 0 17.2 0 8.7 0 0 11.9 66.7 24.3 19 116 -1.7 -26
"42" "29" 2006-01-27 22.38 "GSW" "@" "LAL" "L" -1 0 12.5 0.333 0.333 0 8.5 4.3 14.4 0 0 0 20.1 86 109 1.2 -4.9
"43" "30" 2006-01-28 22.38 "GSW" "" "POR" "W" 15 0 15.4166666666667 0.342 0.167 0 21.7 10.9 0 3.5 0 12 24.1 78 88 1.3 -10.9
"44" "31" 2006-02-01 22.39 "GSW" "@" "SEA" "L" -4 0 7 0.347 0 15.9 16.7 16.3 0 7.1 0 0 17.9 102 103 2.2 -4.1
"45" "32" 2006-02-02 22.39 "GSW" "" "SAS" "L" -3 0 8.68333333333333 0.34 0.2 0 29.1 13.8 0 0 0 14.5 37.7 64 101 -0.3 -16.6
"46" "33" 2006-02-04 22.4 "GSW" "" "MIN" "W" 32 0 16.8666666666667 0.761 0.714 8.1 0 3.3 0 0 7.2 11.3 24 133 88 9.4 4.2
"47" "34" 2006-02-06 22.41 "GSW" "" "DEN" "W" 8 0 4.63333333333333 0 0 0 0 0 0 0 0 0 8.7 0 120 -0.7 -16
