"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 21.71 "MIL" "@" "CHO" "W" 1 0 22.0666666666667 0.667 0.667 5.1 4 4.4 6.1 2.1 0 14.3 13.3 120 111 6.7 3.4
"2" "2" 2018-10-19 21.72 "MIL" "" "IND" "W" 17 0 20.2333333333333 0.592 0.5 0 9.9 5.2 0 2.3 0 37.2 21.4 72 98 0.9 -10.3
"3" "3" 2018-10-22 21.72 "MIL" "" "NYK" "W" 11 0 19.7333333333333 0.129 0 4.8 10.4 7.4 5.4 0 0 20.5 9.8 52 118 -1.7 -15.5
"4" "4" 2018-10-24 21.73 "MIL" "" "PHI" "W" 15 0 19.5666666666667 0.625 0.625 0 29.4 14.6 13.6 0 8.5 20 9.9 106 94 6.2 4.9
"5" "5" 2018-10-26 21.73 "MIL" "@" "MIN" "W" 30 0 18.55 0.5 0.5 13.3 7.2 9.3 33.5 0 0 0 20.5 134 98 9.4 6.2
"6" "6" 2018-10-27 21.74 "MIL" "" "ORL" "W" 22 0 17.9333333333333 0.759 0.722 0 13 8.2 0 0 0 9.2 25.7 128 93 10.6 5.2
"7" "7" 2018-10-29 21.74 "MIL" "" "TOR" "W" 15 0 22.7833333333333 0.607 0.556 0 26.3 15.6 11.5 0 0 9.2 19.5 116 99 10.1 2.1
"8" "8" 2018-11-01 21.75 "MIL" "@" "BOS" "L" -4 0 24.4 0.621 0.583 0 21.9 11.3 11.2 0 0 0 11.3 136 121 7.1 1.3
"9" "9" 2018-11-04 21.76 "MIL" "" "SAC" "W" 35 0 16.55 0.5 0.5 12.6 5.4 8.7 21.6 5.3 0 0 11.9 144 93 6.9 6.3
"10" "10" 2018-11-06 21.76 "MIL" "@" "POR" "L" -15 0 23.45 0.5 0.5 0 5 2.2 0 0 0 14.3 13.5 82 130 1.9 -6.8
"11" "11" 2018-11-08 21.77 "MIL" "@" "GSW" "W" 23 0 14 0.333 0.333 8 16.7 12.2 22.8 0 0 0 16.5 106 111 2.8 -6.2
"12" "12" 2018-11-10 21.78 "MIL" "@" "LAC" "L" -2 0 15.0666666666667 0.286 0.286 0 15 6.6 0 0 0 12.5 21.3 52 118 -0.9 -17.3
"13" "13" 2018-11-11 21.78 "MIL" "@" "DEN" "W" 7 0 12.9 0.333 0.333 0 8.1 4.7 16.8 0 0 0 11 103 129 2 -6.1
"14" "14" 2018-11-14 21.79 "MIL" "" "MEM" "L" -3 0 6.4 0.75 0.75 0 0 0 0 0 0 0 13.8 145 123 1.2 -2.9
"15" "" 2018-11-16 21.79 "MIL" "" "CHI" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2018-11-19 21.8 "MIL" "" "DEN" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2018-11-21 21.81 "MIL" "" "POR" "W" 43 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2018-11-23 21.81 "MIL" "" "PHO" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2018-11-24 21.81 "MIL" "" "SAS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "15" 2018-11-26 21.82 "MIL" "@" "CHO" "L" -3 0 10.85 1.333 1.333 18.1 0 9.6 18.6 0 0 0 11.7 256 117 8 19.2
"21" "16" 2018-11-28 21.82 "MIL" "" "CHI" "W" 3 0 13.5166666666667 0 0 8.1 0 3.8 8.3 10.5 0 0 9.7 48 97 1.1 -4.2
"22" "17" 2018-12-01 21.83 "MIL" "@" "NYK" "L" -2 0 12.8833333333333 0 0 0 0 0 8.9 0 0 50 13.3 18 128 -3.5 -21.4
"23" "18" 2018-12-05 21.84 "MIL" "" "DET" "W" 23 0 16.7333333333333 0.3 0.3 0 10.6 5.9 8.2 5.4 0 28.6 18.2 48 83 1.2 -4.8
"24" "" 2018-12-07 21.85 "MIL" "" "GSW" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2018-12-09 21.85 "MIL" "@" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "19" 2018-12-10 21.86 "MIL" "" "CLE" "W" 16 0 13.3166666666667 0.375 0.375 14.4 13.4 13.9 9.4 0 0 20 15.7 90 95 1.5 -5.4
"27" "" 2018-12-12 21.86 "MIL" "@" "IND" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "20" 2018-12-14 21.87 "MIL" "@" "CLE" "W" 12 0 23.3166666666667 0.429 0.429 4 7.9 6 0 6.3 8.1 0 12.5 97 94 6.8 1.1
"29" "21" 2018-12-17 21.88 "MIL" "@" "DET" "W" 3 0 7.51666666666667 0 0 0 15.2 7.8 0 0 12 25 24.4 0 105 -2.1 -24.2
"30" "" 2018-12-19 21.88 "MIL" "" "NOP" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2018-12-21 21.89 "MIL" "@" "BOS" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2018-12-22 21.89 "MIL" "@" "MIA" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "22" 2018-12-25 21.9 "MIL" "@" "NYK" "W" 14 0 2.7 NA NA 0 0 0 0 0 0 NA 0 0 105 0 -6.6
"34" "" 2018-12-27 21.9 "MIL" "" "NYK" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2018-12-29 21.91 "MIL" "" "BRK" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "23" 2019-01-01 21.92 "MIL" "" "DET" "W" 23 0 3.6 NA NA 0 0 0 28.4 0 22.6 100 12.9 53 98 0.4 7.4
"37" "" 2019-01-04 21.93 "MIL" "" "ATL" "W" 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2019-01-05 21.93 "MIL" "" "TOR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
