"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 19.63 "DAL" "@" "PHO" "L" -21 1 31.7833333333333 0.296 0.313 6.3 26.7 14.7 19.8 0 0 19.2 29.8 62 135 0.8 -19.4
"2" "2" 2018-10-20 19.64 "DAL" "" "MIN" "W" 4 1 36.2333333333333 0.651 0.625 3.2 20.1 10.6 10.3 2.4 2.3 23.1 26.7 108 123 16.6 -0.5
"3" "3" 2018-10-22 19.65 "DAL" "" "CHI" "W" 6 1 35.8 0.638 0.607 0 11.5 5.4 26.3 1.4 0 16.8 20.4 121 113 13.9 1.8
"4" "4" 2018-10-24 19.65 "DAL" "@" "ATL" "L" -7 1 34.1833333333333 0.488 0.444 0 23.8 11.9 10 1.3 2.6 12.2 28.8 88 101 12 -1.7
"5" "5" 2018-10-26 19.66 "DAL" "@" "TOR" "L" -9 1 35.15 0.698 0.643 2.8 11.9 7.3 19.2 0 0 16 22 123 121 16.3 4.7
"6" "6" 2018-10-28 19.66 "DAL" "" "UTA" "L" -9 1 36.8833333333333 0.504 0.462 2.8 16.7 9.1 20.7 1.3 0 26.5 21.4 86 115 8.2 -4.1
"7" "7" 2018-10-29 19.67 "DAL" "@" "SAS" "L" -5 1 39.9166666666667 0.751 0.722 6 17.3 11.8 18.7 1.2 1.9 22.5 29.4 122 102 24.1 11.4
"8" "8" 2018-10-31 19.67 "DAL" "@" "LAL" "L" -1 1 28.1333333333333 0.589 0.591 4.2 18 10.8 34.6 1.6 0 14.4 20.2 123 108 12.9 7.7
"9" "9" 2018-11-02 19.68 "DAL" "" "NYK" "L" -12 1 34.9666666666667 0.583 0.6 6.7 24.6 15.4 28.4 1.4 0 20.6 24.4 107 120 13.8 1.2
"10" "10" 2018-11-06 19.69 "DAL" "" "WAS" "W" 19 1 33.2666666666667 0.664 0.625 3.9 19.2 12.3 16.6 1.5 0 22.4 29 107 102 15.2 0.2
"11" "11" 2018-11-07 19.69 "DAL" "@" "UTA" "L" -15 1 35.2 0.703 0.607 3.5 15.2 9.7 14 0 0 22.6 26.3 116 119 14.4 2.6
"12" "12" 2018-11-10 19.7 "DAL" "" "OKC" "W" 15 1 31.3666666666667 0.656 0.633 0 15.3 10.1 41.9 1.6 0 19.3 31.6 117 100 17.5 3.4
"13" "13" 2018-11-12 19.7 "DAL" "@" "CHI" "W" 5 1 31.7833333333333 0.4 0.333 6.9 12.1 9.6 14 1.5 0 17.9 22.9 82 99 5.7 -6.2
"14" "14" 2018-11-14 19.71 "DAL" "" "UTA" "W" 50 1 25.15 0.468 0.462 6 18.4 13.6 10.8 3.8 4.1 17.8 30.2 88 65 8.4 0.1
"15" "15" 2018-11-17 19.72 "DAL" "" "GSW" "W" 3 1 35.7833333333333 0.551 0.5 3.1 21.5 13 19.2 0 0 12.1 29.9 106 111 15.3 0.1
"16" "16" 2018-11-19 19.72 "DAL" "@" "MEM" "L" -10 1 36.5333333333333 0.375 0.375 2.8 28.8 14.9 17.8 0 2.7 13 28.4 71 105 5.8 -4.6
"17" "17" 2018-11-21 19.73 "DAL" "" "BRK" "W" 6 1 33.8666666666667 0.663 0.545 8.3 18.7 14.7 18.3 2.9 0 15.9 24.5 127 111 18.2 3.3
"18" "18" 2018-11-24 19.74 "DAL" "" "BOS" "W" 9 1 30.8666666666667 0.631 0.591 0 0 0 36.3 4.8 2.7 20.2 20.6 122 104 15.6 10.1
"19" "19" 2018-11-28 19.75 "DAL" "@" "HOU" "W" 20 1 24.2833333333333 0.758 0.682 12 18.8 15.8 11.6 2.1 0 23.3 31 125 113 14.9 3.6
"20" "20" 2018-11-30 19.75 "DAL" "@" "LAL" "L" -11 1 31.7166666666667 0.209 0.154 0 19.7 9.8 24.4 4.3 5.4 17.3 22.4 52 98 2.8 -6.2
"21" "" 2018-12-02 19.76 "DAL" "" "LAC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "21" 2018-12-04 19.76 "DAL" "" "POR" "W" 9 1 31.7166666666667 0.585 0.5 5.8 23 13.9 15.7 0 0 10 26 119 106 15.2 2
"23" "22" 2018-12-05 19.77 "DAL" "@" "NOP" "L" -26 1 22 0.41 0.313 0 22.4 9.6 37.8 0 0 17 21.7 93 129 5.8 -4.6
"24" "23" 2018-12-08 19.78 "DAL" "" "HOU" "W" 3 1 32 0.547 0.5 11.3 15 13.1 4.9 5 0 13.5 31.7 110 110 14.3 2.3
"25" "24" 2018-12-10 19.78 "DAL" "" "ORL" "W" 25 1 25.6 0.284 0.182 4.3 37.5 21.9 54 2 0 14 25.6 85 75 8.7 1.3
"26" "25" 2018-12-12 19.79 "DAL" "" "ATL" "W" 7 1 34.7666666666667 0.583 0.429 4.3 25.9 17.3 29.5 1.4 2.3 16.3 31.5 112 103 19.5 1.9
"27" "26" 2018-12-13 19.79 "DAL" "@" "PHO" "L" -10 1 31.2333333333333 0.505 0.542 0 15.1 8.3 42.3 1.6 0 23.7 22.5 92 102 8.9 2
"28" "27" 2018-12-16 19.8 "DAL" "" "SAC" "L" -7 1 35.0333333333333 0.662 0.633 0 17.1 8.2 44.6 1.3 0 19.1 29 119 117 22 8.1
"29" "28" 2018-12-18 19.8 "DAL" "@" "DEN" "L" -8 1 34.5 0.567 0.433 0 21.4 10.4 50.5 1.4 0 4.7 27.6 132 126 23.5 10
"30" "29" 2018-12-20 19.81 "DAL" "@" "LAC" "L" -4 1 31 0.622 0.575 13.8 0 7.3 28.1 6.4 0 13.5 39.2 124 121 25.5 14.9
"31" "30" 2018-12-22 19.81 "DAL" "@" "GSW" "L" -4 1 29.6666666666667 0.567 0.567 3.2 6.5 4.9 26.4 1.6 2.9 10.7 25.9 111 120 14.2 4.2
"32" "31" 2018-12-23 19.82 "DAL" "@" "POR" "L" -3 1 35.4333333333333 0.461 0.381 5.5 28 16.1 27.6 0 0 3.9 31.2 104 108 17.6 6.5
"33" "32" 2018-12-26 19.82 "DAL" "" "NOP" "W" 3 1 31.35 0.574 0.385 3.8 27.2 16.2 48.8 1.5 0 5.2 26.9 137 117 22.8 8.4
"34" "33" 2018-12-28 19.83 "DAL" "@" "NOP" "L" -2 1 33.55 0.783 0.844 3.6 3 3.3 18.9 0 0 15.6 33.9 132 129 23.5 12
"35" "34" 2018-12-30 19.84 "DAL" "" "OKC" "W" 2 1 33.8 0.602 0.579 0 9.1 4.8 41 1.4 0 22.4 33.4 103 103 14.5 4.3
"36" "35" 2018-12-31 19.84 "DAL" "@" "OKC" "L" -20 1 22.5333333333333 0.672 0.55 5.3 19.4 13.5 28.4 1.9 0 28.3 32.7 102 108 11.9 5
"37" "36" 2019-01-02 19.84 "DAL" "@" "CHO" "W" 38 1 26.3 0.533 0.531 4 28.8 17.7 23.4 0 0 10.6 30.5 107 85 13.4 2.7
"38" "37" 2019-01-04 19.85 "DAL" "@" "BOS" "L" -21 1 28.9166666666667 0.563 0.563 3.3 25.5 14.6 29.7 0 0 15.1 29.9 104 118 12.7 4.3
"39" "38" 2019-01-05 19.85 "DAL" "@" "PHI" "L" -6 1 26.3 0.343 0.281 0 34.2 16.8 23.8 3.6 0 0 32.9 81 98 9.5 1.9
"40" "39" 2019-01-07 19.86 "DAL" "" "LAL" "L" -10 1 34.8666666666667 0.518 0.478 5.9 16.9 11.5 12.4 1.4 2.1 3.7 32.5 116 106 18.2 5.5
"41" "40" 2019-01-09 19.86 "DAL" "" "PHO" "W" 10 1 35.8833333333333 0.713 0.714 0 16.3 8.5 34.7 4.1 0 16 30.8 123 92 24.6 13.3
"42" "41" 2019-01-11 19.87 "DAL" "@" "MIN" "W" 4 1 34.9166666666667 0.529 0.478 5.8 16.8 11.5 54.5 2.7 0 3.5 34.1 127 112 27.5 13.5
"43" "42" 2019-01-13 19.87 "DAL" "" "GSW" "L" -5 1 31.95 0.604 0.583 0 18.4 9 28.9 1.6 0 18.9 34.4 109 123 16.3 5.1
"44" "43" 2019-01-16 19.88 "DAL" "" "SAS" "L" -4 1 35.8 0.571 0.548 3.5 23.5 13.8 45.5 1.6 0 8.4 30.2 129 120 20.1 9.5
"45" "44" 2019-01-19 19.89 "DAL" "@" "IND" "L" -12 1 24.4833333333333 0.254 0.214 8.2 14.3 11 37.8 6.3 0 11.3 31.7 74 109 5.7 -1.8
"46" "45" 2019-01-21 19.9 "DAL" "@" "MIL" "L" -10 1 32.9166666666667 0.469 0.412 5.4 29.2 16.2 45.2 1.4 2.5 13.5 27.6 105 110 17.5 6.7
"47" "46" 2019-01-22 19.9 "DAL" "" "LAC" "W" 8 1 32.3 0.438 0.333 0 19.6 11.7 29.2 1.6 2.7 13.4 31.8 95 102 11.9 -0.8
