"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1999-02-05 24.38 "HOU" "@" "LAL" "L" -8 0 8.38333333333333 0.333 0.333 0 0 0 20.7 0 0 25 21.8 62 117 -0.8 -15.4
"2" "2" 1999-02-06 24.38 "HOU" "@" "GSW" "W" 2 0 22.2666666666667 0.481 0.357 0 5 2.7 19.3 7.7 0 32.5 28.1 74 89 3.8 -0.8
"3" "3" 1999-02-08 24.38 "HOU" "" "DEN" "W" 19 0 30.3 0.405 0.333 0 8.9 4.9 41 0 0 16.8 17.7 105 98 6.2 -2.5
"4" "4" 1999-02-10 24.39 "HOU" "" "SAC" "W" 10 0 6.88333333333333 0 0 0 13.7 7 0 7.8 0 50 26.1 0 81 -2.5 -24.9
"5" "5" 1999-02-11 24.39 "HOU" "@" "DAL" "W" 10 0 16.7333333333333 0.727 0.667 0 0 0 0 3.2 3.8 53.8 20.4 62 109 -0.2 -10.3
"6" "6" 1999-02-16 24.41 "HOU" "" "PHO" "W" 17 0 5.31666666666667 0 0 25.3 17.8 20.9 46.8 0 0 33.3 26.5 59 103 0 -15
"7" "7" 1999-02-17 24.41 "HOU" "@" "MIN" "L" -14 0 6.98333333333333 1.167 1.167 0 0 0 100 0 0 0 21 230 133 8.1 34.8
"8" "" 1999-02-18 24.41 "HOU" "@" "NJN" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "8" 1999-02-20 24.42 "HOU" "@" "MIA" "L" -10 0 5.28333333333333 0.333 0.333 0 0 0 0 0 0 0 32 75 116 0.3 -8.3
"10" "9" 1999-02-21 24.42 "HOU" "@" "ORL" "L" -26 0 12 0.75 0.75 0 0 0 25 0 5.3 33.3 12.3 114 122 1.5 -0.8
"11" "10" 1999-02-23 24.42 "HOU" "" "SEA" "W" 12 0 4.6 0 0 0 0 0 0 0 0 0 8.9 0 107 -1.1 -17.9
"12" "" 1999-02-25 24.43 "HOU" "" "ATL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "11" 1999-02-27 24.44 "HOU" "@" "VAN" "W" 12 0 18.8166666666667 0.25 0.25 0 10.5 6 23.3 2.7 3.4 20 12.5 67 79 1 -5.6
"14" "12" 1999-02-28 24.44 "HOU" "@" "LAL" "L" -16 0 10.7 0.375 0.375 0 12.1 5.6 0 0 0 0 16.2 83 118 0.1 -8.7
"15" "13" 1999-03-02 24.44 "HOU" "" "SAS" "L" -17 0 17.95 0.205 0 0 5.6 3.2 8.6 3 0 0 12.7 62 112 0.8 -6.2
"16" "14" 1999-03-04 24.45 "HOU" "" "LAC" "W" 19 0 3.83333333333333 0 0 0 0 0 0 0 0 0 23.9 0 100 -1.8 -37.3
"17" "" 1999-03-06 24.45 "HOU" "@" "VAN" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "15" 1999-03-07 24.46 "HOU" "@" "POR" "L" -40 0 8.95 0 0 11.3 0 7.2 0 0 0 0 10.3 23 132 -1.5 -17.2
"19" "" 1999-03-09 24.46 "HOU" "" "DEN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 1999-03-11 24.47 "HOU" "" "VAN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 1999-03-13 24.47 "HOU" "" "CLE" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 1999-03-14 24.48 "HOU" "@" "PHO" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 1999-03-16 24.48 "HOU" "" "POR" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "16" 1999-03-17 24.48 "HOU" "@" "DEN" "W" 5 0 9.56666666666667 NA NA 0 37.9 18.2 34.3 0 0 NA 0 212 120 2.2 -0.6
"25" "" 1999-03-20 24.49 "HOU" "" "PHO" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "17" 1999-03-22 24.5 "HOU" "" "SAC" "W" 10 0 1.75 0 0 0 0 0 57.1 0 0 0 20.1 66 109 0 -10.6
"27" "18" 1999-03-24 24.5 "HOU" "@" "DAL" "W" 10 0 5.4 NA NA 0 33.7 22.3 0 0 0 NA 0 0 81 0.2 -5.7
"28" "" 1999-03-25 24.51 "HOU" "" "TOR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 1999-03-27 24.51 "HOU" "@" "GSW" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 1999-03-28 24.52 "DET" "" "SEA" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 1999-03-28 24.52 "HOU" "@" "SAC" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 1999-03-30 24.52 "HOU" "@" "LAC" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 1999-04-01 24.53 "HOU" "@" "UTA" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 1999-04-04 24.53 "HOU" "@" "SEA" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
