"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1970-10-14 23.13 "DET" "@" "SEA" "W" 6 NA 21 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1970-10-16 23.13 "DET" "@" "SFW" "W" 14 0 24 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1970-10-17 23.14 "DET" "@" "PHO" "W" 3 0 22 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1970-10-20 23.15 "DET" "" "MIL" "W" 1 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1970-10-21 23.15 "DET" "@" "BOS" "W" 3 NA 8 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1970-10-22 23.15 "DET" "" "ATL" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1970-10-24 23.16 "DET" "@" "BUF" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1970-10-26 23.16 "DET" "" "SEA" "W" 31 NA 19 0.727 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1970-10-28 23.17 "DET" "@" "BAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1970-10-31 23.18 "DET" "@" "NYK" "L" -18 NA 24 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1970-11-03 23.18 "DET" "" "CIN" "W" 3 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1970-11-04 23.19 "DET" "@" "ATL" "W" 12 NA 18 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1970-11-05 23.19 "DET" "" "BUF" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1970-11-07 23.19 "DET" "@" "CHI" "L" -26 0 24 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1970-11-11 23.21 "DET" "" "LAL" "L" -2 NA 19 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1970-11-13 23.21 "DET" "@" "LAL" "L" -13 NA 24 0.704 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1970-11-14 23.21 "DET" "@" "SDR" "L" -11 NA 14 0.307 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1970-11-17 23.22 "DET" "" "PHI" "L" -22 NA 18 0.342 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1970-11-19 23.23 "DET" "" "PHO" "W" 2 0 22 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1970-11-20 23.23 "DET" "@" "PHI" "W" 8 NA 24 0.601 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1970-11-21 23.23 "DET" "@" "CIN" "L" -12 NA NA 0.717 NA NA NA NA NA NA NA NA NA NA NA NA NA
