"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1997-10-31 21.52 "SAS" "@" "DEN" "W" 11 1 35.5 0.67 0.667 3.9 25.7 16.5 8.6 0 3.6 26.3 19.2 106 102 11.7 -1
"2" "2" 1997-11-01 21.52 "SAS" "" "CLE" "W" 3 1 22.8833333333333 0.571 0.571 6.5 17 12.9 36.9 2.4 6.5 33.7 25.4 84 87 6.4 2.6
"3" "3" 1997-11-03 21.53 "SAS" "@" "CHI" "L" -4 1 46.5666666666667 0.571 0.571 16.4 28.8 23.9 0 0 1.4 19.4 22 96 75 15.3 7
"4" "4" 1997-11-05 21.53 "SAS" "" "VAN" "W" 8 1 35.3 0.522 0.563 6.1 20.4 13.4 16.7 0 7.2 9.9 26.5 101 89 15.4 4.2
"5" "5" 1997-11-08 21.54 "SAS" "" "UTA" "W" 7 1 36.6333333333333 0.34 0.3 17.5 25.3 21.6 9.9 0 10.8 20.3 18.3 79 88 6.1 -1.3
"6" "6" 1997-11-10 21.55 "SAS" "@" "TOR" "W" 2 1 34.2833333333333 0.697 0.778 12.3 16 14.9 13.6 1.5 6.9 31.7 21.5 95 101 13.2 0.3
"7" "7" 1997-11-11 21.55 "SAS" "@" "MIN" "W" 1 1 34.65 0.703 0.692 9.8 21.1 15.2 6.1 0 2 16.1 22.5 130 105 16.4 6.8
"8" "8" 1997-11-13 21.55 "SAS" "" "LAL" "L" -9 1 38.7666666666667 0.531 0.529 10.7 30.9 21.5 21.9 0 6.9 18.3 28.7 96 108 15.1 1.7
"9" "9" 1997-11-15 21.56 "SAS" "" "MIN" "L" -11 1 40.7833333333333 0.605 0.625 4.4 31.9 18.4 0 0 1.4 7.5 14.2 116 102 13.4 1.2
"10" "10" 1997-11-19 21.57 "SAS" "" "GSW" "W" 21 1 35.6333333333333 0.586 0.643 3.5 24 15.2 10.7 0 5 11 23 108 91 15.3 1.3
"11" "11" 1997-11-21 21.58 "SAS" "@" "SEA" "L" -20 1 31.2166666666667 0.376 0.375 2.9 31.8 15 0 1.7 5.2 22 18.8 63 96 3.7 -4.1
"12" "12" 1997-11-22 21.58 "SAS" "@" "UTA" "L" -29 1 32.9166666666667 0.349 0.333 10.1 19.4 13.9 0 1.7 5.5 23.7 23.8 62 115 1.9 -8.4
"13" "13" 1997-11-25 21.59 "SAS" "@" "DAL" "W" 11 1 22.45 0.473 0.556 13.6 37.1 27.6 7.3 2.4 6.5 20.5 31 81 89 7 -6.8
"14" "14" 1997-11-26 21.59 "SAS" "" "WAS" "L" -4 1 41.1666666666667 0.6 0.6 11 33.9 23.4 0 0 8.7 25 23.8 88 104 14.2 -0.3
"15" "15" 1997-11-29 21.6 "SAS" "" "DAL" "W" 9 1 41.1333333333333 0.618 0.583 16.7 25.1 21.3 20.3 2.8 10.1 17.9 19.9 123 94 22.8 10.9
"16" "16" 1997-11-30 21.6 "SAS" "@" "ATL" "L" -12 1 37.5333333333333 0.672 0.643 3.9 28.4 16 13.7 1.6 0 21.2 25.7 112 125 13.7 0.5
"17" "17" 1997-12-02 21.61 "SAS" "" "NYK" "W" 6 1 39.1 0.621 0.6 11.2 24.6 18 11.8 2.8 0 5.1 22.9 128 90 22 11.1
"18" "18" 1997-12-04 21.61 "SAS" "@" "LAC" "L" -4 1 47.4166666666667 0.447 0.412 4.9 39.5 21 10.9 0 5 18.3 21.7 84 98 11.5 -0.9
"19" "19" 1997-12-05 21.61 "SAS" "@" "LAL" "L" -10 1 41.75 0.628 0.615 5.9 21.6 13.5 13.8 2.6 3.7 25.9 20.6 100 106 14.9 4.2
"20" "20" 1997-12-09 21.62 "SAS" "@" "HOU" "L" -30 1 30.4833333333333 0.514 0.4 8.8 25.8 15.7 12.5 1.7 2.7 24 23.3 88 115 9 -3.7
"21" "21" 1997-12-10 21.63 "SAS" "" "LAC" "W" 15 1 41.8666666666667 0.373 0.353 12.7 18.7 16.1 4.2 1.3 9.9 13.8 24.8 77 90 11 -4.8
"22" "22" 1997-12-13 21.64 "SAS" "" "ORL" "W" 29 1 35.5666666666667 0.75 0.75 4.8 27.8 19.3 13.8 0 1.8 0 29.4 155 83 29.7 16.4
"23" "23" 1997-12-16 21.64 "SAS" "@" "DEN" "W" 14 1 29.9833333333333 0.784 0.818 15.5 15.1 15.2 20.3 1.8 4.4 13.6 24.1 137 93 19.6 11.4
"24" "24" 1997-12-17 21.65 "SAS" "" "VAN" "W" 11 1 43.2833333333333 0.498 0.438 7.8 21.1 15.1 10.7 0 9.9 17.3 24.8 92 91 16.3 -0.2
"25" "25" 1997-12-20 21.65 "SAS" "" "HOU" "W" 13 1 40.8666666666667 0.601 0.643 7.6 21.6 13.9 18.6 0 0 0 19 134 99 18.3 5.5
"26" "26" 1997-12-23 21.66 "SAS" "" "IND" "W" 12 1 42.2666666666667 0.537 0.6 15.9 32.7 24.9 5 1.3 3.5 19.3 24 94 84 14.1 2
"27" "27" 1997-12-26 21.67 "SAS" "" "BOS" "W" 15 1 37.7 0.741 0.75 15.2 31.6 26 5.3 0 13.1 27.9 25.6 105 79 22.2 7.8
"28" "28" 1997-12-28 21.68 "SAS" "@" "POR" "L" -3 1 33.7666666666667 0.509 0.455 5.5 31.4 17.6 0 0 4.3 7.3 19 105 88 9.7 0.5
"29" "29" 1997-12-30 21.68 "SAS" "@" "VAN" "W" 9 1 39.4166666666667 0.764 0.7 11.5 15.1 13.7 4.1 1.3 3.1 21.7 23 126 123 18.4 -3.5
"30" "30" 1998-01-02 21.69 "SAS" "" "POR" "W" 16 1 34.9333333333333 0.488 0.5 11.1 37.9 26.1 5.3 1.5 4 26.8 15.8 84 69 9.1 1.9
"31" "31" 1998-01-03 21.69 "SAS" "@" "MIA" "W" 7 1 44.25 0.519 0.526 8.2 22.4 15.2 18.9 2.6 1.8 15.9 29.3 97 89 15.9 4.5
"32" "32" 1998-01-05 21.7 "SAS" "@" "ORL" "W" 5 1 40.1 0.727 0.75 8.8 19.2 14.5 14 1.4 0 22.5 22.2 114 82 16.9 8.2
"33" "33" 1998-01-07 21.7 "SAS" "" "DEN" "W" 7 1 40.7333333333333 0.601 0.643 12.1 16.7 14.8 23.9 1.4 7.7 19.4 24.2 109 99 18.9 4.8
"34" "34" 1998-01-09 21.71 "SAS" "@" "PHO" "L" -21 1 29.8166666666667 0.48 0.462 6.2 27.3 15.5 15.7 0 2.4 11.3 25.5 99 112 9.1 1.9
"35" "35" 1998-01-10 21.71 "SAS" "" "SAC" "W" 42 1 38.8833333333333 0.651 0.667 6.7 33.1 22.1 16.8 1.3 0 8.5 28.1 124 69 25.6 9.9
"36" "36" 1998-01-13 21.72 "SAS" "@" "BOS" "W" 9 1 40.3166666666667 0.388 0.333 8.3 19.6 15.4 11.2 1.3 5.7 28 20.7 70 90 5.6 -4.9
"37" "37" 1998-01-14 21.72 "SAS" "@" "WAS" "W" 10 1 42.7166666666667 0.622 0.632 18.1 25.1 22.1 21.7 0 0 15.1 30.4 117 91 23 8.7
"38" "38" 1998-01-16 21.73 "SAS" "@" "CHH" "W" 5 1 43.3 0.517 0.474 2.8 24.8 15.4 5.1 1.3 4.1 16.4 29.8 87 76 14.6 4.2
"39" "39" 1998-01-18 21.73 "SAS" "@" "MIL" "W" 6 1 48.85 0.613 0.6 10.1 13.8 12.1 12.4 1.2 3.4 23.5 20.8 102 97 16.6 3.4
"40" "40" 1998-01-19 21.74 "SAS" "@" "NJN" "L" -11 1 43.65 0.598 0.588 23 15.8 18.5 19.8 1.3 3.9 25.8 30 101 108 21.3 5.8
"41" "41" 1998-01-21 21.74 "SAS" "" "ATL" "W" 14 1 29.8166666666667 0.751 0.714 7.4 22.3 14.9 33.7 1.8 4.8 16.4 27.3 128 81 21.4 18.7
"42" "42" 1998-01-23 21.75 "SAS" "" "DAL" "W" 6 1 41.35 0.41 0.182 9.8 14.6 12.2 16.3 0 5.1 5.9 19.1 104 87 13 3.5
"43" "43" 1998-01-24 21.75 "SAS" "@" "HOU" "L" -25 1 30.9166666666667 0.545 0.5 8.4 5.3 7 21.6 0 5.1 22.5 28 93 128 8.9 -2.8
"44" "44" 1998-01-26 21.76 "SAS" "" "HOU" "W" 25 1 41.95 0.504 0.462 4.2 21.3 15.9 17.5 0 3.4 6.7 16.5 118 95 14.3 2
"45" "45" 1998-01-28 21.76 "SAS" "" "LAC" "W" 23 1 36.3166666666667 0.56 0.471 13.7 19 16.7 22 0 3.9 4.6 27.6 135 97 21.5 4.7
