"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1984-10-27 24.02 "IND" "" "WSB" "L" -2 0 10 0.434 0.25 17.8 10.4 14.4 0 0 0 0 22.3 120 107 3.5 -1.7
"2" "2" 1984-11-02 24.04 "IND" "@" "CLE" "W" 7 0 25 0.522 0.5 7.4 14 10.8 11.4 0 0 16.4 27.2 98 104 9.2 -3.2
"3" "3" 1984-11-03 24.04 "IND" "@" "NJN" "L" -1 0 13 0.5 0.5 25.2 16.4 20.7 21.4 0 0 16.7 34.8 102 113 7.1 -0.4
"4" "4" 1984-11-07 24.05 "IND" "@" "PHI" "L" -21 0 22 0.559 0.444 8.6 4.5 6.6 6.2 0 0 7.4 21 120 118 9.5 -1.7
"5" "5" 1984-11-09 24.05 "IND" "@" "MIL" "L" -17 0 25 0.853 0.833 8.3 0 4.6 20.3 0 0 33.4 22.7 116 123 10.5 2
"6" "6" 1984-11-12 24.06 "IND" "" "BOS" "L" -17 0 8 0.568 NA 0 14.3 6.7 0 5.5 0 0 4.2 122 113 1.5 -1.8
"7" "7" 1984-11-14 24.07 "IND" "" "HOU" "W" 8 0 1 NA NA 0 0 0 0 0 0 NA 0 0 113 0 -5
"8" "8" 1984-11-16 24.07 "IND" "" "SAS" "W" 11 0 6 1 1 0 0 0 0 0 10.5 50 13.1 76 105 1.4 1.6
"9" "9" 1984-11-17 24.08 "IND" "@" "ATL" "L" -10 0 6 0.665 0.5 0 0 0 45.7 0 0 21 30.2 122 117 4 10.8
"10" "10" 1984-11-23 24.09 "IND" "" "KCK" "L" -17 0 15 0.564 0.5 10.8 7.6 9.5 21.9 6 3.7 9.3 26.7 119 104 9.8 9.6
"11" "11" 1984-11-24 24.1 "IND" "@" "NYK" "L" -19 0 18 0.143 0.143 13.6 12.7 13.2 9.4 2.4 0 12.5 15.6 54 109 -1.1 -11.7
"12" "12" 1984-11-27 24.1 "IND" "" "MIL" "W" 21 0 7 0 0 15.2 0 6.5 40.3 0 0 0 5.3 131 108 1.7 4.6
"13" "13" 1984-11-28 24.11 "IND" "@" "PHI" "L" -21 0 19 0.333 0.333 5 25.3 15 17.2 0 0 25 24.2 61 107 0.3 -12.1
"14" "14" 1984-11-30 24.11 "IND" "@" "NJN" "L" -23 0 13 0.347 0 17.2 10.5 14.2 9 0 4.3 25.8 12.1 88 122 1.9 -2.4
"15" "15" 1984-12-01 24.12 "IND" "" "DET" "L" -22 0 5 0.5 0.5 20.9 0 11.3 30.6 0 0 33.3 21.9 90 127 0.6 -8
"16" "16" 1984-12-14 24.15 "IND" "@" "DET" "L" -24 0 19 0.169 0.125 5.4 5.4 5.4 19.7 2.2 0 25.3 24.4 42 108 -3.5 -16.3
"17" "17" 1984-12-21 24.17 "IND" "@" "BOS" "L" -10 0 8 0.581 0.667 14.6 13 13.8 0 0 0 22.5 21.1 92 109 1.9 -4.6
"18" "18" 1984-12-22 24.17 "IND" "" "CLE" "L" -3 0 7 0.615 0.5 0 15.2 7.1 0 0 0 0 27.3 140 110 4.3 6.3
"19" "19" 1984-12-26 24.18 "IND" "@" "WSB" "L" -25 1 29 0.418 0.333 0 17.9 7.2 10 0 2.4 15.7 16 88 108 2.8 -5.5
"20" "20" 1984-12-28 24.19 "IND" "" "DET" "L" -6 1 31 0.679 0.667 0 2.9 1.5 17.8 1.4 1.6 19.3 18.8 116 113 12.5 4.3
"21" "21" 1984-12-29 24.19 "IND" "@" "KCK" "W" 8 1 19 0.678 0.5 5.7 10.8 8.3 13.3 2.3 3 37.6 21.2 95 106 5.4 -3.7
"22" "22" 1985-01-01 24.2 "IND" "@" "UTA" "W" 2 1 13 0.316 0.2 7.2 7.5 7.4 17.1 0 0 32.2 27 61 112 -0.9 -16.3
"23" "23" 1985-01-03 24.21 "IND" "@" "GSW" "W" 16 1 9 0.2 0.2 15.2 10.3 12.3 39.3 0 0 16.7 27.7 72 98 0.6 -9.2
"24" "24" 1985-01-05 24.21 "IND" "@" "SEA" "L" -7 1 7 0 0 14 17.1 15.4 35.2 0 0 0 28.5 32 105 -1.1 -15.7
"25" "25" 1985-01-06 24.21 "IND" "@" "POR" "L" -17 0 8 0.25 0.25 23.1 12.5 18 16.2 0 0 0 18.5 91 118 2 -3.2
"26" "26" 1985-01-11 24.23 "IND" "@" "DET" "L" -11 0 9 0.6 0.6 11.1 12.1 11.6 0 0 0 0 21.2 121 114 4.3 0.6
"27" "27" 1985-01-15 24.24 "IND" "" "ATL" "L" -7 0 5 NA NA 0 28.2 13 0 0 0 NA 0 0 121 -0.5 -13.6
"28" "28" 1985-01-21 24.25 "IND" "" "GSW" "W" 2 0 3 1 1 0 35.8 16.1 0 15.9 20.1 0 39.4 200 54 7.1 79.7
"29" "29" 1985-01-23 24.26 "IND" "" "POR" "L" -32 0 14 0.342 0.333 6.9 22.4 14.3 55.4 0 0 12 23.2 90 124 4.4 0.4
"30" "30" 1985-01-25 24.27 "IND" "@" "BOS" "L" -31 0 10 0.51 0.4 19.2 26.7 22.3 0 0 0 14.5 26.2 101 117 3.9 -1.8
"31" "31" 1985-01-26 24.27 "IND" "@" "NYK" "L" -3 0 10 0.725 0 0 0 0 14.1 4.5 0 42 19.4 95 98 1.4 -4.7
"32" "32" 1985-01-30 24.28 "IND" "" "CLE" "W" 5 0 4 0 0 33.3 27.9 30.4 0 0 0 33.3 32.1 28 119 -1.8 -38.9
"33" "33" 1985-02-12 24.32 "IND" "" "PHI" "L" -8 0 6 0 0 0 0 0 0 0 0 0 6.2 0 119 -1.1 -14.1
"34" "34" 1985-02-14 24.32 "IND" "" "MIL" "L" -4 0 8 0 0 0 37.5 20.7 0 0 0 0 21 0 109 -1.9 -21.6
"35" "35" 1985-02-15 24.32 "IND" "@" "CHI" "W" 18 0 3 1.064 1 0 0 0 0 0 0 0 26.6 230 104 3.7 25.7
"36" "36" 1985-02-17 24.33 "IND" "" "PHO" "L" -18 0 7 0.568 NA 0 16.7 7.3 20.8 0 0 69.4 17.3 44 115 -1.2 -18.2
"37" "37" 1985-02-24 24.35 "IND" "" "BOS" "L" -13 0 8 0 0 0 11.1 6.1 15.4 0 0 0 10.2 23 107 -0.8 -11.5
"38" "38" 1985-02-27 24.36 "IND" "" "NYK" "W" 2 0 16 0.717 0.75 12.5 12.2 12.4 8.8 5.9 0 17 14.8 126 98 7.5 5.4
"39" "39" 1985-03-02 24.36 "IND" "" "SEA" "L" -14 0 19 0.532 0.5 5 6.2 5.5 6.7 2.5 0 21 10.2 99 108 3.5 -3.3
"40" "40" 1985-03-08 24.38 "IND" "@" "HOU" "L" -20 0 12 0.363 0.333 0 9.5 4.7 37.5 3.5 0 22.5 28 74 108 2.2 -3
"41" "41" 1985-03-09 24.38 "IND" "@" "DEN" "L" -10 0 18 0.463 0.455 14.8 26 20.8 7.7 0 0 7.8 26.5 103 113 5.2 -7.9
"42" "42" 1985-03-11 24.39 "IND" "@" "CLE" "L" -12 0 5 0.333 0.333 0 26.7 13 26.4 0 0 0 26.3 86 125 0.5 -13.2
"43" "43" 1985-03-14 24.4 "IND" "" "LAC" "L" -1 0 12 0.727 0.667 0 29.3 12.6 20 3.8 0 53.8 22.8 69 101 2.2 -6.1
"44" "44" 1985-03-16 24.4 "IND" "@" "NYK" "L" -2 0 11 0.667 0.667 10.4 0 5.7 12 0 0 25 14.9 108 120 2.3 -5.5
"45" "45" 1985-03-17 24.41 "IND" "@" "NJN" "L" -24 0 22 0.556 0.556 5.5 0 2.8 7.3 1.9 0 30.8 22.4 77 115 2.9 -7
"46" "46" 1985-03-20 24.41 "IND" "" "DEN" "L" -4 0 3 0 0 35.6 0 17.2 0 0 0 0 12.9 66 118 0 -12
"47" "47" 1985-03-22 24.42 "IND" "" "NYK" "L" -5 0 7 0.5 0.5 13.4 0 7.1 0 0 0 50 21.8 58 117 -0.7 -16.5
"48" "48" 1985-03-23 24.42 "IND" "@" "MIL" "L" -11 0 14 0.125 0.125 0 23.9 11.6 26.7 3 0 0 20.9 54 118 -0.4 -11.3
"49" "49" 1985-03-26 24.43 "IND" "@" "CHI" "L" -1 0 12 0.515 0.667 11.4 0 5.5 24.2 0 0 34 21.6 82 129 1.2 -10.8
"50" "50" 1985-03-27 24.43 "IND" "" "ATL" "L" -26 0 19 0.338 0.25 10.1 0 5.9 17.5 2.6 0 10.1 21.6 88 130 3.6 -5.2
"51" "51" 1985-03-30 24.44 "IND" "@" "CLE" "L" -23 0 20 0.202 0.111 0 13.3 6 8.1 0 0 9.2 20.9 51 114 -2.8 -16.4
"52" "52" 1985-03-31 24.44 "IND" "" "WSB" "L" -6 1 23 0.46 0.4 0 0 0 6.4 0 0 21.6 23.7 80 116 1.5 -9.8
"53" "53" 1985-04-02 24.45 "IND" "" "DET" "L" -3 1 12 0.75 0.75 19.5 16.3 17.8 25 3.9 4.2 0 13.7 167 109 9.5 19.4
"54" "54" 1985-04-03 24.45 "IND" "@" "BOS" "L" -16 0 26 0.506 0.444 0 11.5 6.2 16.5 1.7 0 9.2 16.7 101 110 7.9 -0.3
"55" "55" 1985-04-06 24.46 "IND" "" "PHI" "W" 4 0 18 0.635 0.571 0 0 0 7.3 0 0 0 17.3 142 118 6.6 -2.1
"56" "56" 1985-04-08 24.47 "IND" "" "CHI" "W" 4 0 14 0.515 0.667 0 0 0 9.8 0 0 34 16.1 64 104 -1 -13.2
"57" "57" 1985-04-10 24.47 "IND" "@" "DET" "L" -2 0 11 0.798 1 0 9.1 4.8 11 0 0 72.7 22.5 42 107 -2.1 -17.1
"58" "58" 1985-04-12 24.48 "IND" "@" "PHI" "L" -6 0 16 0.75 0.75 6.7 5.9 6.3 0 0 6.5 0 9.9 153 110 6 4.1
"59" "59" 1985-04-13 24.48 "IND" "@" "ATL" "L" -5 0 16 0.667 0.667 0 34.1 18.1 29.3 3 0 40 12.6 101 111 5.2 3.1
"1" "1" 1985-10-25 25.01 "PHO" "@" "POR" "L" -5 0 14 0 NA 7.1 20.6 14 16.1 3.2 0 69.4 7.4 38 102 0.8 -4
"2" "2" 1985-10-29 25.02 "PHO" "" "DEN" "L" -15 0 18 0.414 0.4 0 9.9 5.6 8 2 0 15.5 23 78 109 1.9 -9.3
"3" "3" 1985-10-31 25.03 "PHO" "" "LAL" "L" -37 0 17 0.364 0.364 5.3 7.4 6.2 17.3 2.3 0 0 21 92 119 3.7 -4
"4" "4" 1985-11-01 25.03 "PHO" "@" "UTA" "L" -11 0 2 NA NA 0 0 0 0 0 0 NA 0 0 108 -0.4 -11
