"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2019-10-23 21.62 "BOS" "@" "PHI" "L" -14 0 11.4166666666667 0.3 0.3 7 0 4.1 0 0 0 0 18.3 71 113 0.6 -3.7
"2" "" 2019-10-25 21.62 "BOS" "" "TOR" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "2" 2019-10-26 21.62 "BOS" "@" "NYK" "W" 23 0 22.3166666666667 0.392 0.318 4.1 0 2.1 18.2 4.2 0 0 23.3 102 98 7.1 -1.8
"4" "3" 2019-10-30 21.64 "BOS" "" "MIL" "W" 11 0 3.65 0.568 NA 0 0 0 0 0 0 0 10.5 124 109 0.6 -2.4
"5" "4" 2019-11-01 21.64 "BOS" "" "NYK" "W" 2 0 14.1833333333333 0.167 0.167 0 23.7 14.2 11.4 0 0 0 20.2 43 104 -0.3 -15.6
"6" "5" 2019-11-05 21.65 "BOS" "@" "CLE" "W" 6 0 14.7166666666667 1.083 1.083 0 6.3 3.7 10.3 0 5.3 0 18.5 205 117 11.7 18.6
"7" "6" 2019-11-07 21.66 "BOS" "@" "CHO" "W" 21 0 11.5833333333333 0 0 0 24.9 12.3 10.4 0 7.5 25 14.4 15 84 -0.8 -10.9
"8" "7" 2019-11-09 21.66 "BOS" "@" "SAS" "W" 20 0 3.15 1.136 NA 0 26.7 15.2 0 0 0 43.1 30.9 133 109 1.9 -5.6
"9" "8" 2019-11-11 21.67 "BOS" "" "DAL" "W" 10 0 5.13333333333333 0 0 0 38.2 20.3 22.8 0 0 0 8.8 62 108 -0.2 -10.8
"10" "9" 2019-11-13 21.67 "BOS" "" "WAS" "W" 7 0 20.4833333333333 0.75 0.75 6.3 16.3 11.7 21.6 2.2 0 7.7 25.4 143 126 15.3 10.5
"11" "10" 2019-11-15 21.68 "BOS" "@" "GSW" "W" 5 0 12.7 0 0 0 15.7 7.4 20.4 0 0 0 13.1 30 104 -1.2 -13.6
"12" "11" 2019-11-17 21.68 "BOS" "@" "SAC" "L" -1 0 14.8 0.5 0.5 0 7.1 3.6 10.5 0 0 25 12.2 79 114 0.5 -7.3
"13" "12" 2019-11-18 21.69 "BOS" "@" "PHO" "W" 14 0 10.65 0.34 0.2 0 9.2 4.6 0 4.6 0 0 23.4 78 85 2.2 -3.9
"14" "" 2019-11-20 21.69 "BOS" "@" "LAC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "13" 2019-11-22 21.7 "BOS" "@" "DEN" "L" -4 0 6.65 0.375 0.375 0 15.7 8.2 0 0 0 0 28.3 71 106 0.9 -6.4
"16" "14" 2019-11-25 21.71 "BOS" "" "SAC" "W" 1 0 13.2166666666667 0.6 0.6 18.6 20.8 19.6 0 0 0 28.6 24 94 119 2.5 -6.2
"17" "15" 2019-11-27 21.71 "BOS" "" "BRK" "W" 11 0 7.38333333333333 0 0 0 13.8 7 15.1 0 0 25 21.4 19 119 -2.1 -24.8
"18" "16" 2019-11-29 21.72 "BOS" "@" "BRK" "L" -5 0 13.6 0.3 0.3 0 31.4 14.6 18.8 6.9 0 16.7 17.5 73 95 3.5 2.3
"19" "17" 2019-12-01 21.72 "BOS" "@" "NYK" "W" 9 0 6.68333333333333 0 0 0 20 8.7 0 0 0 0 12.4 0 111 -2.3 -26.6
"20" "18" 2019-12-04 21.73 "BOS" "" "MIA" "W" 19 0 17.85 0.644 0.5 0 0 0 8.3 2.9 0 20.5 12.7 113 104 3.6 -0.7
"21" "19" 2019-12-06 21.74 "BOS" "" "DEN" "W" 13 0 9.51666666666667 0.5 0.5 0 22.4 12.9 0 0 0 50 20.1 45 101 -1.2 -16.5
"22" "20" 2019-12-09 21.75 "BOS" "" "CLE" "W" 22 0 8.4 0.75 0.75 0 11 6.8 0 0 0 33.3 17.2 88 98 0.9 -5.8
"23" "21" 2019-12-11 21.75 "BOS" "@" "IND" "L" -5 0 8.06666666666667 0.75 0.75 0 14.5 7.4 0 0 0 0 10.7 142 123 2.3 2
"24" "" 2019-12-12 21.75 "BOS" "" "PHI" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2019-12-18 21.77 "BOS" "@" "DAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2019-12-20 21.78 "BOS" "" "DET" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2019-12-22 21.78 "BOS" "" "CHO" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "22" 2019-12-25 21.79 "BOS" "@" "TOR" "W" 16 0 2.98333333333333 NA NA 0 41.3 20.4 0 16.2 0 NA 0 0 67 1.3 19.2
"29" "23" 2019-12-27 21.79 "BOS" "" "CLE" "W" 12 0 4.91666666666667 0 0 0 0 0 0 0 0 50 17.1 0 123 -2.1 -29.7
"30" "24" 2019-12-28 21.8 "BOS" "" "TOR" "L" -16 0 1.88333333333333 0 0 0 0 0 0 0 0 0 23.6 0 126 -0.7 -27.4
"31" "" 2019-12-31 21.81 "BOS" "@" "CHO" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2020-01-03 21.81 "BOS" "" "ATL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2020-01-04 21.82 "BOS" "@" "CHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "25" 2020-01-06 21.82 "BOS" "@" "WAS" "L" -5 0 6.08333333333333 0 0 0 34.3 15.5 23.9 0 0 0 12.9 26 101 -0.1 -9.7
"35" "26" 2020-01-08 21.83 "BOS" "" "SAS" "L" -15 0 5.43333333333333 0.75 0.75 0 0 0 31.4 0 0 0 15.1 152 129 2.3 7.2
"36" "" 2020-01-09 21.83 "BOS" "@" "PHI" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "27" 2020-01-11 21.84 "BOS" "" "NOP" "W" 35 0 9.11666666666667 0.2 0.2 0 0 0 10.6 5 0 0 22.3 60 101 0.6 -11.8
"38" "" 2020-01-13 21.84 "BOS" "" "CHI" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2020-01-15 21.85 "BOS" "" "DET" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2020-01-16 21.85 "BOS" "@" "MIL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2020-01-18 21.85 "BOS" "" "PHO" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2020-01-20 21.86 "BOS" "" "LAL" "W" 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "28" 2020-01-22 21.87 "BOS" "" "MEM" "W" 24 0 12 0.7 0.7 0 10 4.8 24.2 4.1 0 28.6 26.2 99 97 5.4 3
"44" "" 2020-01-24 21.87 "BOS" "@" "ORL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
