"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2012-10-31 24.1 "DET" "" "HOU" "L" -9 0 13.7833333333333 0.667 0.667 0 0 0 42.6 7.4 0 14.3 22.9 122 105 7.7 15.1
"2" "2" 2012-11-02 24.11 "DET" "@" "PHO" "L" -3 0 15.6333333333333 0 0 0 7 3.4 16.6 3.3 0 0 8.6 32 98 0.6 -4.8
"3" "3" 2012-11-04 24.11 "DET" "@" "LAL" "L" -29 0 20.3666666666667 0.68 0.6 0 6.5 3 0 0 4.3 25.4 17.7 99 128 3.1 -3.2
"4" "4" 2012-11-06 24.12 "DET" "@" "DEN" "L" -12 0 9.36666666666667 1.5 1.5 0 0 0 0 0 8.3 33.3 15.1 102 125 3.9 10
"5" "5" 2012-11-07 24.12 "DET" "@" "SAC" "L" -2 0 10.3833333333333 0.333 0.333 12.2 25 18.5 14.7 0 0 0 13.4 104 116 1.9 -6.7
"6" "6" 2012-11-09 24.13 "DET" "@" "OKC" "L" -11 0 8.86666666666667 0 0 0 0 0 15 0 0 0 9.7 31 125 -0.7 -12.8
"7" "" 2012-11-10 24.13 "DET" "@" "HOU" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2012-11-12 24.13 "DET" "" "OKC" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "7" 2012-11-14 24.14 "DET" "@" "PHI" "W" 18 0 1.31666666666667 NA NA 0 0 0 0 0 0 NA 0 0 97 0 -5.6
"10" "" 2012-11-16 24.15 "DET" "" "ORL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2012-11-18 24.15 "DET" "" "BOS" "W" 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "8" 2012-11-21 24.16 "DET" "@" "ORL" "L" -16 0 3.66666666666667 0.833 0.833 0 0 0 0 0 0 0 36.1 148 103 3.7 34.2
"13" "" 2012-11-23 24.16 "DET" "" "TOR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "9" 2012-11-25 24.17 "DET" "@" "NYK" "L" -21 0 4.03333333333333 0 0 0 0 0 0 0 0 0 22.3 0 140 -1.4 -29.3
"15" "" 2012-11-26 24.17 "DET" "" "POR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "10" 2012-11-28 24.18 "DET" "" "PHO" "W" 40 0 5 0.5 0.5 0 0 0 0 0 0 0 27.9 98 95 0.9 -8.7
"17" "" 2012-11-30 24.18 "DET" "@" "MEM" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2012-12-01 24.19 "DET" "@" "DAL" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2012-12-03 24.19 "DET" "" "CLE" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2012-12-05 24.2 "DET" "" "GSW" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2012-12-07 24.2 "DET" "" "CHI" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2012-12-08 24.21 "DET" "@" "CLE" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2012-12-10 24.21 "DET" "@" "PHI" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2012-12-11 24.21 "DET" "" "DEN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
