"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 1997-01-23 23.36 "ORL" "" "MIL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 1997-01-24 23.36 "ORL" "@" "BOS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 1997-01-28 23.38 "ORL" "@" "WSB" "L" -20 0 4.53333333333333 0 0 0 0 0 29.1 0 0 50 18.1 23 116 -1.4 -20.7
"4" "" 1997-01-29 23.38 "ORL" "" "PHO" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "2" 1997-01-31 23.38 "ORL" "@" "PHI" "W" 10 0 2.41666666666667 0 0 0 42.1 19.3 0 0 0 0 27.8 0 101 -1.1 -36.5
"6" "3" 1997-02-02 23.39 "ORL" "" "HOU" "W" 13 0 2.8 0.667 0.667 0 36.4 17.6 100 0 0 25 57.7 92 93 2.7 14.4
"7" "4" 1997-02-04 23.39 "ORL" "" "IND" "W" 24 0 2.81666666666667 1.5 1.5 0 36.4 19.5 57.1 0 0 0 15 275 92 3.7 51.9
"8" "" 1997-02-06 23.4 "ORL" "" "BOS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 1997-02-11 23.41 "ORL" "" "NJN" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 1997-02-12 23.42 "ORL" "@" "DET" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 1997-02-14 23.42 "ORL" "@" "MIN" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "5" 1997-02-16 23.43 "ORL" "@" "CHI" "L" -21 0 0.55 NA NA 0 0 0 0 0 0 NA 0 0 137 0 -7.4
"13" "" 1997-02-17 23.43 "ORL" "@" "CHH" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 1997-02-19 23.44 "ORL" "" "POR" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "6" 1997-02-21 23.44 "ORL" "" "DEN" "W" 13 0 0.95 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -8.9
"16" "" 1997-02-23 23.45 "ORL" "@" "IND" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 1997-02-24 23.45 "ORL" "" "DET" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 1997-02-26 23.45 "ORL" "" "MIA" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "7" 1997-02-28 23.46 "ORL" "" "SAS" "W" 21 0 2.83333333333333 0.75 0.75 0 0 0 0 0 0 0 32.7 145 100 2 18.9
"20" "" 1997-03-02 23.47 "ORL" "" "SEA" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 1997-03-04 23.47 "ORL" "@" "SEA" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 1997-03-06 23.48 "ORL" "@" "LAC" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 1997-03-07 23.48 "ORL" "@" "GSW" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "8" 1997-03-09 23.48 "ORL" "@" "PHO" "L" -36 0 3.41666666666667 0 0 0 0 0 0 0 0 0 44.6 0 140 -2.1 -39.6
"25" "" 1997-03-11 23.49 "ORL" "@" "DEN" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 1997-03-12 23.49 "ORL" "@" "HOU" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 1997-03-14 23.5 "ORL" "" "CHH" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 1997-03-16 23.5 "ORL" "" "VAN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 1997-03-17 23.51 "ORL" "@" "ATL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 1997-03-20 23.52 "ORL" "" "GSW" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 1997-03-21 23.52 "ORL" "@" "BOS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "9" 1997-03-23 23.52 "ORL" "" "LAL" "W" 26 0 1.88333333333333 1.5 1.5 0 0 0 100 0 0 0 23 282 103 3.4 76.3
"33" "10" 1997-03-25 23.53 "ORL" "" "SAC" "W" 11 0 1.01666666666667 NA NA 0 0 0 0 0 0 NA 0 0 131 0 -6.6
"34" "" 1997-03-27 23.53 "ORL" "@" "SAS" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
