"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1950-11-01 22.36 "FTW" "" "BOS" "W" 23 NA NA 0.63 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1950-11-02 22.36 "FTW" "@" "SYR" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1950-11-04 22.36 "FTW" "@" "ROC" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1950-11-05 22.37 "FTW" "" "INO" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1950-11-08 22.38 "FTW" "" "TRI" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1950-11-09 22.38 "FTW" "@" "PHW" "L" -15 NA NA 0.385 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1950-11-11 22.38 "FTW" "@" "BLB" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1950-11-12 22.39 "FTW" "" "WSC" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1950-11-15 22.39 "FTW" "" "ROC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1950-11-18 22.4 "FTW" "@" "WSC" "L" -43 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1950-11-19 22.41 "FTW" "" "BLB" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1950-11-22 22.41 "FTW" "@" "MNL" "W" 1 NA NA 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1950-11-23 22.42 "FTW" "" "MNL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1950-11-25 22.42 "FTW" "@" "TRI" "L" -14 NA NA 0.382 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1950-11-26 22.42 "FTW" "" "INO" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1950-11-28 22.43 "FTW" "@" "INO" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1950-12-03 22.44 "FTW" "" "ROC" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1950-12-06 22.45 "FTW" "" "PHW" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1950-12-07 22.45 "FTW" "@" "TRI" "W" 1 NA NA 0.56 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1950-12-10 22.46 "FTW" "" "WSC" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1950-12-12 22.47 "FTW" "@" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1950-12-14 22.47 "FTW" "@" "PHW" "L" -12 NA NA 0.247 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1950-12-16 22.48 "FTW" "@" "NYK" "L" -9 NA NA 0.52 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1950-12-17 22.48 "FTW" "" "TRI" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1950-12-19 22.49 "FTW" "@" "INO" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1950-12-21 22.49 "FTW" "" "SYR" "W" 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1950-12-23 22.5 "FTW" "@" "ROC" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1950-12-25 22.5 "FTW" "@" "SYR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1950-12-27 22.51 "FTW" "" "ROC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1950-12-31 22.52 "FTW" "@" "TRI" "L" -10 NA NA 0.149 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1951-01-01 22.52 "FTW" "" "MNL" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1951-01-03 22.53 "FTW" "@" "MNL" "L" -22 NA NA 0.645 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1951-01-04 22.53 "FTW" "" "INO" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1951-01-06 22.54 "FTW" "@" "WSC" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1951-01-07 22.54 "FTW" "" "NYK" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1951-01-08 22.54 "FTW" "" "NYK" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1951-01-11 22.55 "FTW" "" "SYR" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1951-01-12 22.55 "FTW" "@" "INO" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1951-01-13 22.56 "FTW" "@" "ROC" "L" -21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1951-01-14 22.56 "FTW" "" "TRI" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1951-01-20 22.58 "FTW" "" "MNL" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1951-01-21 22.58 "FTW" "" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1951-01-25 22.59 "FTW" "@" "BOS" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1951-01-27 22.59 "FTW" "@" "BLB" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1951-01-28 22.6 "FTW" "" "ROC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1951-01-31 22.61 "FTW" "" "PHW" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1951-02-01 22.61 "FTW" "@" "TRI" "L" -7 NA NA 0.498 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1951-02-04 22.62 "FTW" "" "BLB" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1951-02-07 22.62 "FTW" "" "MNL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1951-02-10 22.63 "FTW" "@" "NYK" "L" -11 NA NA 0.252 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1951-02-11 22.64 "FTW" "" "NYK" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1951-02-13 22.64 "FTW" "@" "INO" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1951-02-14 22.64 "FTW" "" "SYR" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1951-02-17 22.65 "FTW" "@" "BLB" "L" -21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1951-02-18 22.65 "FTW" "" "PHW" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1951-02-24 22.67 "FTW" "@" "MNL" "L" -17 NA NA 0.253 NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1951-02-25 22.67 "FTW" "" "BLB" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1951-02-28 22.68 "FTW" "" "MNL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1951-03-01 22.68 "FTW" "@" "SYR" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1951-03-03 22.69 "FTW" "@" "ROC" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1951-03-04 22.69 "FTW" "" "NYK" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1951-03-06 22.7 "FTW" "@" "TRI" "L" -2 NA NA 0.376 NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "63" 1951-03-07 22.7 "FTW" "" "BOS" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1951-03-11 22.71 "FTW" "" "TRI" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "65" 1951-03-14 22.72 "FTW" "" "INO" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1951-03-15 22.72 "FTW" "@" "PHW" "L" -10 NA NA 0.509 NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "67" 1951-03-16 22.73 "FTW" "@" "BOS" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1951-03-18 22.73 "FTW" "" "TRI" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1951-11-01 23.36 "FTW" "@" "SYR" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1951-11-03 23.36 "FTW" "@" "PHW" "L" -1 NA NA 0.12 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1951-11-04 23.36 "FTW" "" "NYK" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1951-11-06 23.37 "FTW" "@" "MLH" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1951-11-09 23.38 "FTW" "@" "INO" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1951-11-11 23.38 "FTW" "" "MLH" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1951-11-14 23.39 "FTW" "@" "BOS" "L" -7 NA 30 0.322 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1951-11-17 23.4 "FTW" "@" "MNL" "L" -4 NA NA 0.672 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1951-11-18 23.4 "FTW" "" "ROC" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1951-11-22 23.41 "FTW" "" "SYR" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1951-11-24 23.42 "FTW" "@" "ROC" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1951-11-25 23.42 "FTW" "" "BLB" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1951-11-29 23.43 "FTW" "@" "SYR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1951-12-01 23.44 "FTW" "@" "MNL" "L" -20 NA NA 0.493 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1951-12-02 23.44 "FTW" "" "MNL" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1951-12-05 23.45 "FTW" "@" "BOS" "W" 3 NA 39 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1951-12-08 23.46 "FTW" "@" "MLH" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1951-12-09 23.46 "FTW" "" "ROC" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1951-12-11 23.47 "FTW" "" "SYR" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1951-12-14 23.47 "FTW" "@" "PHW" "L" -10 NA NA 0.419 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1951-12-15 23.48 "FTW" "@" "BLB" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
