"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1997-10-31 22.65 "GSW" "@" "MIN" "L" -16 0 9.23333333333333 NA NA 9.4 28.1 16.8 0 0 13.3 NA 0 206 119 2.3 -2
"2" "2" 1997-11-01 22.65 "GSW" "@" "IND" "L" -13 0 10.6833333333333 0.5 0.5 7.8 17.1 12.2 0 4.5 0 33.3 22.2 71 92 1.5 -5.8
"3" "3" 1997-11-04 22.66 "GSW" "@" "TOR" "L" -18 0 9.15 0.362 0 0 11.9 5.3 15.2 0 0 26.6 15.9 68 107 0.1 -7.9
"4" "4" 1997-11-05 22.66 "GSW" "@" "NJN" "L" -16 0 12.2833333333333 1 1 0 24 12 0 0 9.9 0 3.4 200 101 2 -1.4
"5" "5" 1997-11-08 22.67 "GSW" "" "MIN" "L" -7 0 18.4 0.441 0.375 17.2 11.3 14.7 0 0 6.9 8.9 24 104 100 6.8 1.2
"6" "6" 1997-11-09 22.67 "GSW" "@" "LAL" "L" -35 0 16.35 0.078 0 19.4 16.7 18.4 14.6 2.9 0 7.3 32.1 40 124 -2.9 -21.1
"7" "7" 1997-11-12 22.68 "GSW" "" "DET" "L" -31 0 12.2333333333333 0.45 0.5 8 11.8 9.5 0 0 5.9 31.1 25.2 61 115 0.1 -13.7
"8" "8" 1997-11-15 22.69 "GSW" "" "POR" "L" -12 0 7.78333333333333 0.667 0.667 13 12.8 12.9 0 12.8 8.7 25 23.4 95 79 5.4 14.4
"9" "9" 1997-11-19 22.7 "GSW" "@" "SAS" "L" -21 0 11.1666666666667 0.25 0.25 17.5 45.9 29.8 0 4.7 0 20 19.9 60 102 1.4 -12.2
"10" "" 1997-11-20 22.7 "GSW" "@" "DAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "10" 1997-11-22 22.71 "GSW" "@" "HOU" "L" -6 0 9.71666666666667 1 1 9.2 18.8 14 0 0 7.5 50 8.6 93 96 1.9 -4.4
"12" "" 1997-11-25 22.72 "GSW" "" "NJN" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "11" 1997-11-28 22.72 "GSW" "@" "UTA" "L" -29 0 7.13333333333333 0 0 0 21.4 7.7 0 7 0 0 17.9 0 103 -0.8 -14.1
"14" "" 1997-11-29 22.73 "GSW" "" "HOU" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "12" 1997-12-03 22.74 "GSW" "" "CLE" "L" -28 0 1.45 0 0 0 0 0 0 0 0 0 46.1 0 110 -1.1 -41.4
"16" "" 1997-12-05 22.74 "GSW" "" "ORL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 1997-12-07 22.75 "GSW" "@" "SAC" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
