"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1967-10-28 22.58 "NYK" "" "DET" "L" -13 NA 34 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1967-10-31 22.59 "NYK" "@" "SFW" "L" -5 NA 14 0.073 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1967-11-01 22.59 "NYK" "@" "LAL" "W" 16 NA NA 0.752 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1967-11-03 22.6 "NYK" "@" "SEA" "W" 34 NA 21 0.761 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1967-11-04 22.6 "NYK" "@" "SDR" "W" 4 NA 12 0.727 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1967-11-05 22.61 "NYK" "@" "SDR" "W" 8 NA 18 0.541 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1967-11-08 22.61 "NYK" "@" "DET" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1967-11-09 22.62 "NYK" "" "CIN" "W" 17 NA NA 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1967-11-11 22.62 "NYK" "" "BOS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1967-11-14 22.63 "NYK" "" "SDR" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1967-11-15 22.63 "NYK" "" "SDR" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1967-11-18 22.64 "NYK" "" "BAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1967-11-21 22.65 "NYK" "" "CHI" "W" 2 NA 27 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
