"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2002-10-30 24.74 "MIL" "@" "PHI" "L" -2 1 24.5833333333333 0.532 0 14.4 10.9 12.4 6 0 5.6 51.5 7.1 95 103 3.6 -3.1
"2" "2" 2002-11-02 24.75 "MIL" "" "ORL" "L" -10 1 18.35 1.064 1 6.1 18.6 12.3 17 9 17.8 61.5 12.1 89 85 8.7 13.2
"3" "3" 2002-11-04 24.75 "MIL" "@" "NYK" "W" 9 1 22.9833333333333 0.735 0.8 16.5 31.8 24.8 0 2.3 8.7 26.9 15.6 112 85 9.8 5.2
"4" "4" 2002-11-06 24.76 "MIL" "" "NJN" "W" 6 1 21.4333333333333 0.625 0.625 19.6 34.8 28.2 0 0 0 20 24.3 106 105 7.4 -6.3
"5" "5" 2002-11-07 24.76 "MIL" "@" "MIN" "L" -4 1 22.2833333333333 0.41 0.5 9.9 10.4 10.1 0 0 0 0 9.7 102 120 1.2 -9.7
"6" "6" 2002-11-09 24.77 "MIL" "" "PHI" "W" 5 1 16.5166666666667 0 0 0 21.6 12.4 0 0 7.3 0 3.1 0 104 0.8 -2.9
"7" "7" 2002-11-13 24.78 "MIL" "" "CHI" "W" 7 1 14 0.571 0.571 16.3 36.1 25.7 0 0 5.4 0 25 126 106 7 -3
"8" "8" 2002-11-15 24.78 "MIL" "@" "IND" "L" -3 1 17.7 0.347 0.25 7 13.7 10.4 8.6 0 8 0 15.6 89 99 3 -1.8
"9" "9" 2002-11-16 24.79 "MIL" "" "BOS" "W" 19 1 18.9 0.592 0.6 18 35.3 26.7 0 2.7 15.2 0 15.7 137 77 11.1 9.1
"10" "10" 2002-11-19 24.79 "MIL" "" "MIA" "L" -4 1 14 0.307 0.25 0 34.3 15.2 11.2 0 0 0 15.8 77 105 0.9 -7.4
"11" "11" 2002-11-22 24.8 "MIL" "@" "GSW" "W" 4 1 16.8166666666667 0.644 0.667 11.5 32.1 21.3 0 3.3 11.8 20.5 13.1 114 87 5.2 1.4
"12" "12" 2002-11-24 24.81 "MIL" "@" "LAL" "L" -12 0 26.1666666666667 0.541 0.571 14.5 8 11.4 0 5.9 0 0 14 125 112 8.9 -1.7
"13" "13" 2002-11-25 24.81 "MIL" "@" "PHO" "L" -5 1 24.3166666666667 NA NA 0 7.4 4.2 6.9 0 7.5 100 2.1 35 97 2 0.8
"14" "14" 2002-11-27 24.82 "MIL" "" "CLE" "W" 32 1 11.9166666666667 0 0 0 0 0 0 4.6 5.2 50 7.5 0 91 -2.4 -17.1
"15" "15" 2002-11-29 24.82 "MIL" "@" "DET" "L" -5 1 29.6 0.732 0.667 9.7 28.4 17.3 0 0 6.4 0 12.8 162 107 13.9 7
"16" "16" 2002-11-30 24.82 "MIL" "" "DET" "W" 23 1 26.0666666666667 0.872 1 15.8 16.4 16.2 0 0 5.7 0 13 173 100 12.1 5.6
