"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 20.49 "SAC" "" "UTA" "L" -6 0 9.63333333333333 0.5 0.5 0 13.5 6.2 11.3 0 0 33.3 13.4 77 120 -0.6 -12.2
"2" "2" 2018-10-19 20.49 "SAC" "@" "NOP" "L" -20 0 18.6666666666667 0.274 0.273 5.2 18.4 11.3 6.1 0 0 13.6 31.5 58 134 -2.8 -25.4
"3" "3" 2018-10-21 20.5 "SAC" "@" "OKC" "W" 11 0 16.7666666666667 0.4 0.4 6.4 27.5 17.7 14.9 2.6 8.8 9.1 26.2 91 98 6 -3.8
"4" "4" 2018-10-23 20.5 "SAC" "@" "DEN" "L" -14 0 14.2166666666667 0 0 7.9 7.5 7.7 7.5 3.4 0 12.7 24 21 124 -4.9 -29.5
"5" "5" 2018-10-24 20.51 "SAC" "" "MEM" "W" 5 0 6.68333333333333 1 1 0 26.1 13.6 0 0 0 80 32.2 26 94 -2.1 -28.9
"6" "6" 2018-10-26 20.51 "SAC" "" "WAS" "W" 4 0 3.8 1.042 1 24.8 28.7 26.6 0 0 0 41 25 121 105 2.3 -1.1
"7" "" 2018-10-29 20.52 "SAC" "@" "MIA" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2018-10-30 20.52 "SAC" "@" "ORL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "7" 2018-11-01 20.53 "SAC" "@" "ATL" "W" 31 0 5.48333333333333 0.667 0.667 20.4 38.1 29.5 0 7.8 0 0 20.8 142 87 5 10.6
"10" "8" 2018-11-04 20.54 "SAC" "@" "MIL" "L" -35 0 9.78333333333333 0.333 0.333 9.1 10.7 9.8 0 4.5 0 14.3 28.7 64 126 1.6 -11.4
"11" "" 2018-11-07 20.55 "SAC" "" "TOR" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2018-11-09 20.55 "SAC" "" "MIN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
