"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1989-11-03 23.18 "PHO" "" "GSW" "W" 30 0 11 0.375 0.375 0 0 0 29.3 3.9 0 42.9 23.2 62 96 0.3 -7.8
"2" "2" 1989-11-04 23.18 "PHO" "@" "DEN" "L" -3 0 6 0.333 0.333 0 0 0 22.2 0 0 25 26.5 66 135 0 -15.4
"3" "3" 1989-11-07 23.19 "PHO" "@" "LAL" "L" -4 0 13 0.622 0.571 0 8.2 3.9 37.9 3.4 0 0 28.9 141 104 10.9 14
"4" "4" 1989-11-10 23.2 "PHO" "" "SAC" "W" 21 0 13 0 0 8.8 0 3.8 28.4 3.4 0 43.6 21.3 42 101 -1.8 -15.3
"5" "5" 1989-11-15 23.21 "PHO" "" "POR" "W" 2 0 14 0.521 0.5 0 8.2 3.9 57.7 3.3 0 51 16.5 87 102 3.2 -1.4
"6" "6" 1989-11-17 23.22 "PHO" "@" "POR" "L" -1 0 8 0.333 0.333 0 13 6.9 37.5 0 0 0 15.1 92 109 1.6 -3.8
"7" "7" 1989-11-18 23.22 "PHO" "" "WSB" "W" 11 0 25 0.53 0.455 0 7.5 4.3 24.4 1.9 0 27.5 30.8 89 110 8 -6
"8" "8" 1989-11-21 23.23 "PHO" "@" "SAS" "L" -9 1 35 0.308 0.308 3.1 12.5 7.8 59.1 1.4 0 23.5 20.8 80 107 7.6 -2.7
"9" "9" 1989-11-22 23.23 "PHO" "" "CHI" "L" -5 1 18 0.2 0.2 0 5.7 3 24.7 0 0 37.5 20.3 43 113 -2.1 -17.4
"10" "10" 1989-11-24 23.24 "PHO" "" "ORL" "W" 27 0 12 0.5 0.5 0 6.3 3.6 11.1 0 0 20 14.9 93 94 2 -5.8
"11" "11" 1989-12-01 23.26 "PHO" "" "LAC" "W" 21 0 3 0 0 0 0 0 0 0 0 0 13.2 0 101 -0.7 -18.3
"12" "12" 1989-12-07 23.27 "PHO" "@" "LAL" "L" -4 0 13 1 1 0 0 0 30.5 4 0 66.7 10 83 110 2 -2.4
"13" "13" 1989-12-08 23.28 "PHO" "" "MIL" "W" 25 0 28 0.581 0.5 0 12.7 6.7 25.3 0 0 36.8 13.8 91 95 4.5 -4.4
"14" "14" 1989-12-12 23.29 "PHO" "@" "HOU" "L" -22 0 34 0.357 0.357 0 2.7 1.2 35.4 6.6 0 22.2 20.5 67 92 7.3 2.1
"15" "15" 1989-12-13 23.29 "PHO" "@" "UTA" "L" -7 0 11 0.333 0.333 0 0 0 29.8 0 0 33.3 31.8 54 103 -1.8 -18.4
"16" "16" 1989-12-15 23.3 "PHO" "" "HOU" "W" 25 0 5 0.5 0.5 0 15.5 9.4 22.6 9.1 0 0 15.4 128 77 3 13.7
"17" "17" 1989-12-17 23.3 "PHO" "@" "SAC" "W" 12 0 16 0.167 0.167 7 0 3.3 20 0 0 14.3 17.2 74 123 0 -14.1
"18" "18" 1989-12-26 23.33 "PHO" "" "POR" "W" 16 0 8 0.266 0 0 10.3 6.3 26.7 0 0 51.5 18.9 50 102 -0.4 -12.1
"19" "19" 1989-12-29 23.33 "PHO" "@" "MIN" "W" 17 0 2 NA NA 0 50 27 50 0 0 NA 0 200 95 1 9
"20" "20" 1990-01-04 23.35 "PHO" "" "DAL" "W" 17 0 1 NA NA 0 0 0 100 0 0 NA 0 206 115 0.7 22.8
"21" "21" 1990-01-06 23.36 "PHO" "@" "SEA" "L" -10 0 5 0.5 0.5 0 21.3 10.8 0 0 0 33.3 24.4 68 120 0.3 -13.1
"22" "22" 1990-01-12 23.37 "PHO" "" "SAC" "W" 15 0 5 1 1 0 0 0 0 0 0 66.7 24.1 40 103 -0.7 -20.1
"23" "23" 1990-01-13 23.38 "PHO" "@" "DEN" "W" 8 0 6 0 0 0 0 0 39 0 0 0 12.5 46 105 -0.4 -8.7
"24" "24" 1990-01-17 23.39 "PHO" "@" "DAL" "W" 20 0 1 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -8.4
"25" "25" 1990-01-18 23.39 "PHO" "" "MIN" "W" 17 0 3 1.5 1.5 0 0 0 0 0 0 0 15.9 300 110 2.3 22.4
"26" "26" 1990-01-20 23.39 "PHO" "" "SEA" "W" 19 0 13 0.347 0 0 0 0 41 0 0 0 8.8 132 106 3.3 -2.2
"27" "27" 1990-01-22 23.4 "PHO" "@" "ORL" "W" 23 0 10 0.833 0.833 11.4 0 4.9 68.6 9 0 0 23.8 174 89 13.3 35.2
"28" "28" 1990-01-23 23.4 "PHO" "@" "MIA" "W" 19 0 4 1 1 0 0 0 0 0 0 50 18.8 77 102 0.7 -6.8
"29" "29" 1990-01-25 23.41 "PHO" "@" "CHH" "W" 27 0 19 1 1 0 19.1 11.4 35.2 9.6 0 20 11.2 167 78 13.7 19.2
"30" "30" 1990-01-26 23.41 "PHO" "@" "DET" "L" -4 0 5 NA NA 26.7 0 10.5 0 0 0 NA 0 207 118 0.7 0
"31" "31" 1990-01-28 23.42 "PHO" "@" "BOS" "L" -8 0 3 0.75 0.75 0 0 0 53.3 0 0 0 27 176 135 2.3 19.1
"32" "32" 1990-01-30 23.42 "PHO" "" "NJN" "W" 25 0 6 0.266 0 0 0 0 0 7.9 0 0 12.6 67 90 0.5 -6.6
"33" "33" 1990-02-01 23.43 "PHO" "" "ATL" "W" 12 0 12 0.25 0.25 10.5 0 4.9 66.7 0 0 0 15.4 109 105 3.7 0.7
"34" "34" 1990-02-03 23.43 "PHO" "" "HOU" "W" 25 0 16 0.436 0.5 0 0 0 47.7 2.9 0 12.7 20.7 109 106 7.1 0.6
"35" "35" 1990-02-04 23.44 "PHO" "@" "POR" "L" -2 0 7 0.568 NA 0 0 0 31.9 0 0 0 10.3 142 130 2.6 3.8
"36" "36" 1990-02-13 23.46 "PHO" "@" "LAC" "W" 22 0 19 0.507 0.5 17.6 15.8 16.7 27.4 7.6 0 36 28.6 85 85 8 4.1
"37" "37" 1990-02-14 23.46 "PHO" "" "UTA" "W" 11 0 6 1 1 0 0 0 0 0 0 0 7.7 200 123 1.7 -1.4
"38" "38" 1990-02-16 23.47 "PHO" "" "GSW" "W" 21 0 5 0.694 0.5 0 0 0 100 0 0 0 20.6 179 112 5.4 20.3
"39" "39" 1990-02-18 23.47 "PHO" "@" "GSW" "W" 18 0 16 0.333 0.333 6.7 12.2 9.6 29.3 2.7 0 0 14.4 103 102 5.7 1.7
"40" "40" 1990-02-20 23.48 "PHO" "" "BOS" "W" 21 0 16 0.717 0.75 0 0 0 40 3 0 29.1 37.4 102 103 9 2.4
"41" "41" 1990-02-22 23.48 "PHO" "@" "SAC" "W" 6 0 12 0.25 0.25 0 0 0 43.2 0 0 0 14.6 95 120 2.4 -4.8
"42" "42" 1990-02-24 23.49 "PHO" "" "PHI" "W" 27 0 19 0.429 0.429 0 9.9 5.7 20.3 2.4 0 22.2 19.3 79 95 3.2 -6.3
"43" "43" 1990-02-27 23.5 "PHO" "" "DEN" "W" 19 1 16 0.205 0 0 0 0 32.6 2.9 0 0 12.4 90 99 3.7 -0.2
"44" "44" 1990-03-01 23.5 "PHO" "@" "HOU" "L" -8 0 3 NA NA 0 29.6 15.1 0 0 0 NA 0 0 108 0.3 -7.3
"45" "45" 1990-03-02 23.51 "PHO" "@" "DAL" "L" -6 0 4 NA NA 0 0 0 58.5 0 14.3 100 22.1 40 109 -0.7 -9.5
"46" "46" 1990-03-04 23.51 "PHO" "" "CLE" "W" 12 0 4 0 0 0 0 0 0 0 0 0 20 0 107 -1.8 -26.9
