"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2015-10-28 23.05 "NYK" "@" "MIL" "W" 25 0 24.1833333333333 0.635 0.571 0 4.1 2.1 29.1 6.3 0 0 13.1 158 100 12.7 9.1
"2" "2" 2015-10-29 23.05 "NYK" "" "ATL" "L" -11 0 28.75 0.512 0.5 3.5 25.7 13.4 33.7 0 0 38.1 10.7 94 115 5.8 -4.3
"3" "3" 2015-10-31 23.06 "NYK" "@" "WAS" "W" 7 0 21.1666666666667 0.5 0.5 5.5 5.4 5.5 0 6.4 0 30 19.2 72 98 3.1 -3.3
"4" "4" 2015-11-02 23.07 "NYK" "" "SAS" "L" -10 0 23.3333333333333 0.644 0.625 0 20.6 8.8 28.4 0 0 9.7 19.6 125 109 9.5 4
"5" "5" 2015-11-04 23.07 "NYK" "@" "CLE" "L" -10 0 16.6166666666667 0.393 0 0 7.2 3.3 17.5 0 0 0 21.5 99 110 3.4 -5.8
"6" "6" 2015-11-06 23.08 "NYK" "" "MIL" "L" -7 0 23.3833333333333 0.524 0.4 0 9.8 4.9 21.3 2.3 0 11.6 16.4 112 110 5.6 -1.8
"7" "7" 2015-11-08 23.08 "NYK" "" "LAL" "W" 4 0 18.35 0.167 0.167 0 9.7 5.3 68.9 0 0 25 19.8 69 104 1.6 -10.3
"8" "8" 2015-11-10 23.09 "NYK" "@" "TOR" "W" 2 0 18.4 0.515 0.333 5.4 5.8 5.6 26.5 0 0 20.5 11.4 121 122 4.3 -4.5
"9" "9" 2015-11-11 23.09 "NYK" "@" "CHO" "L" -2 0 18.7333333333333 0.5 0.5 0 10.7 6 40.3 0 0 27.3 26.8 91 108 3.9 -6
"10" "10" 2015-11-13 23.1 "NYK" "" "CLE" "L" -6 0 15 0.393 0 0 26.7 13.5 11 0 0 11.6 27 83 100 3 -7.6
"11" "11" 2015-11-15 23.1 "NYK" "" "NOP" "W" 8 0 26.0166666666667 0.509 0.5 0 5.3 2.4 17 0 0 22.5 15.5 89 102 3.2 -7
"12" "12" 2015-11-17 23.11 "NYK" "" "CHO" "W" 8 0 12.7333333333333 0.41 0.25 0 0 0 0 0 0 0 17 92 110 1.2 -10
"13" "13" 2015-11-20 23.12 "NYK" "@" "OKC" "W" 3 0 13 0.515 0.5 0 29 17.4 25.2 0 0 0 14 124 93 4.5 1.8
"14" "14" 2015-11-21 23.12 "NYK" "@" "HOU" "W" 5 0 13.3 0.452 0 0 0 0 0 4.3 0 13.1 26 101 120 2.4 -11.5
"15" "15" 2015-11-23 23.12 "NYK" "@" "MIA" "L" -17 0 11.75 0 0 7.4 0 3.9 0 0 0 0 15.2 14 119 -2.5 -18.2
"16" "16" 2015-11-25 23.13 "NYK" "@" "ORL" "L" -9 0 5.85 NA NA 0 16.4 8.6 0 0 0 100 15.6 0 114 -2.1 -30.4
"17" "17" 2015-11-27 23.13 "NYK" "" "MIA" "L" -19 0 23.0333333333333 0.571 0.571 0 5.2 2.6 52.8 2.3 0 0 14.4 132 110 10.2 8.7
"18" "18" 2015-11-29 23.14 "NYK" "" "HOU" "L" -5 0 11.5166666666667 1.167 1.167 0 8.4 5.6 29.5 0 0 25 17.3 168 122 6.8 11.6
"19" "19" 2015-12-02 23.15 "NYK" "" "PHI" "W" 12 0 20.8833333333333 0.607 0.556 0 9.4 5 17.3 0 4.1 28.8 27.8 87 89 6 -3.2
"20" "20" 2015-12-04 23.15 "NYK" "" "BRK" "W" 17 0 17.9166666666667 0.5 0.5 0 16.4 8.6 23.9 2.8 0 42.9 17.2 71 93 2.6 -7.6
"21" "21" 2015-12-05 23.16 "NYK" "@" "MIL" "L" -15 0 19.8833333333333 0.451 0.417 0 16.5 8.4 17.8 0 0 11.4 20.5 87 111 3.3 -6.8
"22" "22" 2015-12-07 23.16 "NYK" "" "DAL" "L" -7 0 10.8666666666667 0.333 0.333 0 10.8 5.5 24.8 0 0 40 21.9 56 116 -0.8 -17.7
"23" "23" 2015-12-09 23.17 "NYK" "@" "UTA" "L" -21 0 14.1833333333333 0.214 0.214 0 0 0 12.3 3.7 0 12.5 27.1 44 116 -1.2 -14.6
"24" "24" 2015-12-10 23.17 "NYK" "@" "SAC" "L" -2 0 3.23333333333333 NA NA 31.6 0 15.1 0 0 0 100 26.2 24 109 -1.3 -29.2
"25" "" 2015-12-12 23.18 "NYK" "@" "POR" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2015-12-16 23.19 "NYK" "" "MIN" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "25" 2015-12-18 23.19 "NYK" "@" "PHI" "W" 10 0 22.3666666666667 0.333 0.333 0 11 5 12 0 0 14.3 13.4 74 105 1.2 -12.1
"28" "26" 2015-12-19 23.19 "NYK" "" "CHI" "W" 16 0 13.9 0.381 0.286 0 6.8 3.8 0 0 0 11.3 29.6 75 106 1.2 -14.2
"29" "27" 2015-12-21 23.2 "NYK" "" "ORL" "L" -8 0 14.4833333333333 0.51 0.4 9.7 8.7 9.2 10.2 7.5 0 0 19.9 126 110 6.6 4.7
"30" "28" 2015-12-23 23.21 "NYK" "@" "CLE" "L" -7 0 10.7166666666667 0.2 0.2 10.4 0 4.9 16.3 0 0 0 22.4 63 117 -0.1 -12.8
"31" "29" 2015-12-26 23.21 "NYK" "@" "ATL" "L" -19 0 15.2666666666667 0.167 0.167 0 0 0 8.8 6.6 0 33.3 25.6 31 117 -2.5 -19.9
"32" "" 2015-12-27 23.22 "NYK" "@" "BOS" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "30" 2015-12-29 23.22 "NYK" "" "DET" "W" 12 0 6.68333333333333 0 0 0 31.9 19.2 16.7 0 0 33.3 22.3 22 105 -1.5 -26.5
"34" "31" 2016-01-01 23.23 "NYK" "@" "CHI" "L" -27 0 3.55 0 0 26.5 30 28.2 0 0 19.6 0 39.6 21 105 -0.4 -7
"35" "32" 2016-01-03 23.24 "NYK" "" "ATL" "W" 14 0 18.1833333333333 0.4 0.4 0 18.9 10.2 55.3 5.5 4.6 9.1 26.4 110 91 10.1 9.1
"36" "33" 2016-01-05 23.24 "NYK" "@" "ATL" "W" 6 0 10.1666666666667 NA NA 0 0 0 0 0 0 100 4.6 0 122 -1.4 -15.9
"37" "34" 2016-01-06 23.24 "NYK" "@" "MIA" "W" 8 0 7.9 0.25 0.25 0 14.8 8.8 36.9 0 0 0 27.3 78 110 0.9 -11.9
"38" "35" 2016-01-08 23.25 "NYK" "@" "SAS" "L" -1 0 15.0833333333333 0.615 0.5 0 13.8 6.8 20.1 0 0 0 14.6 140 109 5.6 2.4
"39" "36" 2016-01-10 23.25 "NYK" "" "MIL" "W" 12 0 16.2333333333333 0.205 0 7.4 13.1 10.4 0 0 0 17 16.9 52 105 -0.5 -16.1
"40" "37" 2016-01-12 23.26 "NYK" "" "BOS" "W" 6 0 23.4 0.926 0.917 0 5.1 2.5 50.1 2.1 3.6 0 16.8 196 115 20.6 20.8
"41" "38" 2016-01-13 23.26 "NYK" "@" "BRK" "L" -6 0 21.4666666666667 0.366 0.333 0 16.8 7.3 18.4 4.6 0 19.6 20 74 108 3.2 -8.2
"42" "39" 2016-01-16 23.27 "NYK" "@" "MEM" "L" -8 0 16.1666666666667 0 0 8 6.9 7.4 8.5 0 4.1 0 15.5 28 121 -1.5 -15.7
"43" "40" 2016-01-18 23.28 "NYK" "" "PHI" "W" 6 0 7 0 0 0 0 0 0 0 0 0 6.7 0 107 -0.7 -15.5
"44" "41" 2016-01-20 23.28 "NYK" "" "UTA" "W" 7 0 12.8 0 0 10.9 10.4 10.6 17.6 4.5 0 0 15.5 55 115 -0.2 -11.3
"45" "42" 2016-01-22 23.29 "NYK" "" "LAC" "L" -28 0 24.4 0.838 0.75 0 6 2.5 62.6 0 0 20.5 17.3 145 129 12.7 7.9
"46" "43" 2016-01-23 23.29 "NYK" "@" "CHO" "L" -13 0 9.36666666666667 0 0 0 9.5 5.1 17.7 0 0 0 29.3 9 108 -4.4 -31.1
"47" "44" 2016-01-26 23.3 "NYK" "" "OKC" "L" -6 0 21.4 0.643 0.6 4.8 5.1 4.9 40.6 4.7 0 26.9 15.7 121 119 9.9 5.8
"48" "45" 2016-01-28 23.3 "NYK" "@" "TOR" "L" -10 0 24.9666666666667 0.543 0.563 0 17.9 8.5 38.1 4.3 0 14.3 25.6 108 108 11.6 5.6
