"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1988-11-22 22.93 "MIL" "@" "IND" "L" -14 0 31 0.484 0.462 3 9.7 5.6 11.6 5 0 18.2 22.3 87 112 8.6 -1.1
"2" "2" 1988-11-23 22.94 "MIL" "" "WSB" "W" 22 0 28 0.388 0.333 18.2 19.8 19 23.7 0 0 23.7 22 89 99 7.6 -3.7
"3" "3" 1988-11-25 22.94 "MIL" "@" "BOS" "L" -19 0 28 0.723 0.7 8.8 15.6 11.9 17.7 1.9 2.3 20.3 24.3 120 126 14.7 5.6
"4" "4" 1988-11-26 22.95 "MIL" "" "MIA" "W" 10 0 27 0.602 0.455 8.5 11.6 10.1 13.1 5.2 0 16.7 25.7 115 87 14.4 5.2
"5" "5" 1988-11-29 22.95 "MIL" "" "POR" "W" 5 0 19 0.436 0.333 0 6 2.9 32.4 2.4 0 12.7 16.4 104 109 6.4 3.9
"6" "6" 1988-12-16 23 "MIL" "@" "ATL" "L" -3 0 3 0 0 0 0 0 0 0 0 0 13.7 0 125 -1.1 -24
"7" "7" 1988-12-17 23 "MIL" "" "CHI" "L" -19 0 14 0.667 0.667 0 36.1 17.6 0 0 0 40 15.4 70 112 0.3 -9.5
"8" "8" 1988-12-20 23.01 "MIL" "" "CHH" "W" 10 1 24 0.571 0.571 11.8 5.7 8.7 4.4 1.9 0 12.5 13.2 115 112 6.3 -3.8
"9" "9" 1988-12-21 23.01 "MIL" "@" "CHH" "W" 12 1 18 0.363 0.333 7.2 5.3 6.1 21.2 2.5 0 22.5 20.6 79 98 2.9 -4.4
"10" "10" 1988-12-23 23.02 "MIL" "" "DAL" "W" 12 0 2 0 0 0 0 0 0 0 0 0 19.6 0 114 -0.7 -24.8
"11" "11" 1988-12-27 23.03 "MIL" "" "IND" "W" 13 0 6 0 0 21.6 0 11.1 17.4 0 0 0 20.1 47 111 -0.7 -16.2
"1" "1" 1989-11-03 23.88 "MIL" "@" "BOS" "L" -13 0 21 0.387 0.167 0 0 0 21 2.3 0 11.4 18.1 87 131 3.9 -6.3
"2" "2" 1989-11-04 23.88 "MIL" "@" "PHI" "W" 6 0 27 0.277 0.286 17.8 4.4 11.1 11.5 1.9 0 17.2 27.9 69 108 1.1 -13
"3" "3" 1989-11-07 23.89 "MIL" "" "BOS" "W" 6 0 10 0.218 0.167 0 9.8 5.3 0 0 0 12.7 34.5 41 103 -2.3 -23.9
"4" "4" 1989-11-09 23.9 "MIL" "" "SEA" "W" 1 0 15 0.333 0.333 0 0 0 28.6 0 0 40 15.7 65 119 0 -7.4
"5" "5" 1989-11-11 23.9 "MIL" "" "PHI" "L" -8 0 12 0.5 0.5 0 24.2 10.8 22.2 0 0 50 15 67 117 0.2 -9.4
"6" "6" 1989-11-14 23.91 "MIL" "" "SAS" "W" 11 0 11 0 0 0 14.1 6.1 22.4 0 0 33.3 11.5 39 106 -1.5 -11.4
"7" "7" 1989-11-16 23.92 "MIL" "" "ORL" "W" 19 0 24 0.697 0.75 10.3 5 7.6 21.3 3.4 0 9.7 16.4 139 99 14.4 6.7
"8" "8" 1989-11-17 23.92 "MIL" "@" "DET" "L" -27 0 16 0.174 0 6.8 0 3.8 20 3.3 0 34.2 24.7 39 116 -2.7 -16.1
