"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1977-10-18 25.12 "PHO" "" "GSW" "W" 17 0 17 0.354 NA NA NA NA NA NA NA NA NA NA NA 4.1 NA
"2" "2" 1977-10-23 25.13 "PHO" "@" "LAL" "W" 3 0 15 0.143 NA NA NA NA NA NA NA NA NA NA NA -3.8 NA
"3" "3" 1977-10-25 25.13 "PHO" "" "SEA" "W" 7 0 10 0 NA NA NA NA NA NA NA NA NA NA NA -3.6 NA
"4" "4" 1977-10-28 25.14 "PHO" "@" "NOJ" "L" -7 0 18 0.47 NA NA NA NA NA NA NA NA NA NA NA 7.4 NA
"5" "5" 1977-10-29 25.15 "PHO" "@" "HOU" "L" -13 0 8 0.333 NA NA NA NA NA NA NA NA NA NA NA -0.2 NA
"6" "6" 1977-11-03 25.16 "PHO" "@" "SAS" "W" 21 0 11 0.107 NA NA NA NA NA NA NA NA NA NA NA -0.9 NA
"7" "7" 1977-11-04 25.16 "PHO" "@" "WSB" "L" -17 0 5 1 NA NA NA NA NA NA NA NA NA NA NA 0.6 NA
"8" "8" 1977-11-05 25.16 "PHO" "@" "CHI" "L" -17 0 10 0.5 NA NA NA NA NA NA NA NA NA NA NA 3.9 NA
"9" "9" 1977-11-10 25.18 "PHO" "" "NOJ" "W" 16 0 2 0 NA NA NA NA NA NA NA NA NA NA NA -2.5 NA
"10" "10" 1978-02-16 25.45 "PHO" "" "BOS" "L" -3 0 3 0.798 NA NA NA NA NA NA NA NA NA NA NA 2.3 NA
"11" "11" 1978-02-17 25.45 "PHO" "@" "GSW" "L" -19 0 3 0 NA NA NA NA NA NA NA NA NA NA NA -1.7 NA
"12" "12" 1978-02-18 25.45 "PHO" "" "IND" "W" 13 0 3 0 NA NA NA NA NA NA NA NA NA NA NA 1 NA
"13" "13" 1978-02-22 25.46 "PHO" "@" "ATL" "L" -12 0 3 NA NA NA NA NA NA NA NA NA NA NA NA 1.3 NA
"14" "14" 1978-02-24 25.47 "PHO" "@" "WSB" "L" -1 0 2 0 NA NA NA NA NA NA NA NA NA NA NA 0 NA
"15" "15" 1978-02-25 25.47 "PHO" "@" "NYK" "L" -7 0 4 0.549 NA NA NA NA NA NA NA NA NA NA NA 1.5 NA
"16" "16" 1978-02-28 25.48 "PHO" "@" "CHI" "L" -11 0 4 1 NA NA NA NA NA NA NA NA NA NA NA 2.7 NA
"17" "17" 1978-03-03 25.49 "PHO" "" "MIL" "W" 6 0 7 0.5 NA NA NA NA NA NA NA NA NA NA NA 0.2 NA
"18" "18" 1978-03-05 25.49 "PHO" "" "PHI" "L" -12 0 7 0.5 NA NA NA NA NA NA NA NA NA NA NA 3.3 NA
"19" "19" 1978-03-07 25.5 "PHO" "@" "DEN" "W" 14 0 11 0.42 NA NA NA NA NA NA NA NA NA NA NA 1.1 NA
"20" "20" 1978-03-09 25.5 "PHO" "" "CHI" "W" 9 0 19 0.405 NA NA NA NA NA NA NA NA NA NA NA 4.4 NA
"21" "21" 1978-03-11 25.51 "PHO" "" "LAL" "W" 6 0 9 0.5 NA NA NA NA NA NA NA NA NA NA NA 0.9 NA
"22" "22" 1978-03-12 25.51 "PHO" "@" "LAL" "L" -16 0 17 0.333 NA NA NA NA NA NA NA NA NA NA NA 1.3 NA
"23" "23" 1978-03-14 25.52 "PHO" "@" "MIL" "L" -15 0 28 0.436 NA NA NA NA NA NA NA NA NA NA NA 5.7 NA
"24" "24" 1978-03-15 25.52 "PHO" "@" "NJN" "L" -19 0 20 0.144 NA NA NA NA NA NA NA NA NA NA NA 1.9 NA
"25" "25" 1978-03-17 25.53 "PHO" "@" "BOS" "L" -7 0 12 0.174 NA NA NA NA NA NA NA NA NA NA NA -0.5 NA
"26" "26" 1978-03-19 25.53 "PHO" "@" "CLE" "W" 11 0 6 0.75 NA NA NA NA NA NA NA NA NA NA NA 5.1 NA
"27" "27" 1978-03-21 25.54 "PHO" "@" "IND" "L" -4 0 12 1 NA NA NA NA NA NA NA NA NA NA NA 1.2 NA
"28" "28" 1978-03-23 25.54 "PHO" "" "NYK" "W" 12 0 9 0.5 NA NA NA NA NA NA NA NA NA NA NA 1.2 NA
"29" "29" 1978-03-25 25.55 "PHO" "" "BUF" "W" 6 0 9 0.4 NA NA NA NA NA NA NA NA NA NA NA 3.3 NA
"30" "30" 1978-03-29 25.56 "PHO" "" "POR" "W" 33 0 26 0.588 NA NA NA NA NA NA NA NA NA NA NA 13.7 NA
"31" "31" 1978-03-31 25.56 "PHO" "" "KCK" "W" 24 0 19 0.444 NA NA NA NA NA NA NA NA NA NA NA 3.7 NA
"32" "32" 1978-04-02 25.57 "PHO" "" "GSW" "W" 6 0 13 0.429 NA NA NA NA NA NA NA NA NA NA NA 2.9 NA
"33" "33" 1978-04-04 25.58 "PHO" "@" "SAS" "L" -6 0 19 0.333 NA NA NA NA NA NA NA NA NA NA NA 0.7 NA
"34" "34" 1978-04-06 25.58 "PHO" "" "DEN" "L" -6 0 12 1 NA NA NA NA NA NA NA NA NA NA NA -1.1 NA
"35" "35" 1978-04-07 25.58 "PHO" "@" "SEA" "L" -12 0 27 0.429 NA NA NA NA NA NA NA NA NA NA NA 4.4 NA
"36" "36" 1978-04-08 25.59 "PHO" "" "NJN" "W" 11 0 22 0.442 NA NA NA NA NA NA NA NA NA NA NA 2.3 NA
